Site,CoreName,CoreNo,SampleWeight,PercentC,PercentN,CtoNratio
IMS,LO,1,17.798,0.27105,0.03664,8.62700219
IMS,LO,2,21.695,1.25851,0.10443,14.05391603
IMS,LO,3,22.857,0.19168,0.02306,9.693563496
IMS,HO,1,24.337,0.08236,0.00793,12.11181176
IMS,HO,2,19.36,0.31718,0.03605,10.26045187
IMS,HO,3,20.039,0.41215,0.04518,10.63836874
IMS,MM,1,29.915,0.32497,0.02717,13.94824585
IMS,MM,2,25.471,0.58388,0.04584,14.85405242
IMS,MM,3,21.747,0.26171,0.03607,8.461359293
Carrot,LO,1,19.897,0.29468,0.02813,12.21650257
Carrot,LO,2,19.286,0.13584,0.01502,10.54687265
Carrot,LO,3,20.216,0.08821,0.00731,14.07234283
Carrot,HO,1,23.685,0.60815,0.06955,10.19716715
Carrot,HO,2,20.898,0.61555,0.06304,11.38709891
Carrot,HO,3,20.774,0.32077,0.03686,10.14855886
Carrot,MM,1,20.249,0.58965,0.06347,10.83407322
Carrot,MM,2,27.021,0.36878,0.03248,13.24089376
Carrot,MM,3,25.62,3.28644,0.22761,16.83838095
NOAA,LO,1,22.149,1.14026,0.06585,20.193615
NOAA,LO,2,21.411,0.64407,0.03655,20.54999171
NOAA,LO,3,22.938,1.23001,0.08025,17.8743214
NOAA,HO,1,28.522,1.49273,0.13177,13.21084743
NOAA,HO,2,27.619,1.34432,0.11913,13.15974518
NOAA,HO,3,25.752,2.33264,0.19559,13.90807531
NOAA,MM,1,24.835,2.97376,0.30199,11.48363328
NOAA,MM,2,20.817,2.4394,0.24358,11.67904562
NOAA,MM,3,28.909,2.7663,0.28457,11.33642514
Army,LO,1,27.314,1.40165,0.10593,15.4307335
Army,LO,2,24.146,2.4476,0.17709,16.11804516
Army,LO,3,28.084,2.15079,0.1825,13.74361882
Army,HO,1,29.171,1.33323,0.09703,16.02378126
Army,HO,2,26.408,1.37611,0.11539,13.9075599
Army,HO,3,25.451,0.93873,0.07214,15.17506364
Army,MM,1,22.582,1.62887,0.15697,12.10140311
Army,MM,2,29.844,1.91546,0.18718,11.93382338
Army,MM,3,25.812,3.45463,0.32226,12.50147046
