"Season","Site","CoreName","avg_DNE"
"Summer","IMS","LO",100
"Summer","IMS","HO",100
"Summer","IMS","MM",100
"Summer","IMS","Ref",100
"Summer","Carrot","LO",100
"Summer","Carrot","HO",80.6110589578608
"Summer","Carrot","LM",74.7664700567977
"Summer","Carrot","MM",100
"Summer","Carrot","HM",89.2936014229367
"Summer","Carrot","Ref",100
"Summer","NOAA","LO",76.6365572501769
"Summer","NOAA","HO",100
"Summer","NOAA","LM",88.4142602090371
"Summer","NOAA","MM",81.9729031435016
"Summer","NOAA","HM",100
"Summer","NOAA","Ref",100
"Summer","Army","LO",77.7467973177903
"Summer","Army","HO",79.057203040863
"Summer","Army","LM",84.2923554852556
"Summer","Army","MM",100
"Summer","Army","HM",89.6760869096143
"Summer","Army","Ref",100
"Fall","IMS","LO",100
"Fall","IMS","HO",100
"Fall","IMS","MM",80.1507199250111
"Fall","IMS","Ref",78.0067268712908
"Fall","IMS","LoRef",100
"Fall","IMS","HiRef",100
"Fall","Carrot","LO",96.2732947751257
"Fall","Carrot","HO",100
"Fall","Carrot","LM",12.7213093847168
"Fall","Carrot","MM",100
"Fall","Carrot","HM",100
"Fall","Carrot","Ref",51.7649125159069
"Fall","NOAA","LO",100
"Fall","NOAA","HO",100
"Fall","NOAA","LM",61.2504899148878
"Fall","NOAA","MM",100
"Fall","NOAA","HM",100
"Fall","NOAA","Ref",100
"Fall","Army","LO",87.3962204340782
"Fall","Army","HO",100
"Fall","Army","LM",82.6488361413042
"Fall","Army","MM",58.7321622843278
"Fall","Army","HM",14.5170077327889
"Fall","Army","Ref",74.9558239388759
"Winter","IMS","LO",44.1525586817119
"Winter","IMS","HO",20.4098691497659
"Winter","IMS","MM",62.5923020957705
"Winter","IMS","Ref",75.9767103523943
"Winter","IMS","LoRef",100
"Winter","IMS","HiRef",100
"Winter","Carrot","LO",72.8321391893834
"Winter","Carrot","HO",68.2377294545847
"Winter","Carrot","LM",48.9272973393103
"Winter","Carrot","MM",100
"Winter","Carrot","HM",86.2194241998722
"Winter","Carrot","LoRef",63.8850820376308
"Winter","Carrot","HiRef",14.3590668838688
"Winter","NOAA","LO",72.3258749308632
"Winter","NOAA","HO",100
"Winter","NOAA","LM",56.5650457202184
"Winter","NOAA","MM",60.7423818447011
"Winter","NOAA","HM",82.9953285602056
"Winter","NOAA","Ref",85.1404627386787
"Winter","NOAA","LoRef",100
"Winter","NOAA","HiRef",100
"Winter","Army","LO",19.480420803954
"Winter","Army","HO",100
"Winter","Army","LM",57.580317474473
"Winter","Army","MM",50
"Winter","Army","HM",66.6666666666667
"Winter","Army","Ref",70.8068917442424
"Winter","Army","LoRef",17.2406912443223
"Winter","Army","HiRef",0
"Spring","IMS","LO",100
"Spring","IMS","HO",88.3751867448085
"Spring","IMS","MM",30.1537773706076
"Spring","IMS","Ref",98.1385260426578
"Spring","Carrot","LO",67.1870057459008
"Spring","Carrot","HO",54.7887580640128
"Spring","Carrot","LM",73.0071242236862
"Spring","Carrot","MM",77.3510612080873
"Spring","Carrot","HM",59.6920333426343
"Spring","Carrot","Ref",77.2922253141789
"Spring","NOAA","LO",73.2767719375658
"Spring","NOAA","HO",100
"Spring","NOAA","LM",85.326537622567
"Spring","NOAA","MM",100
"Spring","NOAA","HM",97.4371222345511
"Spring","NOAA","Ref",98.9822645115277
"Spring","Army","LO",86.4366453624266
"Spring","Army","HO",100
"Spring","Army","LM",92.8006182997325
"Spring","Army","MM",69.5696476107674
"Spring","Army","HM",100
"Spring","Army","Ref",96.2025153054799
