"Season","Site","CoreName","CoreNo","DNE"
"Summer","IMS","LO",1,100
"Summer","IMS","LO",2,100
"Summer","IMS","LO",3,100
"Summer","IMS","HO",1,100
"Summer","IMS","HO",2,100
"Summer","IMS","HO",3,100
"Summer","IMS","MM",1,100
"Summer","IMS","MM",2,100
"Summer","IMS","MM",3,NA
"Summer","IMS","Ref",1,100
"Summer","IMS","Ref",2,100
"Summer","IMS","Ref",3,100
"Summer","Carrot","LO",1,100
"Summer","Carrot","LO",2,NA
"Summer","Carrot","LO",3,100
"Summer","Carrot","HO",1,100
"Summer","Carrot","HO",2,100
"Summer","Carrot","HO",3,41.8331768735825
"Summer","Carrot","LM",1,100
"Summer","Carrot","LM",2,24.2994101703932
"Summer","Carrot","LM",3,100
"Summer","Carrot","MM",1,100
"Summer","Carrot","MM",2,100
"Summer","Carrot","MM",3,100
"Summer","Carrot","HM",1,67.8808042688102
"Summer","Carrot","HM",2,100
"Summer","Carrot","HM",3,100
"Summer","Carrot","Ref",1,100
"Summer","Carrot","Ref",2,100
"Summer","Carrot","Ref",3,100
"Summer","NOAA","LO",1,29.9096717505307
"Summer","NOAA","LO",2,100
"Summer","NOAA","LO",3,100
"Summer","NOAA","HO",1,100
"Summer","NOAA","HO",2,100
"Summer","NOAA","HO",3,100
"Summer","NOAA","LM",1,65.2427806271113
"Summer","NOAA","LM",2,100
"Summer","NOAA","LM",3,100
"Summer","NOAA","MM",1,45.9187094305047
"Summer","NOAA","MM",2,100
"Summer","NOAA","MM",3,100
"Summer","NOAA","HM",1,100
"Summer","NOAA","HM",2,100
"Summer","NOAA","HM",3,100
"Summer","NOAA","Ref",1,100
"Summer","NOAA","Ref",2,100
"Summer","NOAA","Ref",3,100
"Summer","Army","LO",1,100
"Summer","Army","LO",2,52.6505216818053
"Summer","Army","LO",3,80.5898702715656
"Summer","Army","HO",1,100
"Summer","Army","HO",2,100
"Summer","Army","HO",3,37.1716091225889
"Summer","Army","LM",1,55.6531161373951
"Summer","Army","LM",2,97.2239503183716
"Summer","Army","LM",3,100
"Summer","Army","MM",1,100
"Summer","Army","MM",2,100
"Summer","Army","MM",3,100
"Summer","Army","HM",1,100
"Summer","Army","HM",2,69.028260728843
"Summer","Army","HM",3,100
"Summer","Army","Ref",1,100
"Summer","Army","Ref",2,100
"Summer","Army","Ref",3,100
"Fall","IMS","LO",1,100
"Fall","IMS","LO",2,100
"Fall","IMS","LO",3,100
"Fall","IMS","HO",1,100
"Fall","IMS","HO",2,100
"Fall","IMS","HO",3,100
"Fall","IMS","MM",1,100
"Fall","IMS","MM",2,100
"Fall","IMS","MM",3,40.4521597750333
"Fall","IMS","Ref",1,98.1997571431415
"Fall","IMS","Ref",2,100
"Fall","IMS","Ref",3,35.8204234707307
"Fall","IMS","LoRef",1,100
"Fall","IMS","HiRef",1,100
"Fall","Carrot","LO",1,92.5465895502515
"Fall","Carrot","LO",2,100
"Fall","Carrot","LO",3,NA
"Fall","Carrot","HO",1,100
"Fall","Carrot","HO",2,100
"Fall","Carrot","HO",3,100
"Fall","Carrot","LM",1,NA
"Fall","Carrot","LM",2,NA
"Fall","Carrot","LM",3,12.7213093847168
"Fall","Carrot","MM",1,100
"Fall","Carrot","MM",2,100
"Fall","Carrot","MM",3,NA
"Fall","Carrot","HM",1,NA
"Fall","Carrot","HM",2,NA
"Fall","Carrot","HM",3,100
"Fall","Carrot","Ref",1,55.2947375477208
"Fall","Carrot","Ref",2,100
"Fall","Carrot","Ref",3,0
"Fall","Carrot","LoRef",1,NA
"Fall","Carrot","HiRef",1,NA
"Fall","NOAA","LO",1,100
"Fall","NOAA","LO",2,100
"Fall","NOAA","LO",3,100
"Fall","NOAA","HO",1,100
"Fall","NOAA","HO",2,100
"Fall","NOAA","HO",3,100
"Fall","NOAA","LM",1,49.0425714501472
"Fall","NOAA","LM",2,37.5190700930659
"Fall","NOAA","LM",3,97.1898282014504
"Fall","NOAA","MM",1,100
"Fall","NOAA","MM",2,100
"Fall","NOAA","MM",3,100
"Fall","NOAA","HM",1,100
"Fall","NOAA","HM",2,100
"Fall","NOAA","HM",3,100
"Fall","NOAA","Ref",1,100
"Fall","NOAA","Ref",2,100
"Fall","NOAA","Ref",3,100
"Fall","NOAA","LoRef",1,NA
"Fall","NOAA","HiRef",1,NA
"Fall","Army","LO",1,100
"Fall","Army","LO",2,74.7924408681564
"Fall","Army","LO",3,NA
"Fall","Army","HO",1,100
"Fall","Army","HO",2,100
"Fall","Army","HO",3,100
"Fall","Army","LM",1,100
"Fall","Army","LM",2,47.9465084239125
"Fall","Army","LM",3,100
"Fall","Army","MM",1,100
"Fall","Army","MM",2,17.4643245686556
"Fall","Army","MM",3,NA
"Fall","Army","HM",1,12.159817884358
"Fall","Army","HM",2,0
"Fall","Army","HM",3,31.3912053140087
"Fall","Army","Ref",1,66.9170335081258
"Fall","Army","Ref",2,77.9795572037116
"Fall","Army","Ref",3,79.9708811047901
"Fall","Army","LoRef",1,NA
"Fall","Army","HiRef",1,NA
"Winter","IMS","LO",1,100
"Winter","IMS","LO",2,9.66305313158554
"Winter","IMS","LO",3,22.7946229135501
"Winter","IMS","HO",1,55.5197087927542
"Winter","IMS","HO",2,5.7098986565436
"Winter","IMS","HO",3,0
"Winter","IMS","MM",1,67.1607128620863
"Winter","IMS","MM",2,58.0238913294548
"Winter","IMS","MM",3,NA
"Winter","IMS","Ref",1,100
"Winter","IMS","Ref",2,27.930131057183
"Winter","IMS","Ref",3,100
"Winter","IMS","LoRef",1,100
"Winter","IMS","HiRef",1,100
"Winter","Carrot","LO",1,80.5465309286037
"Winter","Carrot","LO",2,100
"Winter","Carrot","LO",3,37.9498866395466
"Winter","Carrot","HO",1,100
"Winter","Carrot","HO",3,36.4754589091693
"Winter","Carrot","LM",1,11.6597851645084
"Winter","Carrot","LM",2,35.1221068534225
"Winter","Carrot","LM",3,100
"Winter","Carrot","MM",1,100
"Winter","Carrot","MM",2,100
"Winter","Carrot","MM",3,100
"Winter","Carrot","HM",1,58.6582725996165
"Winter","Carrot","HM",2,100
"Winter","Carrot","HM",3,100
"Winter","Carrot","Ref",1,NA
"Winter","Carrot","Ref",2,NA
"Winter","Carrot","Ref",3,NA
