Season,Site,CoreName,CoreNo,N2Flux
Summer,IMS,LO,1,0.717366512
Summer,IMS,LO,2,18.98514849
Summer,IMS,LO,3,10.46432651
Summer,IMS,HO,1,20.72775372
Summer,IMS,HO,2,17.30741275
Summer,IMS,HO,3,3.435482746
Summer,IMS,MM,1,79.21990195
Summer,IMS,MM,2,26.17316384
Summer,IMS,MM,3,-3.025585782
Summer,IMS,Ref,1,36.49971233
Summer,IMS,Ref,2,8.228671041
Summer,IMS,Ref,3,2.47752301
Summer,Carrot,LO,1,29.47983254
Summer,Carrot,LO,2,26.95608229
Summer,Carrot,LO,3,8.912137154
Summer,Carrot,HO,1,57.73549437
Summer,Carrot,HO,2,65.4085138
Summer,Carrot,HO,3,45.84880884
Summer,Carrot,LM,1,14.22863481
Summer,Carrot,LM,2,19.35589196
Summer,Carrot,LM,3,14.65575714
Summer,Carrot,MM,1,26.66037165
Summer,Carrot,MM,2,25.97016441
Summer,Carrot,MM,3,5.795160141
Summer,Carrot,HM,1,24.39068609
Summer,Carrot,HM,2,10.55329123
Summer,Carrot,HM,3,33.56049807
Summer,Carrot,Ref,1,29.67249402
Summer,Carrot,Ref,2,26.45677185
Summer,Carrot,Ref,3,33.66430347
Summer,NOAA,LO,1,29.81758259
Summer,NOAA,LO,2,78.67065908
Summer,NOAA,LO,3,109.165685
Summer,NOAA,HO,1,89.80072977
Summer,NOAA,HO,2,54.90426312
Summer,NOAA,HO,3,44.15469317
Summer,NOAA,LM,1,66.14339751
Summer,NOAA,LM,2,104.6761396
Summer,NOAA,LM,3,158.4313931
Summer,NOAA,MM,1,43.94475375
Summer,NOAA,MM,2,80.93024572
Summer,NOAA,MM,3,63.25639315
Summer,NOAA,HM,1,45.20627051
Summer,NOAA,HM,2,53.33593088
Summer,NOAA,HM,3,46.50633616
Summer,NOAA,Ref,1,57.93459311
Summer,NOAA,Ref,2,80.00081224
Summer,NOAA,Ref,3,39.60676494
Summer,Army,LO,1,86.75574848
Summer,Army,LO,2,92.28878158
Summer,Army,LO,3,115.6036883
Summer,Army,HO,1,53.10029296
Summer,Army,HO,2,38.81444997
Summer,Army,HO,3,32.4732702
Summer,Army,LM,1,76.57116263
Summer,Army,LM,2,84.91624936
Summer,Army,LM,3,92.28326128
Summer,Army,MM,1,45.54214806
Summer,Army,MM,2,74.37635738
Summer,Army,MM,3,32.66644807
Summer,Army,HM,1,79.1893846
Summer,Army,HM,2,88.77811307
Summer,Army,HM,3,48.24527136
Summer,Army,Ref,1,23.35495007
Summer,Army,Ref,2,20.90260477
Summer,Army,Ref,3,18.60950489
Fall,IMS,LO,1,26.71579981
Fall,IMS,LO,2,68.15514873
Fall,IMS,LO,3,28.7893095
Fall,IMS,HO,1,68.15092892
Fall,IMS,HO,2,31.8971299
Fall,IMS,HO,3,44.77874672
Fall,IMS,MM,1,60.8802379
Fall,IMS,MM,2,3.258087357
Fall,IMS,MM,3,43.64367582
Fall,IMS,Ref,1,29.43118353
Fall,IMS,Ref,2,36.98522368
Fall,IMS,Ref,3,32.66021385
Fall,IMS,LoRef,1,32.51687651
Fall,IMS,HiRef,1,35.49749796
Fall,Carrot,LO,1,35.56454249
Fall,Carrot,LO,2,34.31167245
Fall,Carrot,LO,3,-2.61168216
Fall,Carrot,HO,1,14.45930729
Fall,Carrot,HO,2,9.520335076
Fall,Carrot,HO,3,8.051117555
Fall,Carrot,LM,1,-2.07748506
Fall,Carrot,LM,2,-0.603550443
Fall,Carrot,LM,3,0.456315099
Fall,Carrot,MM,1,10.04296326
Fall,Carrot,MM,2,32.84242387
Fall,Carrot,MM,3,-12.54639145
Fall,Carrot,HM,1,-5.551701669
Fall,Carrot,HM,2,-10.49391506
Fall,Carrot,HM,3,21.19054186
Fall,Carrot,Ref,1,5.190498768
Fall,Carrot,Ref,2,4.207705233
Fall,Carrot,Ref,3,-9.992174374
Fall,Carrot,LoRef,1,-3.222016316
Fall,Carrot,HiRef,1,12.67787651
Fall,NOAA,LO,1,32.22364712
Fall,NOAA,LO,2,43.74692063
Fall,NOAA,LO,3,11.44755403
Fall,NOAA,HO,1,38.01840582
Fall,NOAA,HO,2,42.99172956
Fall,NOAA,HO,3,30.18640507
Fall,NOAA,LM,1,60.48546497
Fall,NOAA,LM,2,21.09941601
Fall,NOAA,LM,3,35.70779529
Fall,NOAA,MM,1,52.36923969
Fall,NOAA,MM,2,61.20780935
Fall,NOAA,MM,3,44.02250942
Fall,NOAA,HM,1,53.83969419
Fall,NOAA,HM,2,58.55823558
Fall,NOAA,HM,3,69.07015651
Fall,NOAA,Ref,1,56.8635937
Fall,NOAA,Ref,2,57.35128052
Fall,NOAA,Ref,3,50.83290336
Fall,NOAA,LoRef,1,13.6817642
Fall,NOAA,HiRef,1,7.858722562
Fall,Army,LO,1,7.543185987
Fall,Army,LO,2,1.838032733
Fall,Army,LO,3,-3.088687777
Fall,Army,HO,1,35.06591579
Fall,Army,HO,2,18.84753511
Fall,Army,HO,3,22.48190605
Fall,Army,LM,1,2.166931944
