Season,Site,CoreName,CoreNo,flux_NOx,flux_NH3,flux_DIN
Summer,IMS,LO,1,-8.459547058,-55.61985665,-64.07940371
Summer,IMS,LO,2,-0.333053027,-68.54231437,-68.8753674
Summer,IMS,LO,3,-5.928343995,-69.34164165,-75.26998565
Summer,IMS,HO,1,-14.18805924,-70.27419015,-84.46224938
Summer,IMS,HO,2,-7.660219774,-54.55408695,-62.21430672
Summer,IMS,HO,3,3.397140952,-48.55913233,-45.16199138
Summer,IMS,MM,1,-39.71324376,-83.31654695,-123.0297907
Summer,IMS,MM,2,-3.796804584,-15.7867138,-19.58351839
Summer,IMS,MM,3,-3.530362162,-18.7175805,-22.24794266
Summer,IMS,Ref,1,-6.061565206,-6.860892509,-12.92245771
Summer,IMS,Ref,2,-2.064928806,-52.02288389,-54.08781269
Summer,IMS,Ref,3,-4.462910657,-13.7883956,-18.25130626
Fall,IMS,LO,1,-7.660219783,-1.845113809,-9.505333592
Fall,IMS,LO,2,-17.62516655,8.226409934,-9.398756616
Fall,IMS,LO,3,-17.49194534,-3.616955949,-21.10890129
Fall,IMS,HO,1,-4.99579551,-3.803465647,-8.799261157
Fall,IMS,HO,2,-16.85248352,7.560303861,-9.292179658
Fall,IMS,HO,3,-14.8541653,13.42203727,-1.432128031
Fall,IMS,MM,1,-30.30782608,7.560303861,-22.74752222
Fall,IMS,MM,2,-10.72430769,-2.231455333,-12.95576302
Fall,IMS,MM,3,14.98738653,49.2585437,64.24593023
Fall,IMS,Ref,1,2.331371237,-1.791825321,0.539545916
Fall,IMS,Ref,2,1.265601531,-3.803465647,-2.537864116
Fall,IMS,Ref,3,32.5725867,25.94483133,58.51741803
Fall,IMS,LoRef,1,-17.17221443,4.762658377,-12.40955605
Fall,IMS,HiRef,1,-3.930025804,-2.697729581,-6.627755385
Winter,IMS,LO,1,0.439630003,-54.55408693,-54.11445693
Winter,IMS,LO,2,-0.586173341,225.4769038,224.8907305
