"Site","Season","CoreName","Perc_Inun","Age","Habitat"
"IMS","Summer","LO",100,0,"oyster"
"IMS","Summer","HO",99.255,0,"oyster"
"IMS","Summer","MM",82.52,0,"marsh"
"IMS","Summer","Ref",100,0,"Ref"
"IMS","Fall","LO",100,0,"oyster"
"IMS","Fall","HO",98.99,0,"oyster"
"IMS","Fall","MM",88,0,"marsh"
"IMS","Fall","Ref",100,0,"Ref"
"IMS","Winter","LO",100,0,"oyster"
"IMS","Winter","HO",94.79,0,"oyster"
"IMS","Winter","MM",73.38,0,"marsh"
"IMS","Winter","Ref",99.975,0,"Ref"
"IMS","Spring","LO",100,0,"oyster"
"IMS","Spring","HO",92.87,0,"oyster"
"IMS","Spring","MM",69.225,0,"marsh"
"IMS","Spring","Ref",100,0,"Ref"
"IMS","Summer15","LO",100,0,"oyster"
"IMS","Summer15","HO",97.87,0,"oyster"
"IMS","Summer15","MM",77.74,0,"marsh"
"IMS","Summer15","Ref",100,0,"Ref"
"Carrot","Summer","LO",100,2,"oyster"
"Carrot","Summer","HO",73.65,2,"oyster"
"Carrot","Summer","LM",75.11,2,"marsh"
"Carrot","Summer","MM",65.965,2,"marsh"
"Carrot","Summer","HM",47.01,2,"marsh"
"Carrot","Summer","Ref",75.11,2,"Ref"
"Carrot","Fall","LO",100,2,"oyster"
"Carrot","Fall","HO",80.61,2,"oyster"
"Carrot","Fall","LM",81.64,2,"marsh"
"Carrot","Fall","MM",72.135,2,"marsh"
"Carrot","Fall","HM",51.72,2,"marsh"
"Carrot","Fall","Ref",81.64,2,"Ref"
"Carrot","Winter","LO",100,2,"oyster"
"Carrot","Winter","HO",66.99,2,"oyster"
"Carrot","Winter","LM",68.01,2,"marsh"
"Carrot","Winter","MM",59.56,2,"marsh"
"Carrot","Winter","HM",40.485,2,"marsh"
"Carrot","Winter","Ref",68.01,2,"Ref"
"Carrot","Spring","LO",100,2,"oyster"
"Carrot","Spring","HO",61.55,2,"oyster"
"Carrot","Spring","LM",62.61,2,"marsh"
"Carrot","Spring","MM",55.23,2,"marsh"
"Carrot","Spring","HM",36.3,2,"marsh"
"Carrot","Spring","Ref",62.61,2,"Ref"
"Carrot","Summer15","LO",100,2,"oyster"
"Carrot","Summer15","HO",70.54,2,"oyster"
"Carrot","Summer15","LM",71.895,2,"marsh"
"Carrot","Summer15","MM",63.52,2,"marsh"
"Carrot","Summer15","HM",45.315,2,"marsh"
"Carrot","Summer15","Ref",71.895,2,"Ref"
"NOAA","Summer","LO",100,7,"oyster"
"NOAA","Summer","HO",99.32,7,"oyster"
"NOAA","Summer","LM",99.725,7,"marsh"
"NOAA","Summer","MM",98.8,7,"marsh"
"NOAA","Summer","HM",68.795,7,"marsh"
"NOAA","Summer","Ref",99.725,7,"Ref"
"NOAA","Fall","LO",100,7,"oyster"
"NOAA","Fall","HO",98.99,7,"oyster"
"NOAA","Fall","LM",99.405,7,"marsh"
"NOAA","Fall","MM",98.81,7,"marsh"
"NOAA","Fall","HM",74.91,7,"marsh"
"NOAA","Fall","Ref",99.405,7,"Ref"
"NOAA","Winter","LO",100,7,"oyster"
"NOAA","Winter","HO",94.93,7,"oyster"
"NOAA","Winter","LM",96.83,7,"marsh"
"NOAA","Winter","MM",93.38,7,"marsh"
"NOAA","Winter","HM",62.18,7,"marsh"
"NOAA","Winter","Ref",96.83,7,"Ref"
"NOAA","Spring","LO",100,7,"oyster"
"NOAA","Spring","HO",93.225,7,"oyster"
"NOAA","Spring","LM",96.24,7,"marsh"
"NOAA","Spring","MM",90.715,7,"marsh"
"NOAA","Spring","HM",57.065,7,"marsh"
"NOAA","Spring","Ref",96.24,7,"Ref"
"NOAA","Summer15","LO",100,7,"oyster"
"NOAA","Summer15","HO",98.01,7,"oyster"
"NOAA","Summer15","LM",99.295,7,"marsh"
"NOAA","Summer15","MM",96.985,7,"marsh"
"NOAA","Summer15","HM",65.965,7,"marsh"
"NOAA","Summer15","Ref",99.295,7,"Ref"
"Army","Summer","LO",94.295,20,"oyster"
"Army","Summer","HO",82.925,20,"oyster"
"Army","Summer","LM",67.075,20,"marsh"
"Army","Summer","MM",55.135,20,"marsh"
"Army","Summer","HM",48.005,20,"marsh"
"Army","Summer","Ref",95.38,20,"Ref"
"Army","Fall","LO",96.02,20,"oyster"
"Army","Fall","HO",88.395,20,"oyster"
"Army","Fall","LM",72.985,20,"marsh"
"Army","Fall","MM",60.345,20,"marsh"
"Army","Fall","HM",52.955,20,"marsh"
"Army","Fall","Ref",96.775,20,"Ref"
"Army","Winter","LO",85.765,20,"oyster"
"Army","Winter","HO",73.68,20,"oyster"
"Army","Winter","LM",60.44,20,"marsh"
"Army","Winter","MM",48.8,20,"marsh"
"Army","Winter","HM",41.46,20,"marsh"
"Army","Winter","Ref",87.38,20,"Ref"
"Army","Spring","LO",82.13,20,"oyster"
"Army","Spring","HO",69.475,20,"oyster"
"Army","Spring","LM",55.935,20,"marsh"
"Army","Spring","MM",43.705,20,"marsh"
"Army","Spring","HM",37.21,20,"marsh"
"Army","Spring","Ref",83.92,20,"Ref"
"Army","Summer15","LO",90.83,20,"oyster"
"Army","Summer15","HO",78.125,20,"oyster"
"Army","Summer15","LM",64.425,20,"marsh"
"Army","Summer15","MM",52.74,20,"marsh"
"Army","Summer15","HM",46.13,20,"marsh"
"Army","Summer15","Ref",92.325,20,"Ref"
