Site,Season,CoreName,Perc_Inun
IMS,Summer,LO,100
IMS,Summer,HO,99.255
IMS,Summer,MM,82.52
IMS,Summer,Ref,100
IMS,Fall,LO,100
IMS,Fall,HO,98.99
IMS,Fall,MM,88
IMS,Fall,Ref,100
IMS,Winter,LO,100
IMS,Winter,HO,94.79
IMS,Winter,MM,73.38
IMS,Winter,Ref,99.975
IMS,Spring,LO,100
IMS,Spring,HO,92.87
IMS,Spring,MM,69.225
IMS,Spring,Ref,100
IMS,Summer15,LO,100
IMS,Summer15,HO,97.87
IMS,Summer15,MM,77.74
IMS,Summer15,Ref,100
Carrot,Summer,LO,100
Carrot,Summer,HO,73.65
Carrot,Summer,LM,75.11
Carrot,Summer,MM,65.965
Carrot,Summer,HM,47.01
Carrot,Fall,LO,100
Carrot,Fall,HO,80.61
Carrot,Fall,LM,81.64
Carrot,Fall,MM,72.135
Carrot,Fall,HM,51.72
Carrot,Winter,LO,100
Carrot,Winter,HO,66.99
Carrot,Winter,LM,68.01
Carrot,Winter,MM,59.56
Carrot,Winter,HM,40.485
Carrot,Spring,LO,100
Carrot,Spring,HO,61.55
Carrot,Spring,LM,62.61
Carrot,Spring,MM,55.23
Carrot,Spring,HM,36.3
Carrot,Summer15,LO,100
Carrot,Summer15,HO,70.54
Carrot,Summer15,LM,71.895
Carrot,Summer15,MM,63.52
Carrot,Summer15,HM,45.315
NOAA,Summer,LO,100
NOAA,Summer,HO,99.32
NOAA,Summer,LM,99.725
NOAA,Summer,MM,98.8
NOAA,Summer,HM,68.795
NOAA,Fall,LO,100
NOAA,Fall,HO,98.99
NOAA,Fall,LM,99.405
NOAA,Fall,MM,98.81
NOAA,Fall,HM,74.91
NOAA,Winter,LO,100
NOAA,Winter,HO,94.93
NOAA,Winter,LM,96.83
NOAA,Winter,MM,93.38
NOAA,Winter,HM,62.18
NOAA,Spring,LO,100
NOAA,Spring,HO,93.225
NOAA,Spring,LM,96.24
NOAA,Spring,MM,90.715
NOAA,Spring,HM,57.065
NOAA,Summer15,LO,100
NOAA,Summer15,HO,98.01
NOAA,Summer15,LM,99.295
NOAA,Summer15,MM,96.985
NOAA,Summer15,HM,65.965
Army,Summer,LO,94.295
Army,Summer,HO,82.925
Army,Summer,LM,67.075
Army,Summer,MM,55.135
Army,Summer,HM,48.005
Army,Summer,Ref,95.38
Army,Fall,LO,96.02
Army,Fall,HO,88.395
Army,Fall,LM,72.985
Army,Fall,MM,60.345
Army,Fall,HM,52.955
Army,Fall,Ref,96.775
Army,Winter,LO,85.765
Army,Winter,HO,73.68
Army,Winter,LM,60.44
Army,Winter,MM,48.8
Army,Winter,HM,41.46
Army,Winter,Ref,87.38
Army,Spring,LO,82.13
Army,Spring,HO,69.475
Army,Spring,LM,55.935
Army,Spring,MM,43.705
Army,Spring,HM,37.21
Army,Spring,Ref,83.92
Army,Summer15,LO,90.83
Army,Summer15,HO,78.125
Army,Summer15,LM,64.425
Army,Summer15,MM,52.74
Army,Summer15,HM,46.13
Army,Summer15,Ref,92.325
