"Season","Site","CoreName","CoreNo","PercentOM","Age","Habitat"
"Summer","IMS","LO",1,0.424734540911939,0,"oyster"
"Summer","IMS","LO",2,1.25962211336599,0,"oyster"
"Summer","IMS","LO",3,0.926066494610596,0,"oyster"
"Summer","IMS","HO",1,0.994187825022949,0,"oyster"
"Summer","IMS","HO",2,0.556459207259648,0,"oyster"
"Summer","IMS","HO",3,0.944047893161404,0,"oyster"
"Summer","IMS","MM",1,0.399524889320797,0,"marsh"
"Summer","IMS","MM",2,0.707458418002568,0,"marsh"
"Summer","IMS","MM",3,0.736358487003582,0,"marsh"
"Summer","IMS","Ref",1,0.654914588222458,0,"Ref"
"Summer","IMS","Ref",2,0.607831126607915,0,"Ref"
"Summer","IMS","Ref",3,0.518582541054452,0,"Ref"
"Summer","NOAA","LO",1,3.33033303330334,7,"oyster"
"Summer","NOAA","LO",2,5.58156727451946,7,"oyster"
"Summer","NOAA","LO",3,3.80857206306906,7,"oyster"
"Summer","NOAA","HO",1,1.69467388208489,7,"oyster"
"Summer","NOAA","HO",2,1.50935061110293,7,"oyster"
"Summer","NOAA","HO",3,1.68799346583174,7,"oyster"
"Summer","NOAA","LM",1,3.08979925744132,7,"marsh"
"Summer","NOAA","LM",2,3.82739850306192,7,"marsh"
"Summer","NOAA","LM",3,2.27795193312435,7,"marsh"
"Summer","NOAA","MM",1,2.76805798550363,7,"marsh"
"Summer","NOAA","MM",2,3.0886513674945,7,"marsh"
"Summer","NOAA","MM",3,2.78047007511509,7,"marsh"
"Summer","NOAA","HM",1,0.600883225946573,7,"marsh"
"Summer","NOAA","HM",2,1.582034264547,7,"marsh"
"Summer","NOAA","HM",3,3.48618459729571,7,"marsh"
"Summer","NOAA","Ref",1,0.668805393942676,7,"Ref"
"Summer","NOAA","Ref",2,0.761787111385627,7,"Ref"
"Summer","NOAA","Ref",3,0.647601039943278,7,"Ref"
"Summer","Army","LO",1,2.91108584984927,20,"oyster"
"Summer","Army","LO",2,2.97978006385243,20,"oyster"
"Summer","Army","LO",3,3.73060163596055,20,"oyster"
"Summer","Army","HO",1,2.71812295659978,20,"oyster"
"Summer","Army","HO",2,2.85656538435626,20,"oyster"
"Summer","Army","HO",3,2.85333629399356,20,"oyster"
"Summer","Army","LM",1,4.85407682278608,20,"marsh"
"Summer","Army","LM",2,5.88087036881459,20,"marsh"
"Summer","Army","LM",3,5.57668959935249,20,"marsh"
"Summer","Army","MM",1,3.39055793991416,20,"marsh"
"Summer","Army","MM",2,3.61646113343493,20,"marsh"
"Summer","Army","MM",3,4.02053781220085,20,"marsh"
"Summer","Army","HM",1,4.90134246328499,20,"marsh"
"Summer","Army","HM",2,3.71239784385325,20,"marsh"
"Summer","Army","HM",3,3.09734513274337,20,"marsh"
"Summer","Army","Ref",1,2.95484010371651,20,"Ref"
"Summer","Army","Ref",2,3.01108762561649,20,"Ref"
"Summer","Army","Ref",3,2.81109599769176,20,"Ref"
"Summer","Carrot","LO",1,1.34023758757234,2,"oyster"
"Summer","Carrot","LO",2,0.886706227406036,2,"oyster"
"Summer","Carrot","LO",3,0.647269930786972,2,"oyster"
"Summer","Carrot","HO",1,1.85894441849603,2,"oyster"
"Summer","Carrot","HO",2,1.30575117370891,2,"oyster"
"Summer","Carrot","HO",3,1.01938502673797,2,"oyster"
"Summer","Carrot","LM",1,1.22750732319709,2,"marsh"
"Summer","Carrot","LM",2,1.79972936400541,2,"marsh"
"Summer","Carrot","LM",3,0.524344569288395,2,"marsh"
"Summer","Carrot","MM",1,0.454462824940926,2,"marsh"
"Summer","Carrot","MM",2,0.545271918496201,2,"marsh"
"Summer","Carrot","MM",3,0.555450950856706,2,"marsh"
"Summer","Carrot","HM",1,0.485315036398626,2,"marsh"
"Summer","Carrot","HM",2,0.600221134102042,2,"marsh"
"Summer","Carrot","HM",3,0.506560372031224,2,"marsh"
"Summer","Carrot","Ref",1,0.359195402298843,2,"Ref"
"Summer","Carrot","Ref",2,0.384083576586271,2,"Ref"
"Summer","Carrot","Ref",3,0.342607360151219,2,"Ref"
"Fall","NOAA","LO",1,2.52281728947822,7,"oyster"
"Fall","NOAA","LO",2,1.70143512353899,7,"oyster"
"Fall","NOAA","LO",3,1.7155588562941,7,"oyster"
"Fall","NOAA","HO",1,2.56596114815888,7,"oyster"
"Fall","NOAA","HO",2,2.39933393884348,7,"oyster"
"Fall","NOAA","HO",3,3.77552932359002,7,"oyster"
"Fall","NOAA","LM",1,3.92156862745098,7,"marsh"
"Fall","NOAA","LM",2,3.46089850249584,7,"marsh"
"Fall","NOAA","LM",3,4.2059553349876,7,"marsh"
"Fall","NOAA","MM",1,2.92958584281359,7,"marsh"
"Fall","NOAA","MM",2,5.16431924882629,7,"marsh"
"Fall","NOAA","MM",3,4.65701699181875,7,"marsh"
"Fall","NOAA","HM",1,0.718263675636297,7,"marsh"
"Fall","NOAA","HM",2,1.71337495019258,7,"marsh"
"Fall","NOAA","HM",3,3.40016708437761,7,"marsh"
"Fall","NOAA","Ref",1,1.53253564989346,7,"Ref"
"Fall","NOAA","Ref",2,1.37388371947794,7,"Ref"
"Fall","NOAA","Ref",3,1.40450867640324,7,"Ref"
"Fall","NOAA","LoRef",1,0.641453276543337,7,NA
"Fall","NOAA","HiRef",1,0.355926957598262,7,NA
"Fall","Army","LO",1,2.34741784037559,20,"oyster"
"Fall","Army","LO",2,1.88467736285294,20,"oyster"
"Fall","Army","LO",3,2.08385429690756,20,"oyster"
"Fall","Army","HO",1,2.81432748538013,20,"oyster"
"Fall","Army","HO",2,2.82592709318206,20,"oyster"
"Fall","Army","HO",3,2.11827007943513,20,"oyster"
"Fall","Army","LM",1,3.19783628987351,20,"marsh"
"Fall","Army","LM",2,3.39738234475076,20,"marsh"
"Fall","Army","LM",3,3.87269938650307,20,"marsh"
"Fall","Army","MM",1,2.17089394050142,20,"marsh"
"Fall","Army","MM",2,2.96702340555121,20,"marsh"
"Fall","Army","MM",3,3.0188679245283,20,"marsh"
"Fall","Army","HM",1,4.68389478541761,20,"marsh"
"Fall","Army","HM",2,5.03055947343675,20,"marsh"
"Fall","Army","HM",3,7.55224825839138,20,"marsh"
"Fall","Army","Ref",1,2.53718285214347,20,"Ref"
"Fall","Army","Ref",2,2.89844901396589,20,"Ref"
"Fall","Army","Ref",3,3.04495655459009,20,"Ref"
"Fall","Army","LoRef",1,4.56872182748874,20,NA
"Fall","Army","HiRef",1,2.25397464278527,20,NA
"Fall","IMS","LO",1,0.328034317436292,0,"oyster"
"Fall","IMS","LO",2,1.4600783831553,0,"oyster"
"Fall","IMS","LO",3,0.814797192815514,0,"oyster"
"Fall","IMS","HO",1,1.08361330620356,0,"oyster"
"Fall","IMS","HO",2,1.27668480535789,0,"oyster"
"Fall","IMS","HO",3,2.11850805675034,0,"oyster"
"Fall","IMS","MM",1,0.432660306190367,0,"marsh"
"Fall","IMS","MM",2,0.945838837516523,0,"marsh"
"Fall","IMS","MM",3,0.945373467112596,0,"marsh"
"Fall","IMS","Ref",1,1.24595469255662,0,"Ref"
"Fall","IMS","Ref",2,1.64208032733931,0,"Ref"
"Fall","IMS","Ref",3,1.45832151166091,0,"Ref"
"Fall","IMS","LoRef",1,1.16777989118414,0,NA
"Fall","IMS","HiRef",1,0.225387234450681,0,NA
"Fall","Carrot","LO",1,1.00838658146966,2,"oyster"
"Fall","Carrot","LO",2,0.887728459530033,2,"oyster"
"Fall","Carrot","LO",3,1.55205703252636,2,"oyster"
"Fall","Carrot","HO",1,1.0038240917782,2,"oyster"
"Fall","Carrot","HO",2,0.964187327823681,2,"oyster"
"Fall","Carrot","HO",3,0.614130434782606,2,"oyster"
"Fall","Carrot","LM",1,0.623052959501567,2,"marsh"
"Fall","Carrot","LM",2,0.659606656580927,2,"marsh"
"Fall","Carrot","LM",3,0.615020697811941,2,"marsh"
"Fall","Carrot","MM",1,0.503468337435667,2,"marsh"
"Fall","Carrot","MM",2,0.439306358381506,2,"marsh"
"Fall","Carrot","MM",3,0.514800514800512,2,"marsh"
"Fall","Carrot","HM",1,0.612784622331166,2,"marsh"
"Fall","Carrot","HM",2,0.447348284183887,2,"marsh"
"Fall","Carrot","HM",3,0.423838321186751,2,"marsh"
"Fall","Carrot","Ref",1,0.554394256111969,2,"Ref"
"Fall","Carrot","Ref",2,0.973065545695158,2,"Ref"
"Fall","Carrot","Ref",3,0.902847441932241,2,"Ref"
"Fall","Carrot","LoRef",1,0.614176399516713,2,NA
"Fall","Carrot","HiRef",1,0.243445692883893,2,NA
"Winter","NOAA","LO",1,6.85903500473036,7,"oyster"
"Winter","NOAA","LO",2,4.9776862341229,7,"oyster"
"Winter","NOAA","LO",3,7.10569105691057,7,"oyster"
"Winter","NOAA","HO",1,8.03869832893579,7,"oyster"
"Winter","NOAA","HO",2,7.59637188208617,7,"oyster"
"Winter","NOAA","HO",3,8.19335572974991,7,"oyster"
"Winter","NOAA","LM",1,6.85940025139163,7,"marsh"
"Winter","NOAA","LM",2,5.36596071546142,7,"marsh"
"Winter","NOAA","LM",3,7.35068912710566,7,"marsh"
"Winter","NOAA","MM",1,3.15557514323491,7,"marsh"
"Winter","NOAA","MM",2,3.78868729989326,7,"marsh"
"Winter","NOAA","MM",3,4.92373261552266,7,"marsh"
"Winter","NOAA","HM",1,0.488180883864329,7,"marsh"
"Winter","NOAA","HM",2,0.520438583194389,7,"marsh"
"Winter","NOAA","HM",3,0.871132472213875,7,"marsh"
"Winter","NOAA","Ref",1,3.44102466067673,7,"Ref"
"Winter","NOAA","Ref",2,1.38759172781855,7,"Ref"
"Winter","NOAA","Ref",3,1.08801361536593,7,"Ref"
"Winter","NOAA","LoRef",1,6.90250215703193,7,NA
"Winter","NOAA","HiRef",1,1.17794486215539,7,NA
"Winter","Army","LO",1,4.04382989825203,20,"oyster"
"Winter","Army","LO",2,6.61874406618745,20,"oyster"
"Winter","Army","LO",3,3.02280550774525,20,"oyster"
"Winter","Army","HO",1,3.14492137696559,20,"oyster"
"Winter","Army","HO",2,1.9714867617108,20,"oyster"
"Winter","Army","HO",3,3.17033414832925,20,"oyster"
"Winter","Army","LM",1,3.78271782000718,20,"marsh"
"Winter","Army","LM",2,3.55183078918487,20,"marsh"
"Winter","Army","LM",3,4.25894378194206,20,"marsh"
"Winter","Army","MM",1,5.35756431437338,20,"marsh"
"Winter","Army","MM",2,3.63783346806792,20,"marsh"
"Winter","Army","MM",3,3.63954106830787,20,"marsh"
"Winter","Army","HM",1,5.26636844245629,20,"marsh"
"Winter","Army","HM",2,8.01004744627408,20,"marsh"
"Winter","Army","HM",3,6.98376745941865,20,"marsh"
"Winter","Army","Ref",1,5.10333192745678,20,"Ref"
"Winter","Army","Ref",2,1.94781663344809,20,"Ref"
"Winter","Army","Ref",3,4.68064936603863,20,"Ref"
"Winter","Army","LoRef",1,7.71324863883847,20,NA
"Winter","Army","HiRef",1,1.525,20,NA
"Winter","Carrot","LO",1,0.51189739551106,2,"oyster"
"Winter","Carrot","LO",2,0.959283734811339,2,"oyster"
"Winter","Carrot","LO",3,0.869096543825369,2,"oyster"
"Winter","Carrot","HO",1,3.19081046585832,2,"oyster"
"Winter","Carrot","HO",3,2.16206395348837,2,"oyster"
"Winter","Carrot","LM",1,0.79601301308229,2,"marsh"
"Winter","Carrot","LM",2,0.702502170652778,2,"marsh"
"Winter","Carrot","LM",3,1.06550218340611,2,"marsh"
"Winter","Carrot","MM",1,0.804864961545329,2,"marsh"
"Winter","Carrot","MM",2,0.946236559139783,2,"marsh"
"Winter","Carrot","MM",3,0.711125158027821,2,"marsh"
"Winter","Carrot","HM",1,0.508600491456647,2,"marsh"
"Winter","Carrot","HM",2,0.578421342567097,2,"marsh"
"Winter","Carrot","HM",3,0.555433347998255,2,"marsh"
"Winter","Carrot","Ref",1,0.941844819853491,2,"Ref"
"Winter","Carrot","Ref",2,0.899291653834314,2,"Ref"
"Winter","Carrot","Ref",3,0.89434507276968,2,"Ref"
"Winter","Carrot","LoRef",1,0.490603064382227,2,NA
"Winter","Carrot","HiRef",1,0.460521136739342,2,NA
"Winter","IMS","LO",1,0.724472333143197,0,"oyster"
