Season,Site,CoreName,CoreNo,DryWeight,CombustWeight
Summer,IMS,LO,1,16.01,15.942
Summer,IMS,LO,2,14.29,14.11
Summer,IMS,LO,3,13.174,13.052
Summer,IMS,HO,1,13.076,12.946
Summer,IMS,HO,2,11.681,11.616
Summer,IMS,HO,3,13.029,12.906
Summer,IMS,MM,1,18.522,18.448
Summer,IMS,MM,2,13.287,13.193
Summer,IMS,MM,3,15.889,15.772
Summer,IMS,Ref,1,18.323,18.203
Summer,IMS,Ref,2,21.223,21.094
Summer,IMS,Ref,3,18.512,18.416
Summer,NOAA,LO,1,7.777,7.518
Summer,NOAA,LO,2,8.116,7.663
Summer,NOAA,LO,3,9.006,8.663
Summer,NOAA,HO,1,14.044,13.806
Summer,NOAA,HO,2,13.582,13.377
Summer,NOAA,HO,3,14.692,14.444
Summer,NOAA,LM,1,15.891,15.4
Summer,NOAA,LM,2,17.636,16.961
Summer,NOAA,LM,3,14.355,14.028
Summer,NOAA,MM,1,16.004,15.561
Summer,NOAA,MM,2,12.724,12.331
Summer,NOAA,MM,3,16.508,16.049
Summer,NOAA,HM,1,13.813,13.73
Summer,NOAA,HM,2,12.958,12.753
Summer,NOAA,HM,3,17.01,16.417
Summer,NOAA,Ref,1,18.391,18.268
Summer,NOAA,Ref,2,19.428,19.28
Summer,NOAA,Ref,3,21.155,21.018
Summer,Army,LO,1,20.233,19.644
Summer,Army,LO,2,14.095,13.675
Summer,Army,LO,3,13.081,12.593
Summer,Army,HO,1,15.599,15.175
Summer,Army,HO,2,14.843,14.419
Summer,Army,HO,3,18.014,17.5
Summer,Army,LM,1,9.971,9.487
Summer,Army,LM,2,11.903,11.203
Summer,Army,LM,3,12.355,11.666
Summer,Army,MM,1,13.98,13.506
Summer,Army,MM,2,14.434,13.912
Summer,Army,MM,3,11.491,11.029
Summer,Army,HM,1,11.099,10.555
Summer,Army,HM,2,11.502,11.075
Summer,Army,HM,3,14.012,13.578
Summer,Army,Ref,1,18.512,17.965
Summer,Army,Ref,2,26.967,26.155
Summer,Army,Ref,3,24.261,23.579
Summer,Carrot,LO,1,16.415,16.195
Summer,Carrot,LO,2,14.661,14.531
Summer,Carrot,LO,3,15.604,15.503
Summer,Carrot,HO,1,10.705,10.506
Summer,Carrot,HO,2,13.632,13.454
Summer,Carrot,HO,3,11.968,11.846
Summer,Carrot,LM,1,7.169,7.081
Summer,Carrot,LM,2,7.39,7.257
