"Season","Site","CoreName","avg_N2Flux"
"Summer","IMS","LO",10.0556138365556
"Summer","IMS","HO",13.8235497405556
"Summer","IMS","MM",34.122493337
"Summer","IMS","Ref",15.7353021283333
"Summer","Carrot","LO",21.7826839945556
"Summer","Carrot","HO",56.3309390022222
"Summer","Carrot","LM",16.0800946354444
"Summer","Carrot","MM",19.475232067
"Summer","Carrot","HM",22.83482513
"Summer","Carrot","Ref",29.9311897836667
"Summer","NOAA","LO",72.5513088966667
"Summer","NOAA","HO",62.9532286866667
"Summer","NOAA","LM",109.750310046667
"Summer","NOAA","MM",62.7104642041111
"Summer","NOAA","HM",48.3495125177778
"Summer","NOAA","Ref",59.18072343
"Summer","Army","LO",98.2160727966667
"Summer","Army","HO",41.4626710416667
"Summer","Army","LM",84.5902244216667
"Summer","Army","MM",50.8616511675
"Summer","Army","HM",72.0709230091667
"Summer","Army","Ref",20.9556865766667
"Fall","IMS","LO",41.2200860111111
"Fall","IMS","HO",48.2756018466667
"Fall","IMS","MM",35.9273336913333
"Fall","IMS","Ref",33.0255403544444
"Fall","IMS","LoRef",32.5168765066667
"Fall","IMS","HiRef",35.49749796
"Fall","Carrot","LO",22.4215109288889
"Fall","Carrot","HO",10.6769199752222
"Fall","Carrot","LM",-0.741573468
"Fall","Carrot","MM",10.1129985592222
"Fall","Carrot","HM",1.71497504266667
"Fall","Carrot","Ref",-0.197990124333333
"Fall","Carrot","LoRef",-3.22201631633333
"Fall","Carrot","HiRef",12.677876514
"Fall","NOAA","LO",29.1393739269333
"Fall","NOAA","HO",37.0655134853333
"Fall","NOAA","LM",39.0975587575333
"Fall","NOAA","MM",52.5331861533333
"Fall","NOAA","HM",60.4893620906667
"Fall","NOAA","Ref",55.0159258586667
"Fall","NOAA","LoRef",13.6817642036
"Fall","NOAA","HiRef",7.8587225616
"Fall","Army","LO",2.09751031444444
"Fall","Army","HO",25.4651189841111
"Fall","Army","LM",5.72757725522222
"Fall","Army","MM",12.6279043637778
"Fall","Army","HM",6.628048886
"Fall","Army","Ref",23.1531327654444
"Fall","Army","LoRef",5.90913548566667
"Fall","Army","HiRef",0.486760904333333
"Winter","IMS","LO",19.2877960025333
"Winter","IMS","HO",3.57882209073333
"Winter","IMS","MM",34.9309405799333
"Winter","IMS","Ref",14.0549813683333
"Winter","IMS","LoRef",21.13938256
"Winter","IMS","HiRef",47.631572482
"Winter","Carrot","LO",43.7493959233333
"Winter","Carrot","HO",57.698551445
"Winter","Carrot","LM",17.1901759863333
"Winter","Carrot","MM",19.4752997870833
"Winter","Carrot","HM",30.3835082384167
"Winter","Carrot","Ref",-9.22469538633333
"Winter","Carrot","LoRef",13.9982148555
"Winter","Carrot","HiRef",29.087020664
"Winter","NOAA","LO",35.16353526
"Winter","NOAA","HO",66.0233113473333
"Winter","NOAA","LM",58.1450429284
"Winter","NOAA","MM",44.81646261
"Winter","NOAA","HM",50.9748174462
"Winter","NOAA","Ref",30.714922047
"Winter","NOAA","LoRef",69.718741098
"Winter","NOAA","HiRef",27.522745522
"Winter","Army","LO",4.6586840734
"Winter","Army","HO",14.6559139974
"Winter","Army","LM",11.7375177626667
"Winter","Army","MM",2.56850257606667
"Winter","Army","HM",5.15538685433333
"Winter","Army","Ref",18.6765448585333
"Winter","Army","LoRef",7.501657818
"Winter","Army","HiRef",-17.5890156766
"Spring","IMS","LO",19.2492913013333
"Spring","IMS","HO",17.8544428508667
"Spring","IMS","MM",43.7425558073333
"Spring","IMS","Ref",37.3470291166667
"Spring","IMS","LoRef",22.37675718
"Spring","IMS","HiRef",40.104067888
"Spring","Carrot","LO",15.5927700894
"Spring","Carrot","HO",27.653205896
"Spring","Carrot","LM",11.7825020264
"Spring","Carrot","MM",18.0790302128667
"Spring","Carrot","HM",30.526584844
"Spring","Carrot","Ref",27.6080211974
"Spring","Carrot","LoRef",-2.9129594006
"Spring","Carrot","HiRef",28.835562912
"Spring","NOAA","LO",74.82201485
"Spring","NOAA","HO",58.5717858958333
"Spring","NOAA","LM",80.7674290675
"Spring","NOAA","MM",63.4288376025
"Spring","NOAA","HM",55.7210937416667
"Spring","NOAA","Ref",94.55567582
"Spring","NOAA","LoRef",72.0329982075
"Spring","NOAA","HiRef",40.35162835
"Spring","Army","LO",19.01990472
"Spring","Army","HO",21.9094297878667
"Spring","Army","LM",12.3019593688
"Spring","Army","MM",35.9050433204
"Spring","Army","HM",37.8748869134667
"Spring","Army","Ref",26.2098694766667
"Spring","Army","LoRef",50.842283586
"Spring","Army","HiRef",2.6524593368
"Summer15","IMS","LO",-16.0016573088
"Summer15","IMS","HO",22.4179492296667
"Summer15","IMS","MM",29.0714424497333
"Summer15","Carrot","LO",4.32395059133333
"Summer15","Carrot","HO",17.7896136929444
"Summer15","Carrot","MM",6.97778451388889
"Summer15","NOAA","LO",24.054570549
"Summer15","NOAA","HO",-0.0285330919333336
"Summer15","NOAA","MM",8.09425111653333
"Summer15","Army","LO",19.7303903325
"Summer15","Army","HO",18.1209625515
"Summer15","Army","MM",21.9580085748333
