Season,Site,CoreName,CoreNo,TimePt,N2Flux
Summer,IMS,LO,1,1,-16.79364329
Summer,IMS,LO,2,1,8.350162543
Summer,IMS,LO,3,1,-2.664824359
Summer,IMS,HO,1,1,11.07610562
Summer,IMS,HO,2,1,4.967620126
Summer,IMS,HO,3,1,-8.905168035
Summer,IMS,MM,1,1,79.34749705
Summer,IMS,MM,2,1,25.89345263
Summer,IMS,MM,3,1,-5.007207229
Summer,IMS,Ref,1,1,37.12964432
Summer,IMS,Ref,2,1,12.5558993
Summer,IMS,Ref,3,1,-6.377781329
Summer,IMS,LO,1,2,13.26819631
Summer,IMS,LO,2,2,24.84715384
Summer,IMS,LO,3,2,16.79117318
Summer,IMS,HO,1,2,32.9096842
Summer,IMS,HO,2,2,28.70138712
Summer,IMS,HO,3,2,19.37854186
Summer,IMS,MM,1,2,79.41892095
Summer,IMS,MM,2,2,30.94529727
Summer,IMS,MM,3,2,-0.991271203
Summer,IMS,Ref,1,2,38.47761193
Summer,IMS,Ref,2,2,6.07035802
Summer,IMS,Ref,3,2,6.420403405
Summer,IMS,LO,1,3,5.677546515
Summer,IMS,LO,2,3,23.75812909
Summer,IMS,LO,3,3,17.2666307
Summer,IMS,HO,1,3,18.19747135
Summer,IMS,HO,2,3,18.25323101
Summer,IMS,HO,3,3,-0.166925586
Summer,IMS,MM,1,3,78.89328785
Summer,IMS,MM,2,3,21.68074163
Summer,IMS,MM,3,3,-3.078278915
Summer,IMS,Ref,1,3,33.89188075
Summer,IMS,Ref,2,3,6.059755804
Summer,IMS,Ref,3,3,7.389946955
Summer,Carrot,LO,1,1,26.05033734
Summer,Carrot,LO,2,1,23.66032822
Summer,Carrot,LO,3,1,7.578637949
Summer,Carrot,HO,1,1,42.8626965
Summer,Carrot,HO,2,1,59.672137
Summer,Carrot,HO,3,1,27.7176982
Summer,Carrot,LM,1,1,17.43143414
Summer,Carrot,LM,2,1,17.69862764
Summer,Carrot,LM,3,1,16.09579226
Summer,Carrot,MM,1,1,31.45964752
Summer,Carrot,MM,2,1,29.08742053
Summer,Carrot,MM,3,1,16.37622073
Summer,Carrot,HM,1,1,31.48120484
Summer,Carrot,HM,2,1,17.16172118
Summer,Carrot,HM,3,1,47.70303143
Summer,Carrot,Ref,1,1,22.87972866
Summer,Carrot,Ref,2,1,24.41957421
Summer,Carrot,Ref,3,1,27.21984025
Summer,Carrot,LO,1,2,26.35983186
Summer,Carrot,LO,2,2,25.70608248
Summer,Carrot,LO,3,2,8.337032002
Summer,Carrot,HO,1,2,47.20270816
Summer,Carrot,HO,2,2,61.97618615
Summer,Carrot,HO,3,2,32.76270342
Summer,Carrot,LM,1,2,16.08523614
Summer,Carrot,LM,2,2,23.28933784
Summer,Carrot,LM,3,2,15.35909484
Summer,Carrot,MM,1,2,18.20055995
Summer,Carrot,MM,2,2,17.06190758
Summer,Carrot,MM,3,2,-7.956257839
Summer,Carrot,HM,1,2,14.52124142
Summer,Carrot,HM,2,2,-12.06750163
Summer,Carrot,HM,3,2,19.69750449
Summer,Carrot,Ref,1,2,53.34049352
Summer,Carrot,Ref,2,2,46.71886686
Summer,Carrot,Ref,3,2,54.95812001
Summer,Carrot,LO,1,3,36.02932843
Summer,Carrot,LO,2,3,31.50183616
Summer,Carrot,LO,3,3,10.82074151
Summer,Carrot,HO,1,3,83.14107844
Summer,Carrot,HO,2,3,74.57721825
Summer,Carrot,HO,3,3,77.0660249
Summer,Carrot,LM,1,3,9.169234139
Summer,Carrot,LM,2,3,17.07971041
Summer,Carrot,LM,3,3,12.51238431
Summer,Carrot,MM,1,3,30.32090749
Summer,Carrot,MM,2,3,31.76116511
Summer,Carrot,MM,3,3,8.965517532
Summer,Carrot,HM,1,3,27.16961202
Summer,Carrot,HM,2,3,26.56565413
Summer,Carrot,HM,3,3,33.28095829
Summer,Carrot,Ref,1,3,12.79725989
Summer,Carrot,Ref,2,3,8.231874493
Summer,Carrot,Ref,3,3,18.81495016
Summer,NOAA,LO,1,1,15.80947607
Summer,NOAA,LO,2,1,63.39467272
Summer,NOAA,LO,3,1,89.52369259
Summer,NOAA,HO,1,1,56.73346151
Summer,NOAA,HO,2,1,26.284649
Summer,NOAA,HO,3,1,17.04492486
Summer,NOAA,LM,1,1,44.0840062
Summer,NOAA,LM,2,1,74.39261539
Summer,NOAA,LM,3,1,118.4053291
Summer,NOAA,MM,1,1,-2.668197643
