"Season","Site","CoreName","CoreNo","N2O_conc_uM","N2O_conc_nM","N2O_flux","Age","Habitat"
"Summer","IMS","LO",1,0.075182881,75.18288144,-0.37713715,0,"oyster"
"Summer","IMS","LO",2,0.088594815,88.59481465,-0.127225351,0,"oyster"
"Summer","IMS","LO",3,0.075374831,75.37483097,-0.373560451,0,"oyster"
"Summer","IMS","HO",1,0.082242722,82.24272214,-0.245587323,0,"oyster"
"Summer","IMS","HO",2,0.092531591,92.5315909,-0.053869272,0,"oyster"
"Summer","IMS","HO",3,0.096571994,96.57199419,0.021417746,0,"oyster"
"Summer","IMS","MM",1,0.076018791,76.01879069,-0.361561201,0,"marsh"
"Summer","IMS","MM",3,0.079029115,79.02911546,-0.305468193,0,"marsh"
"Summer","IMS","Ref",1,0.079288125,79.28812466,-0.300641935,0,"Ref"
"Summer","IMS","Ref",2,0.06390167,63.90166982,-0.587346062,0,"Ref"
"Summer","IMS","Ref",3,0.071412119,71.41211876,-0.447399809,0,"Ref"
"Summer","Carrot","LO",1,0.048563484,48.56348424,0.014992518,2,"oyster"
"Summer","Carrot","LO",2,0.04823428,48.23427994,0.008858276,2,"oyster"
"Summer","Carrot","LO",3,0.051842103,51.84210289,0.076084791,2,"oyster"
"Summer","Carrot","HO",1,0.053185522,53.18552246,0.101117454,2,"oyster"
"Summer","Carrot","HO",3,0.051183571,51.18357113,0.063814013,2,"oyster"
"Summer","Carrot","LM",1,0.048195485,48.19548482,0.008135386,2,"marsh"
"Summer","Carrot","LM",2,0.051086891,51.08689123,0.062012524,2,"marsh"
"Summer","Carrot","LM",3,0.048021954,48.02195363,0.004901886,2,"marsh"
"Summer","Carrot","MM",1,0.050115928,50.1159285,0.043920051,2,"marsh"
"Summer","Carrot","MM",2,0.049942322,49.94232152,0.040685138,2,"marsh"
"Summer","Carrot","MM",3,0.050523438,50.52343831,0.051513401,2,"marsh"
"Summer","Carrot","HM",1,0.050150513,50.15051252,0.044564474,2,"marsh"
"Summer","Carrot","HM",2,0.050352863,50.35286294,0.048334978,2,"marsh"
"Summer","Carrot","HM",3,0.049801356,49.80135645,0.03805846,2,"marsh"
"Summer","Carrot","Ref",1,0.050449297,50.44929652,0.050131877,2,"Ref"
"Summer","Carrot","Ref",2,0.048360149,48.36014855,0.011203654,2,"Ref"
"Summer","Carrot","Ref",3,0.049361555,49.36155527,0.029863407,2,"Ref"
"Summer","NOAA","LO",1,0.041145718,41.14571825,-0.004496291,7,"oyster"
"Summer","NOAA","LO",2,0.044354007,44.35400669,0.055285481,7,"oyster"
"Summer","NOAA","LO",3,0.045771565,45.77156532,0.081699617,7,"oyster"
"Summer","NOAA","HO",1,0.042495774,42.49577409,0.020660029,7,"oyster"
"Summer","NOAA","HO",2,0.042927595,42.92759523,0.028706385,7,"oyster"
"Summer","NOAA","HO",3,0.041551842,41.55184161,0.003071225,7,"oyster"
"Summer","NOAA","LM",1,0.053479794,53.47979398,0.225331207,7,"marsh"
"Summer","NOAA","LM",2,0.050797757,50.79775682,0.175355359,7,"marsh"
"Summer","NOAA","LM",3,0.069997813,69.99781326,0.533120386,7,"marsh"
"Summer","NOAA","MM",1,0.040022975,40.02297478,-0.025416977,7,"marsh"
"Summer","NOAA","MM",2,0.039768551,39.76855063,-0.0301578,7,"marsh"
"Summer","NOAA","MM",3,0.044692381,44.69238134,0.061590599,7,"marsh"
"Summer","NOAA","HM",1,0.042640985,42.64098502,0.023365822,7,"marsh"
"Summer","NOAA","HM",2,0.042621927,42.62192685,0.023010701,7,"marsh"
"Summer","NOAA","HM",3,0.042054239,42.05423944,0.012432675,7,"marsh"
"Summer","NOAA","Ref",1,0.042487413,42.48741309,0.020504234,7,"Ref"
"Summer","NOAA","Ref",2,0.04601883,46.01882965,0.086307027,7,"Ref"
"Summer","NOAA","Ref",3,0.043174614,43.17461365,0.033309213,7,"Ref"
"Summer","Army","LO",1,0.037859603,37.85960288,-0.072813425,20,"oyster"
"Summer","Army","LO",2,0.03540849,35.40849028,-0.11848633,20,"oyster"
"Summer","Army","LO",3,0.034637268,34.63726794,-0.132856933,20,"oyster"
"Summer","Army","HO",1,0.040527229,40.52722919,-0.023106102,20,"oyster"
"Summer","Army","HO",2,0.040841901,40.84190071,-0.017242658,20,"oyster"
"Summer","Army","HO",3,0.040872198,40.87219785,-0.016678115,20,"oyster"
"Summer","Army","LM",1,0.033092976,33.09297586,-0.161632562,20,"marsh"
"Summer","Army","LM",2,0.036433667,36.43366671,-0.099383664,20,"marsh"
"Summer","Army","LM",3,0.025808484,25.80848402,-0.297368435,20,"marsh"
"Summer","Army","MM",1,0.039766063,39.76606326,-0.037289318,20,"marsh"
"Summer","Army","MM",2,0.04145358,41.4535799,-0.005844909,20,"marsh"
"Summer","Army","MM",3,0.05916071,59.16070981,0.324101611,20,"marsh"
"Summer","Army","HM",1,0.036491428,36.49142833,-0.098307361,20,"marsh"
"Summer","Army","HM",2,0.035508249,35.50824916,-0.116627469,20,"marsh"
"Summer","Army","HM",3,0.039987176,39.98717649,-0.033169196,20,"marsh"
"Summer","Army","Ref",1,0.039856997,39.85699731,-0.035594895,20,"Ref"
"Summer","Army","Ref",2,0.040779582,40.7795822,-0.018403872,20,"Ref"
"Summer","Army","Ref",3,0.043596231,43.59623104,0.034080267,20,"Ref"
"Fall","IMS","LO",1,0.037779616,37.77961562,0.062340298,0,"oyster"
"Fall","IMS","LO",2,0.028679812,28.67981181,-0.107221264,0,"oyster"
"Fall","IMS","LO",3,0.033281588,33.28158804,-0.02147388,0,"oyster"
"Fall","IMS","HO",1,0.033045338,33.04533791,-0.025876057,0,"oyster"
"Fall","IMS","HO",2,0.033522873,33.52287323,-0.016977883,0,"oyster"
"Fall","IMS","HO",3,0.032177188,32.17718824,-0.042052759,0,"oyster"
"Fall","IMS","MM",1,0.030441286,30.44128642,-0.074398755,0,"marsh"
"Fall","IMS","MM",2,0.034204593,34.20459332,-0.004275024,0,"marsh"
"Fall","IMS","MM",3,0.031300293,31.30029348,-0.058392413,0,"marsh"
"Fall","IMS","Ref",1,0.035463887,35.46388734,0.019190082,0,"Ref"
"Fall","IMS","Ref",2,0.034181273,34.18127306,-0.004709563,0,"Ref"
"Fall","IMS","Ref",3,0.031449623,31.44962264,-0.055609882,0,"Ref"
"Fall","Carrot","LO",1,0.026172286,26.17228611,-0.026533423,2,"oyster"
"Fall","Carrot","LO",2,0.028241773,28.24177346,0.012028453,2,"oyster"
"Fall","Carrot","LO",3,0.043524211,43.52421068,0.296794364,2,"oyster"
"Fall","Carrot","HO",1,0.027073867,27.07386657,-0.009733787,2,"oyster"
"Fall","Carrot","HO",2,0.028191564,28.19156438,0.01109288,2,"oyster"
"Fall","Carrot","HO",3,0.032011435,32.01143531,0.0822706,2,"oyster"
"Fall","Carrot","LM",1,0.026605805,26.60580493,-0.018455432,2,"marsh"
"Fall","Carrot","LM",2,0.028323315,28.32331506,0.013547862,2,"marsh"
"Fall","Carrot","LM",3,0.020024691,20.02469136,-0.141084878,2,"marsh"
"Fall","Carrot","MM",1,0.027978914,27.97891415,0.007130454,2,"marsh"
"Fall","Carrot","MM",2,0.026552899,26.5528992,-0.019441254,2,"marsh"
"Fall","Carrot","MM",3,0.030548566,30.54856613,0.055012167,2,"marsh"
"Fall","Carrot","HM",1,0.026425643,26.42564294,-0.021812488,2,"marsh"
"Fall","Carrot","HM",2,0.029051154,29.05115412,0.02711008,2,"marsh"
"Fall","Carrot","HM",3,0.02900056,29.0005598,0.026167329,2,"marsh"
"Fall","Carrot","Ref",1,0.020604343,20.604343,-0.130283916,2,"Ref"
"Fall","Carrot","Ref",2,0.025699473,25.69947323,-0.035343601,2,"Ref"
"Fall","Carrot","Ref",3,0.026831938,26.83193842,-0.014241765,2,"Ref"
"Fall","NOAA","LO",1,0.023644491,23.64449075,-0.199206504,7,"oyster"
"Fall","NOAA","LO",2,0.022696575,22.69657519,-0.216869526,7,"oyster"
"Fall","NOAA","LO",3,0.020597619,20.59761932,-0.255980505,7,"oyster"
"Fall","NOAA","HO",1,0.033961453,33.96145311,-0.006964969,7,"oyster"
"Fall","NOAA","HO",2,0.021522612,21.52261212,-0.238744615,7,"oyster"
"Fall","NOAA","HO",3,0.023027696,23.02769638,-0.210699566,7,"oyster"
"Fall","NOAA","LM",1,0.021768932,21.76893236,-0.234154796,7,"marsh"
"Fall","NOAA","LM",2,0.023947522,23.94752162,-0.193559966,7,"marsh"
"Fall","NOAA","LM",3,0.023058967,23.05896673,-0.210116889,7,"marsh"
"Fall","NOAA","MM",1,0.027219513,27.21951305,-0.132591181,7,"marsh"
"Fall","NOAA","MM",2,0.01864733,18.64733011,-0.292321298,7,"marsh"
"Fall","NOAA","MM",3,0.020521961,20.52196098,-0.257390288,7,"marsh"
"Fall","NOAA","HM",1,0.020859575,20.85957474,-0.251099348,7,"marsh"
"Fall","NOAA","HM",2,0.020428415,20.42841494,-0.259133382,7,"marsh"
