"Season","Site","CoreName","avg_N2OFlux"
"Summer","IMS","LO",-0.292640984
"Summer","IMS","HO",-0.0926796163333333
"Summer","IMS","MM",-0.333514697
"Summer","IMS","Ref",-0.445129268666667
"Summer","Carrot","LO",0.0333118616666667
"Summer","Carrot","HO",0.0824657335
"Summer","Carrot","LM",0.0250165986666667
"Summer","Carrot","MM",0.0453728633333333
"Summer","Carrot","HM",0.0436526373333333
"Summer","Carrot","Ref",0.030399646
"Summer","NOAA","LO",0.0441629356666667
"Summer","NOAA","HO",0.017479213
"Summer","NOAA","LM",0.311268984
"Summer","NOAA","MM",0.002005274
"Summer","NOAA","HM",0.019603066
"Summer","NOAA","Ref",0.0467068246666667
"Summer","Army","LO",-0.108052229333333
"Summer","Army","HO",-0.0190089583333333
"Summer","Army","LM",-0.186128220333333
"Summer","Army","MM",0.0936557946666667
"Summer","Army","HM",-0.082701342
"Summer","Army","Ref",-0.0066395
"Fall","IMS","LO",-0.022118282
"Fall","IMS","HO",-0.028302233
"Fall","IMS","MM",-0.0456887306666667
"Fall","IMS","Ref",-0.0137097876666667
"Fall","Carrot","LO",0.0940964646666667
"Fall","Carrot","HO",0.0278765643333333
"Fall","Carrot","LM",-0.0486641493333333
"Fall","Carrot","MM",0.014233789
"Fall","Carrot","HM",0.010488307
"Fall","Carrot","Ref",-0.0599564273333333
"Fall","NOAA","LO",-0.224018845
"Fall","NOAA","HO",-0.152136383333333
"Fall","NOAA","LM",-0.212610550333333
"Fall","NOAA","MM",-0.227434255666667
"Fall","NOAA","HM",-0.271170441333333
"Fall","NOAA","Ref",-0.234824710666667
"Fall","Army","LO",-0.001488899
"Fall","Army","HO",-0.0363813096666667
"Fall","Army","LM",0.117855175333333
"Fall","Army","MM",0.171786692333333
"Fall","Army","HM",-0.0414557976666667
"Fall","Army","Ref",-0.0496803126666667
"Winter","IMS","LO",0.0147107413333333
"Winter","IMS","HO",0.0156621723333333
"Winter","IMS","MM",-0.0102677743333333
"Winter","IMS","Ref",0.015718313
"Winter","Carrot","LO",-0.0374730743333333
"Winter","Carrot","HO",-0.017704883
"Winter","Carrot","LM",-0.0665237256666667
"Winter","Carrot","MM",0.0342906003333333
"Winter","Carrot","HM",-0.0211785733333333
"Winter","Carrot","Ref",0.052808847
"Winter","NOAA","LO",0.00187657566666666
"Winter","NOAA","HO",-0.119546723333333
"Winter","NOAA","LM",-0.139108493666667
"Winter","NOAA","MM",0.0852609813333333
"Winter","NOAA","HM",-0.150032116
"Winter","NOAA","Ref",-0.0528304853333333
"Winter","Army","LO",0.106939088333333
"Winter","Army","HO",0.131283441
"Winter","Army","LM",0.036504974
"Winter","Army","MM",0.12564014
"Winter","Army","HM",0.00312209466666667
"Winter","Army","Ref",0.143614243666667
"Spring","IMS","LO",-0.0919563123333333
"Spring","IMS","HO",-0.033354809
"Spring","IMS","MM",-0.111199582
"Spring","IMS","Ref",-0.074103743
"Spring","Carrot","LO",-0.0320678143333333
"Spring","Carrot","HO",-0.038506132
"Spring","Carrot","LM",-0.221961881666667
"Spring","Carrot","MM",-0.032514176
"Spring","Carrot","HM",-0.078708345
"Spring","Carrot","Ref",-0.112231376
"Spring","NOAA","LO",-0.0506307166666667
"Spring","NOAA","HO",-0.0926880413333333
"Spring","NOAA","LM",-0.0562472926666667
"Spring","NOAA","MM",0.02144034
"Spring","NOAA","HM",0.108370542666667
"Spring","NOAA","Ref",0.0236989176666667
"Spring","Army","LO",-0.105134283666667
"Spring","Army","HO",-0.0750234813333333
"Spring","Army","LM",0.187069243
"Spring","Army","MM",-0.0697160416666667
"Spring","Army","HM",-0.0840533256666667
"Spring","Army","Ref",-0.0704705506666667
