Season,Site,CoreName,CoreNo,N2O_conc_uM,N2O_conc_nM,N2O_flux
Summer,IMS,LO,1,0.075182881,75.18288144,-0.37713715
Summer,IMS,LO,2,0.088594815,88.59481465,-0.127225351
Summer,IMS,LO,3,0.075374831,75.37483097,-0.373560451
Summer,IMS,HO,1,0.082242722,82.24272214,-0.245587323
Summer,IMS,HO,2,0.092531591,92.5315909,-0.053869272
Summer,IMS,HO,3,0.096571994,96.57199419,0.021417746
Summer,IMS,MM,1,0.076018791,76.01879069,-0.361561201
Summer,IMS,MM,2,,,
Summer,IMS,MM,3,0.079029115,79.02911546,-0.305468193
Summer,IMS,Ref,1,0.079288125,79.28812466,-0.300641935
Summer,IMS,Ref,2,0.06390167,63.90166982,-0.587346062
Summer,IMS,Ref,3,0.071412119,71.41211876,-0.447399809
Summer,Carrot,LO,1,0.048563484,48.56348424,0.014992518
Summer,Carrot,LO,2,0.04823428,48.23427994,0.008858276
Summer,Carrot,LO,3,0.051842103,51.84210289,0.076084791
Summer,Carrot,HO,1,0.053185522,53.18552246,0.101117454
Summer,Carrot,HO,2,,,
Summer,Carrot,HO,3,0.051183571,51.18357113,0.063814013
Summer,Carrot,LM,1,0.048195485,48.19548482,0.008135386
Summer,Carrot,LM,2,0.051086891,51.08689123,0.062012524
Summer,Carrot,LM,3,0.048021954,48.02195363,0.004901886
Summer,Carrot,MM,1,0.050115928,50.1159285,0.043920051
Summer,Carrot,MM,2,0.049942322,49.94232152,0.040685138
Summer,Carrot,MM,3,0.050523438,50.52343831,0.051513401
Summer,Carrot,HM,1,0.050150513,50.15051252,0.044564474
Summer,Carrot,HM,2,0.050352863,50.35286294,0.048334978
Summer,Carrot,HM,3,0.049801356,49.80135645,0.03805846
Summer,Carrot,Ref,1,0.050449297,50.44929652,0.050131877
Summer,Carrot,Ref,2,0.048360149,48.36014855,0.011203654
Summer,Carrot,Ref,3,0.049361555,49.36155527,0.029863407
Summer,NOAA,LO,1,0.041145718,41.14571825,-0.004496291
Summer,NOAA,LO,2,0.044354007,44.35400669,0.055285481
Summer,NOAA,LO,3,0.045771565,45.77156532,0.081699617
