"Season","Site","CoreName","CoreNo","O2conc","Age","Habitat"
"Summer","IMS","LO",1,4.429749379,0,"oyster"
"Summer","IMS","LO",2,4.3104621,0,"oyster"
"Summer","IMS","LO",3,4.35119607533333,0,"oyster"
"Summer","IMS","HO",1,4.189897441,0,"oyster"
"Summer","IMS","HO",2,4.282618103,0,"oyster"
"Summer","IMS","HO",3,4.43182304566667,0,"oyster"
"Summer","IMS","MM",1,1.33592120966667,0,"marsh"
"Summer","IMS","MM",2,1.74832846233333,0,"marsh"
"Summer","IMS","MM",3,1.98308251366667,0,"marsh"
"Summer","IMS","Ref",1,1.80326349866667,0,"Ref"
"Summer","IMS","Ref",2,4.39301302,0,"Ref"
"Summer","IMS","Ref",3,2.13250101666667,0,"Ref"
"Summer","Carrot","LO",1,4.02058805466667,2,"oyster"
"Summer","Carrot","LO",2,4.01626427833333,2,"oyster"
"Summer","Carrot","LO",3,4.58648835266667,2,"oyster"
"Summer","Carrot","HO",1,3.74309122066667,2,"oyster"
"Summer","Carrot","HO",2,2.814476217,2,"oyster"
"Summer","Carrot","HO",3,3.727820652,2,"oyster"
"Summer","Carrot","LM",1,4.770291806,2,"marsh"
"Summer","Carrot","LM",2,4.36926440066667,2,"marsh"
"Summer","Carrot","LM",3,4.58139252266667,2,"marsh"
"Summer","Carrot","MM",1,2.07755176533333,2,"marsh"
"Summer","Carrot","MM",2,2.04276111266667,2,"marsh"
"Summer","Carrot","MM",3,2.20603734866667,2,"marsh"
"Summer","Carrot","HM",1,2.04991471333333,2,"marsh"
"Summer","Carrot","HM",2,2.166734229,2,"marsh"
"Summer","Carrot","HM",3,1.88613613833333,2,"marsh"
"Summer","Carrot","Ref",1,4.75056746366667,2,"Ref"
"Summer","Carrot","Ref",2,4.72403476966667,2,"Ref"
"Summer","Carrot","Ref",3,4.57818754566667,2,"Ref"
"Summer","NOAA","LO",1,2.73443816533333,7,"oyster"
"Summer","NOAA","LO",2,0.913279323,7,"oyster"
"Summer","NOAA","LO",3,0.564367286333333,7,"oyster"
"Summer","NOAA","HO",1,2.212454895,7,"oyster"
"Summer","NOAA","HO",2,2.41117088766667,7,"oyster"
"Summer","NOAA","HO",3,2.81133632933333,7,"oyster"
"Summer","NOAA","LM",1,1.377397664,7,"marsh"
"Summer","NOAA","LM",2,0.363106773333333,7,"marsh"
"Summer","NOAA","LM",3,0.322343036333333,7,"marsh"
"Summer","NOAA","MM",1,1.477856743,7,"marsh"
"Summer","NOAA","MM",2,0.302228210666667,7,"marsh"
"Summer","NOAA","MM",3,0.792212711666667,7,"marsh"
"Summer","NOAA","HM",1,1.54724126166667,7,"marsh"
"Summer","NOAA","HM",2,1.5284432,7,"marsh"
"Summer","NOAA","HM",3,1.20043839466667,7,"marsh"
"Summer","NOAA","Ref",1,3.193516707,7,"Ref"
"Summer","NOAA","Ref",2,1.93423897833333,7,"Ref"
"Summer","NOAA","Ref",3,3.11461101066667,7,"Ref"
"Summer","Army","LO",1,2.75408480325,20,"oyster"
"Summer","Army","LO",2,0.50247227325,20,"oyster"
"Summer","Army","LO",3,0.9546285765,20,"oyster"
"Summer","Army","HO",1,3.82315833675,20,"oyster"
"Summer","Army","HO",2,4.188778806,20,"oyster"
"Summer","Army","HO",3,4.57318286925,20,"oyster"
"Summer","Army","LM",1,1.383615072,20,"marsh"
"Summer","Army","LM",2,0.78367293,20,"marsh"
"Summer","Army","LM",3,0.37001277175,20,"marsh"
"Summer","Army","MM",1,1.48875417225,20,"marsh"
"Summer","Army","MM",2,1.0024082655,20,"marsh"
"Summer","Army","MM",3,1.59717743525,20,"marsh"
"Summer","Army","HM",1,1.08580442,20,"marsh"
"Summer","Army","HM",2,0.3357499505,20,"marsh"
"Summer","Army","HM",3,1.42471255475,20,"marsh"
"Summer","Army","Ref",1,4.717490582,20,"Ref"
"Summer","Army","Ref",2,4.09838981975,20,"Ref"
"Summer","Army","Ref",3,4.41730418875,20,"Ref"
"Fall","IMS","LO",1,5.37488487933333,0,"oyster"
"Fall","IMS","LO",2,3.40739438733333,0,"oyster"
"Fall","IMS","LO",3,4.921192268,0,"oyster"
"Fall","IMS","HO",1,4.19052670166667,0,"oyster"
"Fall","IMS","HO",2,4.90047669933333,0,"oyster"
"Fall","IMS","HO",3,4.518167522,0,"oyster"
"Fall","IMS","MM",1,4.58940759966667,0,"marsh"
"Fall","IMS","MM",2,5.276202066,0,"marsh"
"Fall","IMS","MM",3,4.45964399466667,0,"marsh"
"Fall","IMS","Ref",1,5.11199336366667,0,"Ref"
"Fall","IMS","Ref",2,4.586601804,0,"Ref"
"Fall","IMS","Ref",3,4.540045823,0,"Ref"
"Fall","IMS","LoRef",1,4.945024547,0,"LoRef"
"Fall","IMS","HiRef",1,4.976871717,0,"HiRef"
"Fall","Carrot","LO",1,6.43069067633333,2,"oyster"
"Fall","Carrot","LO",2,6.43347199133333,2,"oyster"
"Fall","Carrot","LO",3,6.863832821,2,"oyster"
"Fall","Carrot","HO",1,6.75554745433333,2,"oyster"
"Fall","Carrot","HO",2,6.81930349766667,2,"oyster"
"Fall","Carrot","HO",3,6.76077274866667,2,"oyster"
"Fall","Carrot","LM",1,6.898346865,2,"marsh"
"Fall","Carrot","LM",2,6.88522488533333,2,"marsh"
"Fall","Carrot","LM",3,6.90576423066667,2,"marsh"
"Fall","Carrot","MM",1,6.65477760666667,2,"marsh"
"Fall","Carrot","MM",2,6.42131453,2,"marsh"
"Fall","Carrot","MM",3,7.041794438,2,"marsh"
"Fall","Carrot","HM",1,6.98638149733333,2,"marsh"
"Fall","Carrot","HM",2,6.97386422366667,2,"marsh"
"Fall","Carrot","HM",3,6.68546541866667,2,"marsh"
"Fall","Carrot","Ref",1,6.97209019266667,2,"Ref"
"Fall","Carrot","Ref",2,6.83530596233333,2,"Ref"
"Fall","Carrot","Ref",3,6.96218960533333,2,"Ref"
"Fall","Carrot","LoRef",1,6.866549459,2,"LoRef"
"Fall","Carrot","HiRef",1,6.685078138,2,"HiRef"
"Fall","NOAA","LO",1,4.5649209584,7,"oyster"
"Fall","NOAA","LO",2,3.3744239316,7,"oyster"
"Fall","NOAA","LO",3,4.8634604774,7,"oyster"
"Fall","NOAA","HO",1,4.2233124568,7,"oyster"
"Fall","NOAA","HO",2,4.6910971126,7,"oyster"
"Fall","NOAA","HO",3,4.203711389,7,"oyster"
"Fall","NOAA","LM",1,3.541896652,7,"marsh"
"Fall","NOAA","LM",2,4.7132938918,7,"marsh"
"Fall","NOAA","LM",3,4.4229071544,7,"marsh"
"Fall","NOAA","MM",1,4.4076428022,7,"marsh"
"Fall","NOAA","MM",2,3.6823252518,7,"marsh"
"Fall","NOAA","MM",3,3.7924061598,7,"marsh"
"Fall","NOAA","HM",1,4.5968019748,7,"marsh"
"Fall","NOAA","HM",2,3.6567143668,7,"marsh"
"Fall","NOAA","HM",3,2.6285436874,7,"marsh"
"Fall","NOAA","Ref",1,3.9498302878,7,"Ref"
"Fall","NOAA","Ref",2,4.1906564758,7,"Ref"
"Fall","NOAA","Ref",3,3.3574492758,7,"Ref"
"Fall","NOAA","LoRef",1,5.034203435,7,"LoRef"
"Fall","NOAA","HiRef",1,5.3906996848,7,"HiRef"
"Fall","Army","LO",1,6.48387865266667,20,"oyster"
"Fall","Army","LO",2,6.030710431,20,"oyster"
"Fall","Army","LO",3,6.038792915,20,"oyster"
"Fall","Army","HO",1,6.26167215266667,20,"oyster"
"Fall","Army","HO",2,6.14967561633333,20,"oyster"
"Fall","Army","HO",3,5.88384798266667,20,"oyster"
"Fall","Army","LM",1,6.14758110366667,20,"marsh"
"Fall","Army","LM",2,5.95648693733333,20,"marsh"
"Fall","Army","LM",3,6.33391667266667,20,"marsh"
"Fall","Army","MM",1,5.848910045,20,"marsh"
"Fall","Army","MM",2,5.28478771333333,20,"marsh"
"Fall","Army","MM",3,6.13344512966667,20,"marsh"
"Fall","Army","HM",1,5.2330255,20,"marsh"
"Fall","Army","HM",2,6.12107753333333,20,"marsh"
"Fall","Army","HM",3,5.00848386766667,20,"marsh"
"Fall","Army","Ref",1,6.379476059,20,"Ref"
"Fall","Army","Ref",2,6.04138883366667,20,"Ref"
"Fall","Army","Ref",3,5.90363338333333,20,"Ref"
"Fall","Army","LoRef",1,6.204555098,20,"LoRef"
"Fall","Army","HiRef",1,6.13930051566667,20,"HiRef"
"Winter","IMS","LO",1,8.9238735298,0,"oyster"
"Winter","IMS","LO",2,8.9405510876,0,"oyster"
"Winter","IMS","LO",3,8.867961698,0,"oyster"
"Winter","IMS","HO",1,8.9551064572,0,"oyster"
"Winter","IMS","HO",2,8.965211168,0,"oyster"
"Winter","IMS","HO",3,8.9237232294,0,"oyster"
"Winter","IMS","MM",1,8.0932645092,0,"marsh"
"Winter","IMS","MM",2,8.3348326908,0,"marsh"
"Winter","IMS","MM",3,8.8733094192,0,"marsh"
"Winter","IMS","Ref",1,8.8594016028,0,"Ref"
"Winter","IMS","Ref",2,8.8730230616,0,"Ref"
"Winter","IMS","Ref",3,8.845730753,0,"Ref"
"Winter","IMS","LoRef",1,8.9759931534,0,"LoRef"
"Winter","IMS","HiRef",1,8.3059457282,0,"HiRef"
"Winter","Carrot","LO",1,9.3794453,2,"oyster"
"Winter","Carrot","LO",2,9.25408692,2,"oyster"
"Winter","Carrot","LO",3,8.89773094275,2,"oyster"
"Winter","Carrot","HO",1,9.6995345615,2,"oyster"
"Winter","Carrot","HO",3,8.0306840285,2,"oyster"
"Winter","Carrot","LM",1,9.65587074675,2,"marsh"
"Winter","Carrot","LM",2,9.5732619585,2,"marsh"
"Winter","Carrot","LM",3,9.66197599875,2,"marsh"
"Winter","Carrot","MM",1,9.65556920575,2,"marsh"
"Winter","Carrot","MM",2,9.69565634375,2,"marsh"
"Winter","Carrot","MM",3,9.398012335,2,"marsh"
"Winter","Carrot","HM",1,9.680847938,2,"marsh"
"Winter","Carrot","HM",2,9.52391005325,2,"marsh"
"Winter","Carrot","HM",3,9.2697262925,2,"marsh"
"Winter","Carrot","Ref",1,9.70209041125,2,"Ref"
"Winter","Carrot","Ref",2,9.737380828,2,"Ref"
"Winter","Carrot","Ref",3,9.6550899705,2,"Ref"
"Winter","Carrot","LoRef",1,9.5916296845,2,"LoRef"
"Winter","Carrot","HiRef",1,9.55983180925,2,"HiRef"
"Winter","NOAA","LO",1,8.673915102,7,"oyster"
"Winter","NOAA","LO",2,8.473632349,7,"oyster"
"Winter","NOAA","LO",3,7.8354217838,7,"oyster"
"Winter","NOAA","HO",1,7.1592485318,7,"oyster"
"Winter","NOAA","HO",2,7.9255628142,7,"oyster"
"Winter","NOAA","HO",3,6.8832931834,7,"oyster"
"Winter","NOAA","LM",1,8.3088593444,7,"marsh"
"Winter","NOAA","LM",2,7.5805700306,7,"marsh"
"Winter","NOAA","LM",3,7.8117767806,7,"marsh"
"Winter","NOAA","MM",1,8.1711778952,7,"marsh"
"Winter","NOAA","MM",2,8.3148057592,7,"marsh"
"Winter","NOAA","MM",3,8.246756133,7,"marsh"
"Winter","NOAA","HM",1,8.6562040154,7,"marsh"
"Winter","NOAA","HM",2,8.9860730342,7,"marsh"
"Winter","NOAA","HM",3,8.688167358,7,"marsh"
"Winter","NOAA","Ref",1,8.3330789634,7,"Ref"
"Winter","NOAA","Ref",2,8.5239515176,7,"Ref"
"Winter","NOAA","Ref",3,8.6338599402,7,"Ref"
"Winter","NOAA","LoRef",1,7.2931776914,7,"LoRef"
"Winter","NOAA","HiRef",1,8.6110693106,7,"HiRef"
"Winter","Army","LO",1,9.63277916,20,"oyster"
"Winter","Army","LO",2,9.494960952,20,"oyster"
"Winter","Army","LO",3,9.6098596546,20,"oyster"
"Winter","Army","HO",1,9.6175170958,20,"oyster"
"Winter","Army","HO",2,9.6696321384,20,"oyster"
"Winter","Army","HO",3,9.5808060956,20,"oyster"
"Winter","Army","LM",1,9.6049882612,20,"marsh"
"Winter","Army","LM",2,9.5877609442,20,"marsh"
"Winter","Army","LM",3,9.6232301924,20,"marsh"
"Winter","Army","MM",1,9.2102322558,20,"marsh"
"Winter","Army","MM",2,9.6243125968,20,"marsh"
"Winter","Army","MM",3,9.6599160798,20,"marsh"
"Winter","Army","HM",1,9.4983522206,20,"marsh"
"Winter","Army","HM",2,9.667775658,20,"marsh"
"Winter","Army","HM",3,9.6038831598,20,"marsh"
"Winter","Army","Ref",1,9.6102172416,20,"Ref"
"Winter","Army","Ref",2,9.5631452804,20,"Ref"
"Winter","Army","Ref",3,8.9647843296,20,"Ref"
"Winter","Army","LoRef",1,9.611504062,20,"LoRef"
"Winter","Army","HiRef",1,9.5923838774,20,"HiRef"
"Spring","IMS","LO",1,5.0336532568,0,"oyster"
"Spring","IMS","LO",2,3.1349789636,0,"oyster"
"Spring","IMS","LO",3,4.1163979888,0,"oyster"
"Spring","IMS","HO",1,2.2548496728,0,"oyster"
"Spring","IMS","HO",2,4.4330201798,0,"oyster"
"Spring","IMS","HO",3,5.145517175,0,"oyster"
"Spring","IMS","MM",1,3.9320210536,0,"marsh"
"Spring","IMS","MM",2,4.322376807,0,"marsh"
"Spring","IMS","MM",3,4.263187956,0,"marsh"
"Spring","IMS","Ref",1,5.4247934758,0,"Ref"
"Spring","IMS","Ref",2,5.7609993924,0,"Ref"
"Spring","IMS","Ref",3,4.6745520884,0,"Ref"
"Spring","IMS","LoRef",1,5.4307967804,0,"LoRef"
"Spring","IMS","HiRef",1,3.9420778026,0,"HiRef"
"Spring","Carrot","LO",1,5.2581774996,2,"oyster"
"Spring","Carrot","LO",2,6.0411957992,2,"oyster"
"Spring","Carrot","LO",3,5.0246061722,2,"oyster"
"Spring","Carrot","HO",1,5.620682539,2,"oyster"
"Spring","Carrot","HO",2,6.1134114212,2,"oyster"
"Spring","Carrot","HO",3,5.3694514936,2,"oyster"
"Spring","Carrot","LM",1,6.6148134576,2,"marsh"
"Spring","Carrot","LM",2,6.2584513312,2,"marsh"
"Spring","Carrot","LM",3,5.2078051006,2,"marsh"
"Spring","Carrot","MM",1,6.2297745158,2,"marsh"
"Spring","Carrot","MM",2,6.178126987,2,"marsh"
"Spring","Carrot","MM",3,6.2944753804,2,"marsh"
"Spring","Carrot","HM",1,5.9487061494,2,"marsh"
"Spring","Carrot","HM",2,5.777778245,2,"marsh"
"Spring","Carrot","HM",3,5.9882770542,2,"marsh"
"Spring","Carrot","Ref",1,2.8542609362,2,"Ref"
"Spring","Carrot","Ref",2,3.0780843514,2,"Ref"
"Spring","Carrot","Ref",3,5.0637364292,2,"Ref"
"Spring","Carrot","LoRef",1,5.959105896,2,"LoRef"
"Spring","Carrot","HiRef",1,6.1548627006,2,"HiRef"
"Spring","NOAA","LO",1,4.82275627675,7,"oyster"
"Spring","NOAA","LO",2,4.36181553325,7,"oyster"
"Spring","NOAA","LO",3,2.951616205,7,"oyster"
"Spring","NOAA","HO",1,2.88815752975,7,"oyster"
"Spring","NOAA","HO",2,4.137882603,7,"oyster"
"Spring","NOAA","HO",3,5.7187994945,7,"oyster"
"Spring","NOAA","LM",1,3.14892671825,7,"marsh"
"Spring","NOAA","LM",2,2.51603249075,7,"marsh"
"Spring","NOAA","LM",3,2.78356661225,7,"marsh"
"Spring","NOAA","MM",1,3.76702363875,7,"marsh"
"Spring","NOAA","MM",2,2.665478185,7,"marsh"
"Spring","NOAA","MM",3,3.34369833575,7,"marsh"
"Spring","NOAA","HM",1,5.73849309475,7,"marsh"
"Spring","NOAA","HM",2,6.26530460825,7,"marsh"
"Spring","NOAA","HM",3,5.79634936775,7,"marsh"
"Spring","NOAA","Ref",1,4.8768805495,7,"Ref"
"Spring","NOAA","Ref",2,4.3726787305,7,"Ref"
"Spring","NOAA","Ref",3,4.41461835425,7,"Ref"
"Spring","NOAA","LoRef",1,5.12769141625,7,"LoRef"
"Spring","NOAA","HiRef",1,6.63750980575,7,"HiRef"
"Spring","Army","LO",1,6.1171110294,20,"oyster"
"Spring","Army","LO",2,5.551271005,20,"oyster"
"Spring","Army","LO",3,6.312236714,20,"oyster"
"Spring","Army","HO",1,6.4046088582,20,"oyster"
"Spring","Army","HO",2,6.5804657198,20,"oyster"
"Spring","Army","HO",3,5.9530419824,20,"oyster"
"Spring","Army","LM",1,6.1731913566,20,"marsh"
"Spring","Army","LM",2,6.37756658,20,"marsh"
"Spring","Army","LM",3,6.1724014394,20,"marsh"
"Spring","Army","MM",1,5.6642559174,20,"marsh"
"Spring","Army","MM",2,6.2321087184,20,"marsh"
"Spring","Army","MM",3,5.9631833,20,"marsh"
"Spring","Army","HM",1,6.42410065,20,"marsh"
"Spring","Army","HM",2,4.563375528,20,"marsh"
"Spring","Army","HM",3,5.8709446968,20,"marsh"
"Spring","Army","Ref",1,6.4649381722,20,"Ref"
"Spring","Army","Ref",2,6.3498776606,20,"Ref"
"Spring","Army","Ref",3,6.1972151244,20,"Ref"
"Spring","Army","LoRef",1,4.3968805706,20,"LoRef"
"Spring","Army","HiRef",1,6.2522990892,20,"HiRef"
"Summer15","IMS","LO",1,2.9359563824,0,"oyster"
"Summer15","IMS","LO",2,4.7590219652,0,"oyster"
"Summer15","IMS","LO",3,1.8165259504,0,"oyster"
"Summer15","IMS","HO",1,4.3618726662,0,"oyster"
"Summer15","IMS","HO",2,4.9658380136,0,"oyster"
"Summer15","IMS","HO",3,4.2339615554,0,"oyster"
"Summer15","IMS","MM",1,3.3962423248,0,"marsh"
"Summer15","IMS","MM",2,3.1438188388,0,"marsh"
"Summer15","IMS","MM",3,2.8522639036,0,"marsh"
"Summer15","Carrot","LO",1,4.365247504,2,"oyster"
"Summer15","Carrot","LO",2,5.192449028,2,"oyster"
"Summer15","Carrot","LO",3,5.36518448533333,2,"oyster"
"Summer15","Carrot","HO",1,3.75048131683333,2,"oyster"
"Summer15","Carrot","HO",2,3.43945456833333,2,"oyster"
"Summer15","Carrot","HO",3,1.58153993216667,2,"oyster"
"Summer15","Carrot","MM",1,4.62882077733333,2,"marsh"
"Summer15","Carrot","MM",2,5.174958451,2,"marsh"
"Summer15","Carrot","MM",3,4.60728404533333,2,"marsh"
"Summer15","NOAA","LO",1,4.9728048288,7,"oyster"
