"Season","Site","CoreName","avg_O2conc"
"Summer","IMS","LO",4.36380251811111
"Summer","IMS","HO",4.30144619655556
"Summer","IMS","MM",1.68911072855556
"Summer","IMS","Ref",2.77625917844444
"Summer","Carrot","LO",4.20778022855556
"Summer","Carrot","HO",3.42846269655556
"Summer","Carrot","LM",4.57364957644444
"Summer","Carrot","MM",2.10878340888889
"Summer","Carrot","HM",2.03426169355556
"Summer","Carrot","Ref",4.68426325966667
"Summer","NOAA","LO",1.40402825822222
"Summer","NOAA","HO",2.478320704
"Summer","NOAA","LM",0.687615824555556
"Summer","NOAA","MM",0.857432555111111
"Summer","NOAA","HM",1.42537428544444
"Summer","NOAA","Ref",2.74745556533333
"Summer","Army","LO",1.403728551
"Summer","Army","HO",4.195040004
"Summer","Army","LM",0.845766924583333
"Summer","Army","MM",1.36277995766667
"Summer","Army","HM",0.94875564175
"Summer","Army","Ref",4.41106153016667
"Fall","IMS","LO",4.56782384488889
"Fall","IMS","HO",4.53639030766667
"Fall","IMS","MM",4.77508455344444
"Fall","IMS","Ref",4.74621366355556
"Fall","IMS","LoRef",4.945024547
"Fall","IMS","HiRef",4.976871717
"Fall","Carrot","LO",6.57599849622222
"Fall","Carrot","HO",6.77854123355556
"Fall","Carrot","LM",6.896445327
"Fall","Carrot","MM",6.70596219155556
"Fall","Carrot","HM",6.88190371322222
"Fall","Carrot","Ref",6.92319525344444
"Fall","Carrot","LoRef",6.866549459
"Fall","Carrot","HiRef",6.685078138
"Fall","NOAA","LO",4.26760178913333
"Fall","NOAA","HO",4.37270698613333
"Fall","NOAA","LM",4.22603256606667
"Fall","NOAA","MM",3.9607914046
"Fall","NOAA","HM",3.627353343
"Fall","NOAA","Ref",3.83264534646667
"Fall","NOAA","LoRef",5.034203435
"Fall","NOAA","HiRef",5.3906996848
"Fall","Army","LO",6.18446066622222
"Fall","Army","HO",6.09839858388889
"Fall","Army","LM",6.14599490455556
"Fall","Army","MM",5.755714296
"Fall","Army","HM",5.45419563366667
"Fall","Army","Ref",6.108166092
"Fall","Army","LoRef",6.204555098
"Fall","Army","HiRef",6.13930051566667
"Winter","IMS","LO",8.91079543846667
"Winter","IMS","HO",8.9480136182
"Winter","IMS","MM",8.4338022064
"Winter","IMS","Ref",8.85938513913333
"Winter","IMS","LoRef",8.9759931534
"Winter","IMS","HiRef",8.3059457282
"Winter","Carrot","LO",9.17708772091667
"Winter","Carrot","HO",8.865109295
"Winter","Carrot","LM",9.630369568
"Winter","Carrot","MM",9.58307929483333
"Winter","Carrot","HM",9.49149476125
"Winter","Carrot","Ref",9.69818706991667
"Winter","Carrot","LoRef",9.5916296845
"Winter","Carrot","HiRef",9.55983180925
"Winter","NOAA","LO",8.3276564116
"Winter","NOAA","HO",7.3227015098
"Winter","NOAA","LM",7.90040205186667
"Winter","NOAA","MM",8.2442465958
"Winter","NOAA","HM",8.77681480253333
"Winter","NOAA","Ref",8.49696347373333
"Winter","NOAA","LoRef",7.2931776914
"Winter","NOAA","HiRef",8.6110693106
"Winter","Army","LO",9.5791999222
"Winter","Army","HO",9.6226517766
"Winter","Army","LM",9.60532646593333
"Winter","Army","MM",9.49815364413333
"Winter","Army","HM",9.59000367946667
"Winter","Army","Ref",9.37938228386667
"Winter","Army","LoRef",9.611504062
"Winter","Army","HiRef",9.5923838774
"Spring","IMS","LO",4.09501006973333
"Spring","IMS","HO",3.94446234253333
"Spring","IMS","MM",4.17252860553333
"Spring","IMS","Ref",5.2867816522
"Spring","IMS","LoRef",5.4307967804
"Spring","IMS","HiRef",3.9420778026
"Spring","Carrot","LO",5.44132649033333
"Spring","Carrot","HO",5.70118181793333
"Spring","Carrot","LM",6.02702329646667
"Spring","Carrot","MM",6.23412562773333
"Spring","Carrot","HM",5.90492048286667
"Spring","Carrot","Ref",3.66536057226667
"Spring","Carrot","LoRef",5.959105896
"Spring","Carrot","HiRef",6.1548627006
"Spring","NOAA","LO",4.045396005
"Spring","NOAA","HO",4.24827987575
"Spring","NOAA","LM",2.81617527375
"Spring","NOAA","MM",3.2587333865
"Spring","NOAA","HM",5.93338235691667
"Spring","NOAA","Ref",4.55472587808333
"Spring","NOAA","LoRef",5.12769141625
"Spring","NOAA","HiRef",6.63750980575
"Spring","Army","LO",5.9935395828
"Spring","Army","HO",6.31270552013333
"Spring","Army","LM",6.24105312533333
"Spring","Army","MM",5.95318264526667
"Spring","Army","HM",5.61947362493333
"Spring","Army","Ref",6.3373436524
"Spring","Army","LoRef",4.3968805706
"Spring","Army","HiRef",6.2522990892
"Summer15","IMS","LO",3.17050143266667
"Summer15","IMS","HO",4.52055741173333
"Summer15","IMS","MM",3.1307750224
"Summer15","Carrot","LO",4.97429367244444
"Summer15","Carrot","HO",2.92382527244444
"Summer15","Carrot","MM",4.80368775788889
"Summer15","NOAA","LO",4.92575027573333
"Summer15","NOAA","HO",3.95075860886667
"Summer15","NOAA","MM",2.1422334504
"Summer15","Army","LO",4.4402868235
"Summer15","Army","HO",4.33467576977778
"Summer15","Army","MM",4.29387229477778
