Season,Site,CoreName,CoreNo,TimePt,conc_O2
Summer,IMS,LO,1,1,3.979209436
Summer,IMS,LO,2,1,3.939787219
Summer,IMS,LO,3,1,3.934897692
Summer,IMS,HO,1,1,3.618116718
Summer,IMS,HO,2,1,3.827631339
Summer,IMS,HO,3,1,4.251665548
Summer,IMS,MM,1,1,1.069733317
Summer,IMS,MM,2,1,1.495819048
Summer,IMS,MM,3,1,1.755209031
Summer,IMS,Ref,1,1,1.521907063
Summer,IMS,Ref,2,1,3.79549084
Summer,IMS,Ref,3,1,1.943204333
Summer,IMS,LO,1,2,4.783374472
Summer,IMS,LO,2,2,4.60372275
Summer,IMS,LO,3,2,4.668938736
Summer,IMS,HO,1,2,4.606096912
Summer,IMS,HO,2,2,4.568002766
Summer,IMS,HO,3,2,4.590458743
Summer,IMS,MM,1,2,1.575768438
Summer,IMS,MM,2,2,1.949025241
Summer,IMS,MM,3,2,2.198787175
Summer,IMS,Ref,1,2,2.015106971
Summer,IMS,Ref,2,2,4.820878347
Summer,IMS,Ref,3,2,2.271131084
Summer,IMS,LO,1,3,4.526664229
Summer,IMS,LO,2,3,4.387876331
Summer,IMS,LO,3,3,4.449751798
Summer,IMS,HO,1,3,4.345478693
Summer,IMS,HO,2,3,4.452220204
Summer,IMS,HO,3,3,4.453344846
Summer,IMS,MM,1,3,1.362261874
Summer,IMS,MM,2,3,1.800141098
Summer,IMS,MM,3,3,1.995251335
Summer,IMS,Ref,1,3,1.872776462
Summer,IMS,Ref,2,3,4.562669873
Summer,IMS,Ref,3,3,2.183167633
Summer,Carrot,LO,1,1,3.636059062
Summer,Carrot,LO,2,1,3.775423309
Summer,Carrot,LO,3,1,4.202568103
Summer,Carrot,HO,1,1,3.783226582
Summer,Carrot,HO,2,1,2.663169472
Summer,Carrot,HO,3,1,3.964339379
Summer,Carrot,LM,1,1,4.452294723
Summer,Carrot,LM,2,1,4.108813811
Summer,Carrot,LM,3,1,4.429350392
Summer,Carrot,MM,1,1,2.05640136
Summer,Carrot,MM,2,1,1.992998146
Summer,Carrot,MM,3,1,2.162469126
Summer,Carrot,HM,1,1,1.939675096
Summer,Carrot,HM,2,1,2.142881364
Summer,Carrot,HM,3,1,1.729573432
Summer,Carrot,Ref,1,1,4.671275192
Summer,Carrot,Ref,2,1,4.546583997
Summer,Carrot,Ref,3,1,4.142515888
Summer,Carrot,LO,1,2,4.257820937
Summer,Carrot,LO,2,2,4.166387059
Summer,Carrot,LO,3,2,4.79887768
Summer,Carrot,HO,1,2,4.091880261
