"Season","Site","CoreName","Habitat","Age","Avg_N2BC"
"Summer","IMS","LO","oyster",0,8.37845762011974
"Summer","IMS","HO","oyster",0,8.96680081460754
"Summer","IMS","MM","marsh",0,10.9772219905893
"Summer","IMS","Ref","Ref",0,9.09944943659834
"Summer","Carrot","LO","oyster",2,10.0813507977494
"Summer","Carrot","HO","oyster",2,14.0286678414759
"Summer","Carrot","LM","marsh",2,9.36226008805826
"Summer","Carrot","MM","marsh",2,9.75014580739339
"Summer","Carrot","HM","marsh",2,10.2223647586403
"Summer","Carrot","Ref","Ref",2,11.1905451847503
"Summer","NOAA","LO","oyster",7,15.2461315435166
"Summer","NOAA","HO","oyster",7,14.5726417945336
"Summer","NOAA","LM","marsh",7,18.305084991863
"Summer","NOAA","MM","marsh",7,14.5885541736369
"Summer","NOAA","HM","marsh",7,13.2471280381501
"Summer","NOAA","Ref","Ref",7,14.2376202337505
"Summer","Army","LO","oyster",20,17.6292556048406
"Summer","Army","HO","oyster",20,12.4881990222883
"Summer","Army","LM","marsh",20,16.5621182364047
"Summer","Army","MM","marsh",20,13.3969940373025
"Summer","Army","HM","marsh",20,15.4244074766566
"Summer","Army","Ref","Ref",20,10.0443197119302
"Fall","IMS","LO","oyster",0,12.3371494997981
"Fall","IMS","HO","oyster",0,13.1560503183587
"Fall","IMS","MM","marsh",0,11.5175927750034
"Fall","IMS","Ref","Ref",0,11.5609514493391
"Fall","Carrot","LO","oyster",2,9.91535872201318
"Fall","Carrot","HO","oyster",2,8.54598625249995
"Fall","Carrot","LM","marsh",2,6.54652681232079
"Fall","Carrot","MM","marsh",2,7.88273194711088
"Fall","Carrot","HM","marsh",2,6.62103249459716
"Fall","Carrot","Ref","Ref",2,6.5110994074007
"Fall","NOAA","LO","oyster",7,10.9721452482007
"Fall","NOAA","HO","oyster",7,12.0186667151614
"Fall","NOAA","LM","marsh",7,12.1315646396374
"Fall","NOAA","MM","marsh",7,13.6586524632319
"Fall","NOAA","HM","marsh",7,14.437174678411
"Fall","NOAA","Ref","Ref",7,13.9193620591117
"Fall","Army","LO","oyster",20,7.05451099548085
"Fall","Army","HO","oyster",20,10.6050914404032
"Fall","Army","LM","marsh",20,7.72916560688407
"Fall","Army","MM","marsh",20,8.69969760088367
"Fall","Army","HM","marsh",20,7.76626454970471
"Fall","Army","Ref","Ref",20,10.3309260865541
"Winter","IMS","LO","oyster",0,9.80584327000308
"Winter","IMS","HO","oyster",0,7.35302757811752
"Winter","IMS","MM","marsh",0,11.5438792549836
"Winter","IMS","Ref","Ref",0,9.06923575414447
"Winter","Carrot","LO","oyster",2,12.7424936934924
"Winter","Carrot","HO","oyster",2,14.0032833722813
"Winter","Carrot","LM","marsh",2,9.47372099833153
"Winter","Carrot","MM","marsh",2,9.71198600612051
"Winter","Carrot","HM","marsh",2,11.1970594177649
"Winter","Carrot","Ref","Ref",2,3.99438313295289
"Winter","NOAA","LO","oyster",7,11.7810566526532
"Winter","NOAA","HO","oyster",7,14.889778199927
"Winter","NOAA","LM","marsh",7,14.1829812807961
"Winter","NOAA","MM","marsh",7,12.8667305321045
"Winter","NOAA","HM","marsh",7,13.466016938888
"Winter","NOAA","Ref","Ref",7,11.2199834585085
"Winter","Army","LO","oyster",20,7.54993621195951
"Winter","Army","HO","oyster",20,9.15512645000013
"Winter","Army","LM","marsh",20,8.71404575914998
"Winter","Army","MM","marsh",20,6.51261202136235
"Winter","Army","HM","marsh",20,7.17003603417722
"Winter","Army","Ref","Ref",20,9.69794813129258
"Spring","IMS","LO","oyster",0,9.78038768197069
"Spring","IMS","HO","oyster",0,9.59379990527788
"Spring","IMS","MM","marsh",0,12.7125116987075
"Spring","IMS","Ref","Ref",0,12.0391190163605
"Spring","Carrot","LO","oyster",2,9.22461802777578
"Spring","Carrot","HO","oyster",2,10.8207807627194
"Spring","Carrot","LM","marsh",2,8.36626404319001
"Spring","Carrot","MM","marsh",2,9.63152390548169
"Spring","Carrot","HM","marsh",2,11.2653959531363
"Spring","Carrot","Ref","Ref",2,10.8636182164921
"Spring","NOAA","LO","oyster",7,15.7404488675514
"Spring","NOAA","HO","oyster",7,14.2045084122268
"Spring","NOAA","LM","marsh",7,16.2268267364452
"Spring","NOAA","MM","marsh",7,14.7227364157073
"Spring","NOAA","HM","marsh",7,13.9757344859233
"Spring","NOAA","Ref","Ref",7,17.3284375440838
"Spring","Army","LO","oyster",20,9.75348767553834
"Spring","Army","HO","oyster",20,10.1560958405067
"Spring","Army","LM","marsh",20,8.78988834095215
"Spring","Army","MM","marsh",20,11.8709200549711
"Spring","Army","HM","marsh",20,11.9589309870548
"Spring","Army","Ref","Ref",20,10.7289708416732
