Site,CoreName,Habitat,Inundation,PercentC,PercentN,CtoN,PercentOM,SOD,O2conc,BulkDensity,N2Flux
IMS,LO,oyster,100,0.573746667,0.05471,10.79149391,1.159725052,806.2760561,5.021586661,1.351455556,14.76222597
IMS,HO,oyster,96.755,0.270563333,0.02972,11.00354412,2.103660214,631.1525595,5.250173975,1.276444444,21.19007315
IMS,MM,marsh,78.173,0.390186667,0.03636,12.42121919,1.067292962,1213.868021,4.440260223,1.415133333,35.55895317
IMS,Ref,ref,99.995,,,,1.157172195,658.6645496,5.417159908,1.513,25.04071324
Carrot,LO,oyster,100,0.17291,0.01682,12.27857268,0.899018078,532.7950293,6.075297322,1.453566667,21.57406231
Carrot,HO,oyster,70.668,0.514823333,0.056483333,10.57760831,1.585673453,845.1249048,5.539424063,1.395255556,34.029846
Carrot,LM,marsh,71.853,,,,0.925854367,257.6073793,6.781871942,1.30635,11.0777998
Carrot,MM,marsh,63.282,1.414956667,0.107853333,13.63778264,1.003535476,642.4683657,5.887127656,1.211533333,14.82406903
Carrot,HM,marsh,44.166,,,,0.469640755,667.7694722,6.078145163,1.505633333,21.36497331
Carrot,Ref,ref,71.853,,,,0.753731572,571.8298295,6.242751539,1.320266667,12.02913137
NOAA,LO,oyster,100,1.00478,0.060883333,19.53930937,3.450331579,1122.36874,4.594086548,1.243422222,47.1461607
NOAA,HO,oyster,96.895,1.72323,0.14883,13.42622264,4.947549627,1192.037696,4.474553537,0.56295,44.91706126
NOAA,LM,marsh,98.299,,,,4.749944831,1622.023649,3.907556429,0.614183333,71.9400852
NOAA,MM,marsh,95.738,2.726486667,0.276713333,11.49970135,4.665596226,1647.742706,3.692687478,0.679616667,46.31664034
NOAA,HM,marsh,65.783,,,,1.284516623,1019.845165,4.940731197,1.439838889,53.88369645
NOAA,Ref,ref,98.299,,,,1.35098537,1038.952869,4.907947566,1.534794444,59.86681179
Army,LO,oyster,89.808,2.000013333,0.155173333,15.09746583,3.503183401,797.6614275,5.520243109,1.105444444,28.74451245
Army,HO,oyster,78.52,1.216023333,0.094853333,15.03546827,3.240868626,452.3348944,6.112694331,0.730183333,24.32281927
Army,LM,marsh,64.172,,,,4.551670489,785.6345234,5.709535355,0.610911111,28.5893197
Army,MM,marsh,52.145,2.332986667,0.222136667,12.17889898,4.080555518,883.6122889,5.372740568,0.974783333,24.784222
Army,HM,marsh,45.152,,,,5.296133849,964.2340022,5.403107145,0.6754,30.43231142
Army,Ref,ref,91.156,,,,2.989766867,290.5369305,6.55898839,1.088227778,22.24880842
