Site,CoreName,Habitat,Inundation,PercentC,PercentN,CtoN,BulkDensity,SpringPercentOM,SpringSOD,SpringO2,SpringN2
IMS,LO,oyster,100,0.573746667,0.05471,10.79149391,1.351455556,0.81311687,1388.717483,4.09501007,19.2492913
IMS,HO,oyster,96.755,0.270563333,0.02972,11.00354412,1.276444444,2.56457555,1476.463144,3.944462343,17.85444285
IMS,MM,marsh,78.173,0.390186667,0.03636,12.42121919,1.415133333,0.953004697,1343.536362,4.172528606,43.74255581
IMS,Ref,ref,99.995,,,,1.513,0.561910166,694.1019864,5.286781652,37.34702912
Carrot,LO,oyster,100,0.17291,0.01682,12.27857268,1.453566667,0.680090223,820.3380847,5.44132649,15.59277009
Carrot,HO,oyster,70.668,0.514823333,0.056483333,10.57760831,1.395255556,0.84525977,668.8832756,5.701181818,27.6532059
Carrot,LM,marsh,71.853,,,,1.30635,1.032324489,478.9689129,6.027023296,11.78250203
Carrot,MM,marsh,63.282,1.414956667,0.107853333,13.63778264,1.211533333,1.952794616,358.2608083,6.234125628,18.07903021
Carrot,HM,marsh,44.166,,,,1.505633333,0.305722036,550.1356598,5.904920483,30.52658484
Carrot,Ref,ref,71.853,,,,1.320266667,0.93103458,1855.447049,3.665360572,27.6080212
NOAA,LO,oyster,100,1.00478,0.060883333,19.53930937,1.243422222,1.779845192,1725.348376,4.045396005,74.82201485
NOAA,HO,oyster,96.895,1.72323,0.14883,13.42622264,0.56295,6.958705259,1607.09897,4.248279876,58.5717859
NOAA,LM,marsh,98.299,,,,0.614183333,5.546571908,2441.79084,2.816175274,80.76742907
NOAA,MM,marsh,95.738,2.726486667,0.276713333,11.49970135,0.679616667,4.897659073,2183.849026,3.258733387,63.4288376
NOAA,HM,marsh,65.783,,,,1.439838889,0.677846579,624.9491067,5.933382357,55.72109374
NOAA,Ref,ref,98.299,,,,1.534794444,1.302024282,1428.489122,4.554725878,94.55567582
Army,LO,oyster,89.808,2.000013333,0.155173333,15.09746583,1.105444444,2.051858075,436.3837836,5.993539583,19.01990472
Army,HO,oyster,78.52,1.216023333,0.094853333,15.03546827,0.730183333,4.561025371,250.260811,6.31270552,21.90942979
Army,LM,marsh,64.172,,,,0.610911111,5.415666222,292.0228939,6.241053125,12.30195937
Army,MM,marsh,52.145,2.332986667,0.222136667,12.17889898,0.974783333,2.964261726,459.8061332,5.953182645,35.90504332
Army,HM,marsh,45.152,,,,0.6754,4.771878293,654.3060361,5.619473625,37.87488691
Army,Ref,ref,91.156,,,,1.088227778,2.295930777,235.9006527,6.337343652,26.20986948
