Season,Site,CoreName,Habitat,O2conc,SOD,PercentOM,PercentInundation,NOxFlux,NH3Flux,N2Flux
Summer,IMS,LO,oyster,4.363802518,121.6424174,0.87014105,100,-4.90698136,-64.50127089,10.05561384
Summer,IMS,HO,oyster,4.301446197,157.986351,0.831564975,99.255,-6.150379354,-57.79580314,13.82354974
Summer,IMS,MM,marsh,1.689110729,1680.567294,0.614447265,82.52,-15.68013684,-39.27361375,34.12249334
Summer,IMS,Ref,ref,2.776259178,1046.930637,0.593776085,100,-4.196468223,-24.22405733,15.73530213
Summer,Carrot,LO,oyster,4.207780229,529.1261585,0.958071249,100,-0.442738495,151.1838738,21.78268399
Summer,Carrot,HO,oyster,3.428462697,983.3457783,1.39469354,73.65,0.101692194,-8.33964797,56.330939
Summer,Carrot,LM,marsh,4.573649576,315.88184,1.183860419,75.11,0.077712381,8.326325849,16.08009464
Summer,Carrot,MM,marsh,2.108783409,1752.511361,0.518395231,65.965,-0.515566094,-35.68108169,19.47523207
Summer,Carrot,HM,marsh,2.034261694,1795.945807,0.530698848,47.01,-0.515566094,-20.44945627,22.83482513
Summer,Carrot,Ref,ref,4.68426326,251.4114501,0.361962113,75.11,-0.515566094,-31.4402064,29.93118978
Summer,NOAA,LO,oyster,1.404028258,1657.757617,4.240157457,100,-35.74769229,9.39209554,72.5513089
Summer,NOAA,HO,oyster,2.478320704,1031.61399,1.630672653,99.32,-38.32330242,-58.21767031,62.95322869
Summer,NOAA,LM,marsh,0.687615825,2075.313452,3.065049898,99.725,-53.37729955,12.14533396,109.75031
Summer,NOAA,MM,marsh,0.857432555,1976.336992,2.879059809,98.8,-39.8686685,-19.13944769,62.7104642
Summer,NOAA,HM,marsh,1.425374285,1645.316239,1.889700696,68.795,-11.856688,-32.35055136,48.34951252
Summer,NOAA,Ref,ref,2.747455565,874.7506716,0.692731182,99.725,-25.57847299,-34.70412613,59.18072343
Summer,Army,LO,oyster,1.403728551,2202.649421,3.20715585,94.295,0,23.01174429,98.2160728
Summer,Army,HO,oyster,4.195040004,575.7536123,2.809341545,82.925,0,-1.687468693,41.46267104
Summer,Army,LM,marsh,0.845766925,2527.853343,5.437212264,67.075,0.497359197,9.858369808,84.59022442
Summer,Army,MM,marsh,1.362779958,2226.516014,3.675852295,55.135,0,-26.51102148,50.86165117
Summer,Army,HM,marsh,0.948755642,2467.827109,3.903695147,48.005,0,-5.3110857,72.07092301
Summer,Army,Ref,ref,4.41106153,449.8470191,2.925674576,95.38,0,-27.04390634,20.95568658
Fall,IMS,LO,oyster,4.567823845,856.7686864,0.867636631,100,-14.25911056,0.921446725,41.22008601
Fall,IMS,HO,oyster,4.536390308,875.0894975,1.492935389,98.99,-12.23414811,5.726291828,48.27560185
Fall,IMS,MM,marsh,4.775084553,735.9682727,0.774624204,88,-8.681582413,18.19579741,35.92733369
Fall,IMS,Ref,ref,4.746213664,752.7954633,1.448785511,100,12.05651982,6.783180121,33.02554035
Fall,Carrot,LO,oyster,6.575998496,336.1438162,1.149390691,100,0,-5.941666122,22.42151093
Fall,Carrot,HO,oyster,6.778541234,218.0932383,0.860713951,80.61,0,-7.487032202,10.67691998
Fall,Carrot,LM,marsh,6.896445327,149.3736851,0.632560105,81.64,0,-1.620858097,-0.741573468
