Site,CoreName,Habitat,PercentC,PercentN,CtoN,BulkDensity,SpringN2
IMS,LO,oyster,0.573746667,0.05471,10.79149391,1.351455556,19.2492913
IMS,HO,oyster,0.270563333,0.02972,11.00354412,1.276444444,17.85444285
IMS,MM,marsh,0.390186667,0.03636,12.42121919,1.415133333,43.74255581
IMS,Ref,Ref,,,,1.513,37.34702912
Carrot,LO,oyster,0.17291,0.01682,12.27857268,1.453566667,15.59277009
Carrot,HO,oyster,0.514823333,0.056483333,10.57760831,1.395255556,27.6532059
Carrot,LM,marsh,,,,1.30635,11.78250203
Carrot,MM,marsh,1.414956667,0.107853333,13.63778264,1.211533333,18.07903021
Carrot,HM,marsh,,,,1.505633333,30.52658484
Carrot,Ref,Ref,,,,1.320266667,27.6080212
NOAA,LO,oyster,1.00478,0.060883333,19.53930937,1.243422222,74.82201485
NOAA,HO,oyster,1.72323,0.14883,13.42622264,0.56295,58.5717859
NOAA,LM,marsh,,,,0.614183333,80.76742907
NOAA,MM,marsh,2.726486667,0.276713333,11.49970135,0.679616667,63.4288376
NOAA,HM,marsh,,,,1.439838889,55.72109374
NOAA,Ref,Ref,,,,1.534794444,94.55567582
Army,LO,oyster,2.000013333,0.155173333,15.09746583,1.105444444,19.01990472
Army,HO,oyster,1.216023333,0.094853333,15.03546827,0.730183333,21.90942979
Army,LM,marsh,,,,0.610911111,12.30195937
Army,MM,marsh,2.332986667,0.222136667,12.17889898,0.974783333,35.90504332
Army,HM,marsh,,,,0.6754,37.87488691
Army,Ref,Ref,,,,1.088227778,26.20986948
