"Season","Site","CoreName","CoreNo","SOD","Age","Habitat"
"Summer","IMS","LO",1,83.2057637533333,0,"oyster"
"Summer","IMS","LO",2,152.731496566667,0,"oyster"
"Summer","IMS","LO",3,128.989992,0,"oyster"
"Summer","IMS","HO",1,223.0017411,0,"oyster"
"Summer","IMS","HO",2,168.960169966667,0,"oyster"
"Summer","IMS","HO",3,81.99714208,0,"oyster"
"Summer","IMS","MM",1,1886.421265,0,"marsh"
"Summer","IMS","MM",2,1646.05266333333,0,"marsh"
"Summer","IMS","MM",3,1509.22795233333,0,"marsh"
"Summer","IMS","Ref",1,1614.03417266667,0,"Ref"
"Summer","IMS","Ref",2,104.61728631,0,"Ref"
"Summer","IMS","Ref",3,1422.14045233333,0,"Ref"
"Summer","Carrot","LO",1,638.229770833333,2,"oyster"
"Summer","Carrot","LO",2,640.749852966667,2,"oyster"
"Summer","Carrot","LO",3,308.398851566667,2,"oyster"
"Summer","Carrot","HO",1,799.966805433333,2,"oyster"
"Summer","Carrot","HO",2,1341.203383,2,"oyster"
"Summer","Carrot","HO",3,808.867146433333,2,"oyster"
"Summer","Carrot","LM",1,201.270330566667,2,"marsh"
"Summer","Carrot","LM",2,435.0062699,2,"marsh"
"Summer","Carrot","LM",3,311.368919433333,2,"marsh"
"Summer","Carrot","MM",1,1770.7145,2,"marsh"
"Summer","Carrot","MM",2,1790.99198166667,2,"marsh"
"Summer","Carrot","MM",3,1695.827602,2,"marsh"
"Summer","Carrot","HM",1,1786.822557,2,"marsh"
"Summer","Carrot","HM",2,1718.73514266667,2,"marsh"
"Summer","Carrot","HM",3,1882.279722,2,"marsh"
"Summer","Carrot","Ref",1,212.766521633333,2,"Ref"
"Summer","Carrot","Ref",2,228.2309114,2,"Ref"
"Summer","Carrot","Ref",3,313.236917133333,2,"Ref"
"Summer","NOAA","LO",1,882.337769466667,7,"oyster"
"Summer","NOAA","LO",2,1943.787105,7,"oyster"
"Summer","NOAA","LO",3,2147.14797633333,7,"oyster"
"Summer","NOAA","HO",1,1186.57196533333,7,"oyster"
"Summer","NOAA","HO",2,1070.75177766667,7,"oyster"
"Summer","NOAA","HO",3,837.518227433333,7,"oyster"
"Summer","NOAA","LM",1,1673.279067,7,"marsh"
"Summer","NOAA","LM",2,2264.45121933333,7,"marsh"
"Summer","NOAA","LM",3,2288.21007033333,7,"marsh"
"Summer","NOAA","MM",1,1614.72721566667,7,"marsh"
"Summer","NOAA","MM",2,2299.933852,7,"marsh"
"Summer","NOAA","MM",3,2014.34990866667,7,"marsh"
"Summer","NOAA","HM",1,1574.286948,7,"marsh"
"Summer","NOAA","HM",2,1585.243263,7,"marsh"
"Summer","NOAA","HM",3,1776.418505,7,"marsh"
"Summer","NOAA","Ref",1,614.767142566667,7,"Ref"
"Summer","NOAA","Ref",2,1348.728112,7,"Ref"
"Summer","NOAA","Ref",3,660.756760326667,7,"Ref"
"Summer","Army","LO",1,1415.603989475,20,"oyster"
"Summer","Army","LO",2,2727.9401615,20,"oyster"
"Summer","Army","LO",3,2464.40411175,20,"oyster"
