"Site","CoreName","annual_SOD"
"IMS","LO",806.276056072533
"IMS","HO",631.1525595248
"IMS","MM",1213.86802063511
"IMS","Ref",658.664549622333
"IMS","LoRef",439.983247733778
"IMS","HiRef",853.203107906667
"Carrot","LO",532.795029274
"Carrot","HO",845.124904764861
"Carrot","LM",257.60737925875
"Carrot","MM",642.468365743111
"Carrot","HM",667.769472189861
"Carrot","Ref",571.829829524722
"Carrot","LoRef",264.712233219722
"Carrot","HiRef",268.114557143333
"NOAA","LO",1122.36874043733
"NOAA","HO",1192.03769642356
"NOAA","LM",1622.02364917889
"NOAA","MM",1647.74270632756
"NOAA","HM",1019.84516519958
"NOAA","Ref",1038.95286880194
"NOAA","LoRef",982.8034518
"NOAA","HiRef",364.172878246667
"Army","LO",797.661427541956
"Army","HO",452.334894437133
"Army","LM",785.634523399778
"Army","MM",883.612288879911
"Army","HM",964.2340021895
"Army","Ref",290.536930504667
"Army","LoRef",550.605169356667
"Army","HiRef",206.525130916
