Season,Site,CoreName,CoreNo,TimePt,O2Flux
Summer,IMS,LO,1,1,-81.73090236
Summer,IMS,LO,2,1,-104.7078579
Summer,IMS,LO,3,1,-107.5576837
Summer,IMS,LO,1,2,-77.25699713
Summer,IMS,LO,2,2,-181.9657114
Summer,IMS,LO,3,2,-143.9550429
Summer,IMS,LO,1,3,-90.62939177
Summer,IMS,LO,2,3,-171.5209204
Summer,IMS,LO,3,3,-135.4572494
Summer,IMS,HO,1,1,-292.1911966
Summer,IMS,HO,2,1,-170.0771064
Summer,IMS,HO,3,1,77.06818326
Summer,IMS,HO,1,2,-180.5819479
Summer,IMS,HO,2,2,-202.7848472
Summer,IMS,HO,3,2,-189.6965425
Summer,IMS,HO,1,3,-196.2320788
Summer,IMS,HO,2,3,-134.0185563
Summer,IMS,HO,3,3,-133.363067
Summer,IMS,MM,1,1,-1777.498137
Summer,IMS,MM,2,1,-1529.157132
Summer,IMS,MM,3,1,-1377.973546
Summer,IMS,MM,1,2,-1946.787108
Summer,IMS,MM,2,2,-1729.237065
Summer,IMS,MM,3,2,-1583.665117
Summer,IMS,MM,1,3,-1934.97855
Summer,IMS,MM,2,3,-1679.763793
Summer,IMS,MM,3,3,-1566.045194
Summer,IMS,Ref,1,1,-1513.951921
Summer,IMS,Ref,2,1,-188.8099652
Summer,IMS,Ref,3,1,-1268.401836
Summer,IMS,Ref,1,2,-1690.721804
Summer,IMS,Ref,2,2,-55.3981328
Summer,IMS,Ref,3,2,-1541.49999
Summer,IMS,Ref,1,3,-1637.428793
Summer,IMS,Ref,2,3,-69.64376093
Summer,IMS,Ref,3,3,-1456.519531
Fall,IMS,LO,1,1,-442.0652325
Fall,IMS,LO,2,1,-1572.965812
Fall,IMS,LO,3,1,-724.9236344
Fall,IMS,LO,1,2,-372.6817058
Fall,IMS,LO,2,2,-1394.749848
Fall,IMS,LO,3,2,-572.5869786
Fall,IMS,LO,1,3,-344.3899593
Fall,IMS,LO,2,3,-1631.634294
Fall,IMS,LO,3,3,-654.9207127
Fall,IMS,HO,1,1,-1358.931427
Fall,IMS,HO,2,1,-671.8578287
Fall,IMS,HO,3,1,-975.0892526
Fall,IMS,HO,1,2,-828.8986787
Fall,IMS,HO,2,2,-575.4766052
Fall,IMS,HO,3,2,-865.5204325
Fall,IMS,HO,1,3,-1042.190734
Fall,IMS,HO,2,3,-741.3186524
Fall,IMS,HO,3,3,-816.5218662
Fall,IMS,MM,1,1,-973.57275
Fall,IMS,MM,2,1,-523.5825291
Fall,IMS,MM,3,1,-884.9873032
Fall,IMS,MM,1,2,-751.7670028
Fall,IMS,MM,2,2,-458.9623446
Fall,IMS,MM,3,2,-911.3786124
Fall,IMS,MM,1,3,-807.226497
Fall,IMS,MM,2,3,-349.1417283
Fall,IMS,MM,3,3,-963.0956869
Fall,IMS,Ref,1,1,-842.1882849
Fall,IMS,Ref,2,1,-863.3555121
Fall,IMS,Ref,3,1,-944.6260289
Fall,IMS,Ref,1,2,-338.0362138
Fall,IMS,Ref,2,2,-786.5285013
Fall,IMS,Ref,3,2,-810.5169981
Fall,IMS,Ref,1,3,-438.585687
Fall,IMS,Ref,2,3,-887.5882502
Fall,IMS,Ref,3,3,-863.7336931
Fall,IMS,LoRef,1,1,-548.7312944
Fall,IMS,LoRef,1,2,-580.8460819
Fall,IMS,LoRef,1,3,-781.182532
Fall,IMS,HiRef,1,1,-1067.572368
Fall,IMS,HiRef,1,2,-393.9044789
Fall,IMS,HiRef,1,3,-393.597379
Winter,IMS,LO,1,1,-72.87332934
Winter,IMS,LO,2,1,-64.38442965
Winter,IMS,LO,3,1,-130.181343
Winter,IMS,LO,1,2,-138.5715545
Winter,IMS,LO,2,2,-98.68038049
Winter,IMS,LO,3,2,-157.7948114
Winter,IMS,LO,1,3,-113.4743107
Winter,IMS,LO,2,3,-102.3880919
Winter,IMS,LO,3,3,-148.273956
