"Site","CoreName","CoreNo","DryWeight","Volume","TinWeight","BulkDensity","Age","Habitat"
"IMS","LO",1,39.566,30,1.297,1.27563333333333,"0","oyster"
"IMS","LO",2,42.784,30,1.308,1.38253333333333,"0","oyster"
"IMS","LO",3,29.221,20,1.297,1.3962,"0","oyster"
"IMS","HO",1,39.401,20,1.303,1.9049,"0","oyster"
"IMS","HO",2,23.733,30,1.314,0.7473,"0","oyster"
"IMS","HO",3,36.631,30,1.317,1.17713333333333,"0","oyster"
"IMS","MM",1,28.236,20,1.297,1.34695,"0","marsh"
"IMS","MM",2,31.699,20,1.282,1.52085,"0","marsh"
"IMS","MM",3,28.863,20,1.311,1.3776,"0","marsh"
"IMS","Ref",1,46.719,30,1.275,1.5148,"0","Ref"
"IMS","Ref",2,30.495,20,1.298,1.45985,"0","Ref"
"IMS","Ref",3,32.586,20,1.299,1.56435,"0","Ref"
"IMS","LoRef",1,45.455,30,1.289,1.4722,"0","LoRef"
"IMS","HiRef",1,42.568,30,1.291,1.3759,"0","HiRef"
"NOAA","LO",1,38.307,30,1.309,1.23326666666667,"7","oyster"
"NOAA","LO",2,24.767,20,1.303,1.1732,"7","oyster"
"NOAA","LO",3,41.027,30,1.313,1.3238,"7","oyster"
"NOAA","HO",1,11.35,20,1.308,0.5021,"7","oyster"
"NOAA","HO",2,11.701,20,1.307,0.5197,"7","oyster"
"NOAA","HO",3,14.652,20,1.311,0.66705,"7","oyster"
"NOAA","LM",1,16.12,20,1.316,0.7402,"7","marsh"
"NOAA","LM",2,12.915,20,1.306,0.58045,"7","marsh"
"NOAA","LM",3,16.972,30,1.315,0.5219,"7","marsh"
"NOAA","MM",1,26.304,30,1.33,0.832466666666667,"7","marsh"
"NOAA","MM",2,17.373,30,1.307,0.535533333333333,"7","marsh"
"NOAA","MM",3,14.727,20,1.31,0.67085,"7","marsh"
"NOAA","HM",1,30.419,20,1.312,1.45535,"7","marsh"
"NOAA","HM",2,29.229,20,1.323,1.3953,"7","marsh"
"NOAA","HM",3,45.383,30,1.317,1.46886666666667,"7","marsh"
"NOAA","Ref",1,40.822,20,1.309,1.97565,"7","Ref"
"NOAA","Ref",2,26.07,20,1.312,1.2379,"7","Ref"
"NOAA","Ref",3,43.027,30,1.302,1.39083333333333,"7","Ref"
"NOAA","LoRef",1,28.42,20,1.304,1.3558,"7","LoRef"
"NOAA","HiRef",1,30.616,20,1.308,1.4654,"7","HiRef"
"Army","LO",1,33.695,30,1.323,1.07906666666667,"20","oyster"
"Army","LO",2,34.018,30,1.322,1.08986666666667,"20","oyster"
"Army","LO",3,35.737,30,1.315,1.1474,"20","oyster"
"Army","HO",1,23.012,30,1.32,0.723066666666667,"20","oyster"
"Army","HO",2,18.744,30,1.319,0.580833333333333,"20","oyster"
"Army","HO",3,19.049,20,1.316,0.88665,"20","oyster"
"Army","LM",1,18.059,20,1.309,0.8375,"20","marsh"
"Army","LM",2,14.932,30,1.315,0.4539,"20","marsh"
"Army","LM",3,17.559,30,1.319,0.541333333333333,"20","marsh"
"Army","MM",1,23.228,20,1.317,1.09555,"20","marsh"
"Army","MM",2,20.633,20,1.306,0.96635,"20","marsh"
"Army","MM",3,18.566,20,1.317,0.86245,"20","marsh"
"Army","HM",1,14.604,20,1.311,0.66465,"20","marsh"
"Army","HM",2,13.694,20,1.313,0.61905,"20","marsh"
"Army","HM",3,16.162,20,1.312,0.7425,"20","marsh"
"Army","Ref",1,33.624,30,1.291,1.07776666666667,"20","Ref"
"Army","Ref",2,24.082,20,1.303,1.13895,"20","Ref"
"Army","Ref",3,32.742,30,1.303,1.04796666666667,"20","Ref"
"Army","LoRef",1,17.165,20,1.315,0.7925,"20","LoRef"
"Army","HiRef",1,28.692,30,1.309,0.912766666666667,"20","HiRef"
"Carrot","LO",1,30.348,20,1.293,1.45275,"2","oyster"
"Carrot","LO",2,30.338,20,1.303,1.45175,"2","oyster"
"Carrot","LO",3,44.989,30,1.303,1.4562,"2","oyster"
"Carrot","HO",1,30.779,20,1.307,1.4736,"2","oyster"
"Carrot","HO",2,43.326,30,1.303,1.40076666666667,"2","oyster"
"Carrot","HO",3,40.647,30,1.305,1.3114,"2","oyster"
"Carrot","LM",1,22.781,20,1.303,1.0739,"2","marsh"
"Carrot","LM",2,29.447,20,1.3,1.40735,"2","marsh"
"Carrot","LM",3,30.048,20,1.292,1.4378,"2","marsh"
"Carrot","MM",1,29.496,20,1.296,1.41,"2","marsh"
"Carrot","MM",2,22.207,20,1.307,1.045,"2","marsh"
"Carrot","MM",3,36.682,30,1.294,1.1796,"2","marsh"
"Carrot","HM",1,31.044,20,1.299,1.48725,"2","marsh"
"Carrot","HM",2,32.151,20,1.298,1.54265,"2","marsh"
"Carrot","HM",3,31.035,20,1.295,1.487,"2","marsh"
"Carrot","Ref",1,28.532,20,1.304,1.3614,"2","Ref"
"Carrot","Ref",2,25.597,20,1.307,1.2145,"2","Ref"
"Carrot","Ref",3,28.996,20,1.298,1.3849,"2","Ref"
"Carrot","LoRef",1,29.535,20,1.307,1.4114,"2","LoRef"
"Carrot","HiRef",1,31.079,20,1.302,1.48885,"2","HiRef"
