Site,CoreName,CoreNo,DryWeight,Volume,TinWeight
IMS,LO,1,39.566,30,1.297
IMS,LO,2,42.784,30,1.308
IMS,LO,3,29.221,20,1.297
IMS,HO,1,39.401,20,1.303
IMS,HO,2,23.733,30,1.314
IMS,HO,3,36.631,30,1.317
IMS,MM,1,28.236,20,1.297
IMS,MM,2,31.699,20,1.282
IMS,MM,3,28.863,20,1.311
IMS,Ref,1,46.719,30,1.275
IMS,Ref,2,30.495,20,1.298
IMS,Ref,3,32.586,20,1.299
IMS,LoRef,1,45.455,30,1.289
IMS,HiRef,1,42.568,30,1.291
NOAA,LO,1,38.307,30,1.309
NOAA,LO,2,24.767,20,1.303
NOAA,LO,3,41.027,30,1.313
NOAA,HO,1,11.35,20,1.308
NOAA,HO,2,11.701,20,1.307
NOAA,HO,3,14.652,20,1.311
NOAA,LM,1,16.12,20,1.316
NOAA,LM,2,12.915,20,1.306
NOAA,LM,3,16.972,30,1.315
NOAA,MM,1,26.304,30,1.33
NOAA,MM,2,17.373,30,1.307
NOAA,MM,3,14.727,20,1.31
NOAA,HM,1,30.419,20,1.312
NOAA,HM,2,29.229,20,1.323
NOAA,HM,3,45.383,30,1.317
NOAA,Ref,1,40.822,20,1.309
NOAA,Ref,2,26.07,20,1.312
NOAA,Ref,3,43.027,30,1.302
NOAA,LoRef,1,28.42,20,1.304
NOAA,HiRef,1,30.616,20,1.308
Army,LO,1,33.695,30,1.323
Army,LO,2,34.018,30,1.322
Army,LO,3,35.737,30,1.315
Army,HO,1,23.012,30,1.32
Army,HO,2,18.744,30,1.319
Army,HO,3,19.049,20,1.316
Army,LM,1,18.059,20,1.309
Army,LM,2,14.932,30,1.315
Army,LM,3,17.559,30,1.319
Army,MM,1,23.228,20,1.317
Army,MM,2,20.633,20,1.306
Army,MM,3,18.566,20,1.317
Army,HM,1,14.604,20,1.311
Army,HM,2,13.694,20,1.313
Army,HM,3,16.162,20,1.312
Army,Ref,1,33.624,30,1.291
Army,Ref,2,24.082,20,1.303
Army,Ref,3,32.742,30,1.303
Army,LoRef,1,17.165,20,1.315
Army,HiRef,1,28.692,30,1.309
Carrot,LO,1,30.348,20,1.293
Carrot,LO,2,30.338,20,1.303
Carrot,LO,3,44.989,30,1.303
Carrot,HO,1,30.779,20,1.307
Carrot,HO,2,43.326,30,1.303
Carrot,HO,3,40.647,30,1.305
Carrot,LM,1,22.781,20,1.303
Carrot,LM,2,29.447,20,1.3
Carrot,LM,3,30.048,20,1.292
Carrot,MM,1,29.496,20,1.296
Carrot,MM,2,22.207,20,1.307
Carrot,MM,3,36.682,30,1.294
Carrot,HM,1,31.044,20,1.299
Carrot,HM,2,32.151,20,1.298
Carrot,HM,3,31.035,20,1.295
Carrot,Ref,1,28.532,20,1.304
Carrot,Ref,2,25.597,20,1.307
Carrot,Ref,3,28.996,20,1.298
Carrot,LoRef,1,29.535,20,1.307
Carrot,HiRef,1,31.079,20,1.302
