Season,Site,CoreName,CoreNo,chla_conc,phaeo_conc,chl_phaeo_ratio
Summer,NOAA,LO,1,84.11681416,39.93185841,1.373690338
Summer,NOAA,LO,2,64.03274336,21.80893805,1.439716312
Summer,NOAA,LO,3,77.02831858,35.77327434,1.385604113
Summer,NOAA,HO,1,80.1,25.4240708,1.450724638
Summer,NOAA,HO,2,112.7070796,30.19699115,1.477659574
Summer,NOAA,HO,3,19.13893805,111.3602655,1.067643743
Summer,NOAA,LM,1,63.56017699,24.43168142,1.449557522
Summer,NOAA,LM,2,79.39115044,20.17858407,1.463450292
Summer,NOAA,LM,3,59.30707965,16.77610619,1.464788732
Summer,NOAA,MM,1,111.0530973,13.32637168,1.51686747
Summer,NOAA,MM,2,85.29823009,15.92548673,1.504587156
Summer,NOAA,MM,3,105.1460177,27.00716814,1.490588235
Summer,NOAA,HM,1,45.83893805,6.923097345,1.501385042
Summer,NOAA,HM,2,44.65752212,3.142566372,1.590322581
Summer,NOAA,HM,3,44.89380531,12.3339823,1.474093264
Summer,NOAA,Ref,1,58.12566372,3.402477876,1.591370558
Summer,NOAA,Ref,2,104.4371681,10.51460177,1.552910053
Summer,NOAA,Ref,3,75.61061947,5.103716814,1.573076923
Summer,Army,LO,1,81.7539823,21.12371681,1.478893741
Summer,Army,LO,2,60.96106195,23.06123894,1.439579685
Summer,Army,LO,3,68.75840708,21.71442478,1.411764706
Summer,Army,HO,1,100.420354,19.49336283,1.524234694
Summer,Army,HO,2,152.8752212,21.12371681,1.563685637
Summer,Army,HO,3,115.7787611,22.99035398,1.510964912
Summer,Army,LM,1,92.85929204,32.51256637,1.460431655
Summer,Army,LM,2,74.19292035,36.12769912,1.439632546
Summer,Army,LM,3,105.3823009,41.82212389,1.405893536
Summer,Army,MM,1,76.55575221,26.98353982,1.43852459
Summer,Army,MM,2,80.57256637,23.13212389,1.481792717
Summer,Army,MM,3,81.99026549,27.66876106,1.442159383
Summer,Army,HM,1,170.360177,13.39725664,1.605263158
Summer,Army,HM,2,165.3982301,5.458141593,1.599504542
Summer,Army,HM,3,293.7,-19.13893805,1.659031754
Summer,Army,Ref,1,136.8079646,26.27469027,1.492779783
Summer,Army,Ref,2,165.1619469,31.33115044,1.498060512
Summer,Army,Ref,3,144.1327434,29.53539823,1.497816594
Summer,Carrot,LO,1,22.21061947,1.606725664,1.35
Summer,Carrot,LO,2,31.6619469,-3.213451327,1.744186047
Summer,Carrot,LO,3,21.7380531,1.086902655,1.5
Summer,Carrot,HO,1,72.30265487,8.246283186,1.581162325
Summer,Carrot,HO,2,80.33628319,12.78292035,1.57591623
Summer,Carrot,HO,3,107.2725664,20.41486726,1.528279182
Summer,Carrot,LM,1,37.80530973,7.51380531,1.425149701
Summer,Carrot,LM,2,3.544247788,0.921504425,1.441176471
Summer,Carrot,LM,3,8.50619469,10.68,1.218543046
Summer,Carrot,MM,1,40.64070796,-4.087699115,1.720338983
Summer,Carrot,MM,2,45.36637168,-5.50539823,1.818181818
Summer,Carrot,MM,3,46.54778761,-5.694424779,1.742424242
Summer,Carrot,HM,1,34.49734513,-7.041238938,1.867924528
Summer,Carrot,HM,2,34.49734513,-5.056460177,1.776595745
Summer,Carrot,HM,3,37.80530973,-6.545044248,1.829268293
Summer,Carrot,Ref,1,33.55221239,-5.269115044,1.758241758
Summer,Carrot,Ref,2,39.22300885,-6.143362832,1.823232323
Summer,Carrot,Ref,3,24.80973451,-4.134955752,1.692857143
Summer,IMS,LO,1,116.4876106,-3.851415929,1.658503401
Summer,IMS,LO,2,155.7106195,17.13053097,1.574817518
Summer,IMS,LO,3,151.4575221,1.535840708,1.687184662
Summer,IMS,HO,1,139.879646,5.00920354,1.634573304
Summer,IMS,HO,2,155.9469027,-0.803362832,1.628968254
Summer,IMS,HO,3,152.8752212,12.02681416,1.581506196
Summer,IMS,BTO,1,148.3858407,-2.67,1.610882957
Summer,IMS,BTO,2,208.6380531,-5.694424779,1.655011655
Summer,IMS,BTO,3,116.4876106,15.0039823,1.561176471
Summer,IMS,MM,1,79.62743363,-8.67159292,1.628450106
Summer,IMS,MM,2,132.0823009,-10.01840708,1.655430712
Summer,IMS,MM,3,119.0867257,-11.90867257,1.694890511
Summer,IMS,Ref,1,162.799115,-23.03761062,1.717892426
Summer,IMS,Ref,2,143.8964602,-10.4200885,1.680751174
Summer,IMS,Ref,3,139.879646,-6.403274336,1.625284738
Fall,Carrot,LO,1,78.68230088,1.866637168,1.6
Fall,Carrot,LO,2,221.1610619,-183.2848673,4.105084746
Fall,Carrot,LO,3,89.55132743,13.16097345,1.532428356
Fall,Carrot,HO,1,202.4946903,-15.26389381,1.662052117
Fall,Carrot,HO,2,152.4026549,-5.859823009,1.559475806
Fall,Carrot,HO,3,242.4265487,-12.19221239,1.64023984
Fall,Carrot,LM,1,164.2168142,-24.12451327,1.747767857
Fall,Carrot,LM,2,186.9,-28.61389381,1.717181467
Fall,Carrot,LM,3,249.0424779,-26.25106195,1.720682303
Fall,Carrot,MM,1,84.35309735,-11.41247788,1.705761317
Fall,Carrot,MM,2,113.8884956,-17.46132743,1.729984301
Fall,Carrot,MM,3,50.32831858,-5.83619469,1.734317343
Fall,Carrot,HM,1,26.7,-6.356017699,1.7
Fall,Carrot,HM,2,36.15132743,-4.229469027,1.751322751
Fall,Carrot,HM,3,39.69557522,-9.923893805,1.859550562
Fall,Carrot,Ref,1,162.799115,-24.85699115,1.684497817
