"Season","Site","CoreName","CoreNo","uM_NOx","uM_NH3","uM_PO4","uM_TN","uM_ON","Age","Habitat"
"Summer","IMS","LO",1,2.25,2.157142857,0.181612903,21.28571429,16.87857143,0,"oyster"
"Summer","IMS","LO",2,2.685714286,1.464285714,0.254516129,22.14285714,17.99285714,0,"oyster"
"Summer","IMS","LO",3,2.385714286,1.421428571,0.172903226,24.57142857,20.76428571,0,"oyster"
"Summer","IMS","HO",1,1.942857143,1.371428571,0.157419355,22.14285714,18.82857143,0,"oyster"
"Summer","IMS","HO",2,2.292857143,2.214285714,0.170967742,25.71428571,21.20714286,0,"oyster"
"Summer","IMS","HO",3,2.885714286,2.535714286,0.197741935,23.57142857,18.15,0,"oyster"
"Summer","IMS","MM",1,0.574285714,0.672142857,0.174516129,17.35714286,16.11071429,0,"marsh"
"Summer","IMS","MM",2,2.5,4.292857143,0.208387097,23.5,16.70714286,0,"marsh"
"Summer","IMS","MM",3,2.514285714,4.135714286,0.180967742,25.35714286,18.70714286,0,"marsh"
"Summer","IMS","Ref",1,2.378571429,4.771428571,0.153870968,22.92857143,15.77857143,0,"Ref"
"Summer","IMS","Ref",2,2.592857143,2.35,0.149032258,22.92857143,17.98571429,0,"Ref"
"Summer","IMS","Ref",3,2.464285714,4.4,0.230645161,21,14.13571429,0,"Ref"
"Fall","IMS","LO",1,1.214285714,0.41,0.180967742,9.285714286,7.661428571,0,"oyster"
"Fall","IMS","LO",2,0.68,0.95,0.193225806,8.5,6.87,0,"oyster"
"Fall","IMS","LO",3,0.687142857,0.315,0.173870968,7.142857143,6.140714286,0,"oyster"
"Fall","IMS","HO",1,1.357142857,0.305,0.126451613,9.357142857,7.695,0,"oyster"
"Fall","IMS","HO",2,0.721428571,0.914285714,0.218387097,13.07142857,11.43571429,0,"oyster"
"Fall","IMS","HO",3,0.828571429,1.228571429,0.196774194,10.21428571,8.157142857,0,"oyster"
"Fall","IMS","MM",1,0,0.914285714,0.281290323,9.5,8.585714286,0,"marsh"
"Fall","IMS","MM",2,1.05,0.389285714,0.196774194,9,7.560714286,0,"marsh"
"Fall","IMS","MM",3,2.428571429,3.15,0.298709677,15,9.421428571,0,"marsh"
"Fall","IMS","Ref",1,1.75,0.412857143,0.2,12.5,10.33714286,0,"Ref"
"Fall","IMS","Ref",2,1.692857143,0.305,0.173225806,11.28571429,9.287857143,0,"Ref"
"Fall","IMS","Ref",3,3.371428571,1.9,0.215483871,15.71428571,10.44285714,0,"Ref"
"Fall","IMS","LoRef",1,0.704285714,0.764285714,0.165483871,13.71428571,12.24571429,0,"LoRef"
"Fall","IMS","HiRef",1,1.414285714,0.364285714,0.23483871,14.28571429,12.50714286,0,"HiRef"
"Winter","IMS","LO",1,0.206428571,4.128571429,0.213870968,12.42857143,8.093571429,0,"oyster"
"Winter","IMS","LO",2,0.151428571,19.14285714,0.206774194,30.85714286,11.56285714,0,"oyster"
"Winter","IMS","LO",3,0.107857143,10.64285714,0.199032258,20.5,9.749285714,0,"oyster"
"Winter","IMS","HO",1,0.180714286,7.285714286,0.179032258,14.35714286,6.890714286,0,"oyster"
"Winter","IMS","HO",2,0.09,11.92857143,0.20516129,21.78571429,9.767142857,0,"oyster"
"Winter","IMS","HO",3,0.284285714,8.5,0.201935484,18.14285714,9.358571429,0,"oyster"
"Winter","IMS","MM",1,0.147142857,8.714285714,0.238709677,17,8.138571429,0,"marsh"
"Winter","IMS","MM",2,0.099285714,8.357142857,0.22516129,18.07142857,9.615,0,"marsh"
"Winter","IMS","MM",3,0.137857143,27.21428571,0.247096774,38.57142857,11.21928571,0,"marsh"
"Winter","IMS","Ref",1,0.13,7,0.221935484,15.78571429,8.655714286,0,"Ref"
"Winter","IMS","Ref",2,0.144285714,9.214285714,0.213225806,16.64285714,7.284285714,0,"Ref"
"Winter","IMS","Ref",3,0.142142857,4.014285714,0.265483871,12.5,8.343571429,0,"Ref"
"Winter","IMS","LoRef",1,0.028857143,1.678571429,0.241935484,12.71428571,11.00685714,0,"LoRef"
"Winter","IMS","HiRef",1,0.078571429,4.714285714,0.213870968,15.57142857,10.77857143,0,"HiRef"
"Spring","IMS","LO",1,0.23,0.455714286,0.168387097,9.357142857,8.671428571,0,"oyster"
"Spring","IMS","LO",2,0.047285714,0.907142857,0.180645161,9.928571429,8.974142857,0,"oyster"
"Spring","IMS","LO",3,0.145714286,0.914285714,0.170967742,9.071428571,8.011428571,0,"oyster"
"Spring","IMS","HO",1,0,1.042857143,0.263225806,11.71428571,10.79785714,0,"oyster"
"Spring","IMS","HO",2,0.003157143,1.035714286,0.159677419,8.857142857,7.818271429,0,"oyster"
"Spring","IMS","HO",3,0.186428571,1.257142857,0.179354839,10,8.556428571,0,"oyster"
"Spring","IMS","MM",1,0.44,1.9,0.163225806,11.57142857,9.231428571,0,"marsh"
"Spring","IMS","MM",2,0.524285714,16,0.201290323,28.85714286,12.33285714,0,"marsh"
"Spring","IMS","MM",3,0.450714286,17.28571429,0.171612903,30.28571429,12.54928571,0,"marsh"
"Spring","IMS","Ref",1,0.249285714,0.8,0.17483871,10,8.950714286,0,"Ref"
"Spring","IMS","Ref",2,0.046142857,0.697142857,0.180645161,6.235714286,5.492428571,0,"Ref"
"Spring","IMS","Ref",3,0,1.228571429,0.221612903,9.5,8.477857143,0,"Ref"
"Summer","Carrot","LO",1,0,0.864285714,0.156129032,11,10.13571429,2,"oyster"
"Summer","Carrot","LO",2,0,29.5,0.129032258,49.57142857,20.07142857,2,"oyster"
"Summer","Carrot","LO",3,0.011714286,2.578571429,0.144193548,15.78571429,13.19542857,2,"oyster"
"Summer","Carrot","HO",1,0,0.629285714,0.11483871,14.64285714,14.01357143,2,"oyster"
"Summer","Carrot","HO",2,0,0.432857143,0.201290323,11.85714286,11.42428571,2,"oyster"
"Summer","Carrot","HO",3,0.099285714,6.221428571,0.221290323,20.85714286,14.53642857,2,"oyster"
"Summer","Carrot","LM",1,0.060714286,2.578571429,0.207096774,16.57142857,13.93214286,2,"marsh"
"Summer","Carrot","LM",2,0.034714286,6.135714286,0.171290323,25.28571429,19.11528571,2,"marsh"
"Summer","Carrot","LM",3,0,1.25,0.184193548,14,12.75,2,"marsh"
"Summer","Carrot","MM",1,0,1.221428571,0.237741935,20.07142857,18.85,2,"marsh"
"Summer","Carrot","MM",2,0,0.871428571,0.118387097,15,14.12857143,2,"marsh"
"Summer","Carrot","MM",3,0,0.792857143,0.171612903,15.35714286,14.56428571,2,"marsh"
"Summer","Carrot","HM",1,0,3.521428571,0.110967742,22.71428571,19.19285714,2,"marsh"
"Summer","Carrot","HM",2,0,1.028571429,0.16,20.5,19.47142857,2,"marsh"
"Summer","Carrot","HM",3,0,0.785714286,0.134193548,17.5,16.71428571,2,"marsh"
"Summer","Carrot","Ref",1,0,1.957142857,0.11483871,15.78571429,13.82857143,2,"Ref"
"Summer","Carrot","Ref",2,0,0.639285714,0.097096774,16.28571429,15.64642857,2,"Ref"
"Summer","Carrot","Ref",3,0,0.971428571,0.148064516,11.5,10.52857143,2,"Ref"
"Fall","Carrot","LO",1,0,1.457142857,0.211612903,18.35714286,16.9,2,"oyster"
"Fall","Carrot","LO",2,0,0.633571429,0.183548387,15.07142857,14.43785714,2,"oyster"
"Fall","Carrot","LO",3,0,0.864285714,0.206774194,17.64285714,16.77857143,2,"oyster"
"Fall","Carrot","HO",1,0,0.699285714,0.220967742,17,16.30071429,2,"oyster"
"Fall","Carrot","HO",2,0,0.792857143,0.241612903,16.28571429,15.49285714,2,"oyster"
"Fall","Carrot","HO",3,0,1.214285714,0.170645161,16.85714286,15.64285714,2,"oyster"
"Fall","Carrot","LM",1,0,0.985714286,0.390322581,17.64285714,16.65714286,2,"marsh"
"Fall","Carrot","LM",2,0,1.192857143,0.191935484,16.71428571,15.52142857,2,"marsh"
"Fall","Carrot","LM",3,0,1.471428571,0.291290323,19.92857143,18.45714286,2,"marsh"
"Fall","Carrot","MM",1,0,1.092857143,0.316129032,17.14285714,16.05,2,"marsh"
"Fall","Carrot","MM",2,0,0.771428571,0.170967742,13.64285714,12.87142857,2,"marsh"
"Fall","Carrot","MM",3,0,1.164285714,0.281612903,14.42857143,13.26428571,2,"marsh"
"Fall","Carrot","HM",1,0,1.071428571,0.17516129,17.28571429,16.21428571,2,"marsh"
"Fall","Carrot","HM",2,0,0.978571429,0.202903226,16.85714286,15.87857143,2,"marsh"
"Fall","Carrot","HM",3,0,1.142857143,0.148064516,16.21428571,15.07142857,2,"marsh"
"Fall","Carrot","Ref",1,0,1.528571429,0.335483871,18.28571429,16.75714286,2,"Ref"
"Fall","Carrot","Ref",2,0,1.285714286,0.674193548,22.21428571,20.92857143,2,"Ref"
"Fall","Carrot","Ref",3,0,2.535714286,0.243225806,24.21428571,21.67857143,2,"Ref"
"Winter","Carrot","LO",1,0,4.742857143,0.198709677,12.21428571,7.565714286,2,"oyster"
"Winter","Carrot","LO",2,-0.003457143,2.978571429,0.190967742,10.5,7.524885714,2,"oyster"
"Winter","Carrot","LO",3,0,9.071428571,0.257741935,17.64285714,8.670714286,2,"oyster"
"Winter","Carrot","HO",1,0.118571429,0.928571429,0.181612903,8.357142857,7.31,2,"oyster"
"Winter","Carrot","HO",3,0.090714286,11.71428571,0.244193548,18.92857143,7.123571429,2,"oyster"
"Winter","Carrot","LM",1,0,7.428571429,0.183870968,13.07142857,5.671214286,2,"marsh"
"Winter","Carrot","LM",2,0,6.121428571,0.168387097,14.14285714,8.028357143,2,"marsh"
"Winter","Carrot","LM",3,0,1.95,0.187419355,9.714285714,7.833285714,2,"marsh"
"Winter","Carrot","MM",1,0.000617143,4.185714286,0.238709677,16.35714286,12.17081143,2,"marsh"
"Winter","Carrot","MM",2,0.031214286,0.699285714,0.204516129,8.857142857,8.126642857,2,"marsh"
"Winter","Carrot","MM",3,0,3.221428571,0.187419355,10.35714286,7.21,2,"marsh"
"Winter","Carrot","HM",1,0,4.935714286,0.197741935,14.78571429,9.881142857,2,"marsh"
"Winter","Carrot","HM",2,0.083571429,1.414285714,0.208387097,19.5,18.00214286,2,"marsh"
"Winter","Carrot","HM",3,0,1.628571429,0.215806452,10.71428571,9.094285714,2,"marsh"
"Winter","Carrot","Ref",1,0,1.364285714,0.181935484,8.571428571,7.245714286,2,"Ref"
"Winter","Carrot","Ref",2,0,0.426428571,0.171935484,8.285714286,7.875357143,2,"Ref"
"Winter","Carrot","Ref",3,0,1.064285714,0.200645161,12.78571429,11.74878571,2,"Ref"
"Winter","Carrot","LoRef",1,0,4.685714286,0.370967742,13.28571429,8.656357143,2,"LoRef"
"Winter","Carrot","HiRef",1,0.062928571,13.5,0.28483871,19.07142857,5.5085,2,"HiRef"
"Spring","Carrot","LO",1,0.014285714,3.778571429,0.419354839,13,9.207142857,2,"oyster"
"Spring","Carrot","LO",2,0,2.207142857,0.167741935,11.35714286,9.261428571,2,"oyster"
"Spring","Carrot","LO",3,0,5.085714286,0.361290323,18,13.02642857,2,"oyster"
"Spring","Carrot","HO",1,0.056714286,3,0.329032258,12.92857143,9.871857143,2,"oyster"
"Spring","Carrot","HO",2,0,5.357142857,0.309354839,15.42857143,10.10007143,2,"oyster"
"Spring","Carrot","HO",3,0,5.892857143,0.322580645,15.07142857,9.234071429,2,"oyster"
"Spring","Carrot","LM",1,0,3.092857143,0.288709677,12.28571429,9.233928571,2,"marsh"
"Spring","Carrot","LM",2,0,2.685714286,0.270967742,11.64285714,9.032857143,2,"marsh"
"Spring","Carrot","LM",3,0,5.442857143,0.31,15.71428571,10.31857143,2,"marsh"
"Spring","Carrot","MM",1,-0.000115714,2.664285714,0.332258065,15.85714286,13.19297286,2,"marsh"
"Spring","Carrot","MM",2,0,5.314285714,0.341935484,16.21428571,10.91421429,2,"marsh"
"Spring","Carrot","MM",3,0.046714286,2.221428571,0.332258065,10.92857143,8.660428571,2,"marsh"
"Spring","Carrot","HM",1,0,8.142857143,0.548387097,17.35714286,9.269928571,2,"marsh"
"Spring","Carrot","HM",2,0,2.307142857,0.313548387,10.71428571,8.485,2,"marsh"
"Spring","Carrot","HM",3,0,4.528571429,0.341935484,16.07142857,11.56978571,2,"marsh"
"Spring","Carrot","Ref",1,0,1.435714286,0.580645161,12.35714286,11.01928571,2,"Ref"
"Spring","Carrot","Ref",2,0.265,1.25,0.377419355,10.57142857,9.056428571,2,"Ref"
"Spring","Carrot","Ref",3,0.050785714,6.314285714,0.306774194,15.28571429,8.920642857,2,"Ref"
"Summer","NOAA","LO",1,2.785714286,9.714285714,0.159032258,26.85714286,14.35714286,7,"oyster"
"Summer","NOAA","LO",2,2.492857143,1.628571429,0.148709677,18.78571429,14.66428571,7,"oyster"
"Summer","NOAA","LO",3,2.3,3.1,0.194516129,18.71428571,13.31428571,7,"oyster"
"Summer","NOAA","HO",1,2.571428571,1.514285714,0.243548387,18.21428571,14.12857143,7,"oyster"
"Summer","NOAA","HO",2,2.435714286,1.535714286,0.23483871,16.07142857,12.1,7,"oyster"
"Summer","NOAA","HO",3,2.157142857,0.517857143,0.19483871,16.35714286,13.68214286,7,"oyster"
"Summer","NOAA","LM",1,2.785714286,7.857142857,0.17,25.5,14.85714286,7,"marsh"
"Summer","NOAA","LM",2,0.842857143,1.714285714,0.561290323,18.14285714,15.58571429,7,"marsh"
"Summer","NOAA","LM",3,1.114285714,5.314285714,0.218387097,21.07142857,14.64285714,7,"marsh"
"Summer","NOAA","MM",1,3.528571429,8,0.141612903,33,21.47142857,7,"marsh"
"Summer","NOAA","MM",2,0.701428571,0.439285714,0.216129032,16.92857143,15.78785714,7,"marsh"
"Summer","NOAA","MM",3,2.685714286,1.414285714,0.127419355,21.35714286,17.25714286,7,"marsh"
"Summer","NOAA","HM",1,3.671428571,2.835714286,0.219354839,25.21428571,18.70714286,7,"marsh"
"Summer","NOAA","HM",2,3.678571429,0.971428571,0.214193548,22.35714286,17.70714286,7,"marsh"
"Summer","NOAA","HM",3,4.071428571,3.921428571,0.228709677,28.78571429,20.79285714,7,"marsh"
"Summer","NOAA","Ref",1,2.685714286,3.135714286,0.137096774,27.78571429,21.96428571,7,"Ref"
"Summer","NOAA","Ref",2,3.164285714,1.292857143,0.137096774,24.35714286,19.9,7,"Ref"
"Summer","NOAA","Ref",3,3.364285714,2.921428571,0.231290323,24,17.71428571,7,"Ref"
"Fall","NOAA","LO",1,0,0.721428571,0.150645161,9.857142857,9.135714286,7,"oyster"
"Fall","NOAA","LO",2,0,0.342857143,0.223548387,11.35714286,11.01428571,7,"oyster"
"Fall","NOAA","LO",3,0,1.071428571,0.506451613,11.42857143,10.35714286,7,"oyster"
"Fall","NOAA","HO",1,0,0.728571429,0.246774194,10.42857143,9.7,7,"oyster"
"Fall","NOAA","HO",2,0,0.341428571,0.301612903,11.07142857,10.73,7,"oyster"
"Fall","NOAA","HO",3,0,0.353571429,0.223548387,10.57142857,10.21785714,7,"oyster"
"Fall","NOAA","LM",1,0,4.95,0.148064516,15.21428571,10.26428571,7,"marsh"
"Fall","NOAA","LM",2,0,3.464285714,0.096451613,13.14285714,9.678571429,7,"marsh"
"Fall","NOAA","LM",3,0,1.635714286,0.182903226,11.78571429,10.15,7,"marsh"
"Fall","NOAA","MM",1,0,1.007142857,0.196129032,14.21428571,13.20714286,7,"marsh"
"Fall","NOAA","MM",2,0,0.592857143,0.166129032,11.14285714,10.55,7,"marsh"
"Fall","NOAA","MM",3,0,0.444285714,0.181935484,14.42857143,13.98428571,7,"marsh"
"Fall","NOAA","HM",1,0,0.39,0.29,11.64285714,11.25285714,7,"marsh"
"Fall","NOAA","HM",2,0,0.397857143,0.222258065,11.85714286,11.45928571,7,"marsh"
"Fall","NOAA","HM",3,0,0.54,0.496774194,14.78571429,14.24571429,7,"marsh"
"Fall","NOAA","Ref",1,0,0.964285714,0.193225806,11,10.03571429,7,"Ref"
"Fall","NOAA","Ref",2,0,0.390714286,0.12,11.14285714,10.75214286,7,"Ref"
"Fall","NOAA","Ref",3,0,0.385,0.200645161,10,9.615,7,"Ref"
"Winter","NOAA","LO",1,0.039357143,6.785714286,0.227096774,15.07142857,8.246357143,7,"oyster"
"Winter","NOAA","LO",2,0.032714286,1.371428571,0.210967742,8.285714286,6.881571429,7,"oyster"
"Winter","NOAA","LO",3,0.044142857,8.785714286,0.29516129,19.57142857,10.74157143,7,"oyster"
"Winter","NOAA","HO",1,0.008571429,5.907142857,0.348387097,19.07142857,13.15571429,7,"oyster"
"Winter","NOAA","HO",2,0.122857143,4.471428571,0.246774194,12.64285714,8.048571429,7,"oyster"
"Winter","NOAA","HO",3,0.042071429,3.328571429,0.341935484,10.71428571,7.343642857,7,"oyster"
"Winter","NOAA","LM",1,0.102142857,11.57142857,0.222903226,19.92857143,8.255,7,"marsh"
"Winter","NOAA","LM",2,0.010857143,1.778571429,0.229677419,7.142857143,5.353428571,7,"marsh"
"Winter","NOAA","LM",3,0.167857143,10.5,0.228064516,18.28571429,7.617857143,7,"marsh"
"Winter","NOAA","MM",1,0.011928571,8.571428571,0.266774194,19.57142857,10.98807143,7,"marsh"
"Winter","NOAA","MM",2,0.018785714,10.92857143,0.242258065,19.28571429,8.338357143,7,"marsh"
"Winter","NOAA","MM",3,0,2.971428571,0.242580645,11,8.105,7,"marsh"
