"Site","Season","CoreName","CoreNo","flux_Nox","flux_NH3","Age","Habitat"
"IMS","Summer","LO",1,-8.459547058,-55.61985665,0,"oyster"
"IMS","Summer","LO",2,-0.333053027,-68.54231437,0,"oyster"
"IMS","Summer","LO",3,-5.928343995,-69.34164165,0,"oyster"
"IMS","Summer","HO",1,-14.18805924,-70.27419015,0,"oyster"
"IMS","Summer","HO",2,-7.660219774,-54.55408695,0,"oyster"
"IMS","Summer","HO",3,3.397140952,-48.55913233,0,"oyster"
"IMS","Summer","MM",1,-39.71324376,-83.31654695,0,"marsh"
"IMS","Summer","MM",2,-3.796804584,-15.7867138,0,"marsh"
"IMS","Summer","MM",3,-3.530362162,-18.7175805,0,"marsh"
"IMS","Summer","Ref",1,-6.061565206,-6.860892509,0,"Ref"
"IMS","Summer","Ref",2,-2.064928806,-52.02288389,0,"Ref"
"IMS","Summer","Ref",3,-4.462910657,-13.7883956,0,"Ref"
"IMS","Fall","LO",1,-7.660219783,-1.845113809,0,"oyster"
"IMS","Fall","LO",2,-17.62516655,8.226409934,0,"oyster"
"IMS","Fall","LO",3,-17.49194534,-3.616955949,0,"oyster"
"IMS","Fall","HO",1,-4.99579551,-3.803465647,0,"oyster"
"IMS","Fall","HO",2,-16.85248352,7.560303861,0,"oyster"
"IMS","Fall","HO",3,-14.8541653,13.42203727,0,"oyster"
"IMS","Fall","MM",1,-30.30782608,7.560303861,0,"marsh"
"IMS","Fall","MM",2,-10.72430769,-2.231455333,0,"marsh"
"IMS","Fall","MM",3,14.98738653,49.2585437,0,"marsh"
"IMS","Fall","Ref",1,2.331371237,-1.791825321,0,"Ref"
"IMS","Fall","Ref",2,1.265601531,-3.803465647,0,"Ref"
"IMS","Fall","Ref",3,32.5725867,25.94483133,0,"Ref"
"IMS","Fall","LoRef",1,-17.17221443,4.762658377,0,"LoRef"
"IMS","Fall","HiRef",1,-3.930025804,-2.697729581,0,"HiRef"
"IMS","Winter","LO",1,0.439630003,-54.55408693,0,"oyster"
"IMS","Winter","LO",2,-0.586173341,225.4769038,0,"oyster"
"IMS","Winter","LO",3,-1.398822733,66.94365974,0,"oyster"
"IMS","Winter","HO",1,-0.039966352,4.329689446,0,"oyster"
"IMS","Winter","HO",2,-1.731875769,90.92347826,0,"oyster"
"IMS","Winter","HO",3,1.891741233,26.97729574,0,"oyster"
"IMS","Winter","MM",1,-0.666106064,30.97393214,0,"marsh"
"IMS","Winter","MM",2,-1.558688197,24.31287147,0,"marsh"
"IMS","Winter","MM",3,-0.839293636,376.0168751,0,"marsh"
"IMS","Winter","Ref",1,-0.985836973,-0.9991591,0,"Ref"
"IMS","Winter","Ref",2,-0.719394552,40.29941709,0,"Ref"
"IMS","Winter","Ref",3,-0.759360913,-56.68562636,0,"Ref"
"IMS","Winter","LoRef",1,-2.872249354,-100.2489632,0,"LoRef"
"IMS","Winter","HiRef",1,-1.945029703,-43.62994743,0,"HiRef"
"IMS","Spring","LO",1,2.031623508,-9.751792823,0,"oyster"
"IMS","Spring","LO",2,-1.37617514,-1.332212137,0,"oyster"
"IMS","Spring","LO",3,0.459613193,-1.198990926,0,"oyster"
"IMS","Spring","HO",1,-2.258099568,1.198990926,0,"oyster"
"IMS","Spring","HO",2,-2.199215789,1.065769715,0,"oyster"
"IMS","Spring","HO",3,1.218974097,5.195627326,0,"oyster"
"IMS","Spring","MM",1,5.948327185,17.18553655,0,"marsh"
"IMS","Spring","MM",2,7.5203375,280.164212,0,"marsh"
"IMS","Spring","MM",3,6.148159011,304.1440306,0,"marsh"
"IMS","Spring","Ref",1,2.391320779,-3.330530337,0,"Ref"
"IMS","Spring","Ref",2,-1.397490531,-5.248915814,0,"Ref"
"IMS","Spring","Ref",3,-2.258099568,4.662742483,0,"Ref"
"Carrot","Summer","LO",1,-0.515566094,-37.50177161,2,"oyster"
"Carrot","Summer","LO",2,-0.515566094,496.5820734,2,"oyster"
"Carrot","Summer","LO",3,-0.297083298,-5.528680353,2,"oyster"
"Carrot","Summer","HO",1,-0.515566094,-41.88474954,2,"oyster"
"Carrot","Summer","HO",2,-0.515566094,-45.5483329,2,"oyster"
"Carrot","Summer","HO",3,1.336208769,62.41413853,2,"oyster"
"Carrot","Summer","LM",1,0.616814227,-5.528680353,2,"marsh"
"Carrot","Summer","LM",2,0.131889009,60.81548398,2,"marsh"
"Carrot","Summer","LM",3,-0.515566094,-30.30782608,2,"marsh"
"Carrot","Summer","MM",1,-0.515566094,-30.84071094,2,"marsh"
"Carrot","Summer","MM",2,-0.515566094,-37.3685504,2,"marsh"
"Carrot","Summer","MM",3,-0.515566094,-38.83398374,2,"marsh"
"Carrot","Summer","HM",1,-0.515566094,12.05651982,2,"marsh"
"Carrot","Summer","HM",2,-0.515566094,-34.43768369,2,"marsh"
"Carrot","Summer","HM",3,-0.515566094,-38.96720495,2,"marsh"
"Carrot","Summer","Ref",1,-0.515566094,-17.11892594,2,"Ref"
"Carrot","Summer","Ref",2,-0.515566094,-41.69823984,2,"Ref"
"Carrot","Summer","Ref",3,-0.515566094,-35.50345341,2,"Ref"
"Carrot","Fall","LO",1,0,2.864256089,2,"oyster"
"Carrot","Fall","LO",2,0,-12.49614982,2,"oyster"
"Carrot","Fall","LO",3,0,-8.193104636,2,"oyster"
"Carrot","Fall","HO",1,0,-11.27051467,2,"oyster"
"Carrot","Fall","HO",2,0,-9.525316763,2,"oyster"
"Carrot","Fall","HO",3,0,-1.665265173,2,"oyster"
"Carrot","Fall","LM",1,0,-5.928343995,2,"marsh"
"Carrot","Fall","LM",2,0,-2.064928806,2,"marsh"
"Carrot","Fall","LM",3,0,3.130698511,2,"marsh"
"Carrot","Fall","MM",1,0,-3.930025795,2,"marsh"
"Carrot","Fall","MM",2,0,-9.924980414,2,"marsh"
"Carrot","Fall","MM",3,0,-2.597813668,2,"marsh"
"Carrot","Fall","HM",1,0,-4.329689446,2,"marsh"
"Carrot","Fall","HM",2,0,-6.061565206,2,"marsh"
"Carrot","Fall","HM",3,0,-2.9974773,2,"marsh"
"Carrot","Fall","Ref",1,0,4.196468235,2,"Ref"
"Carrot","Fall","Ref",2,0,-0.333053027,2,"Ref"
"Carrot","Fall","Ref",3,0,22.98065934,2,"Ref"
"Carrot","Winter","LO",1,-2.611135785,11.59024559,2,"oyster"
"Carrot","Winter","LO",2,-2.675614855,-21.31539415,2,"oyster"
"Carrot","Winter","LO",3,-2.611135785,92.32230097,2,"oyster"
"Carrot","Winter","HO",1,-0.399663633,-59.54988243,2,"oyster"
"Carrot","Winter","HO",3,-0.919226368,141.6141499,2,"oyster"
"Carrot","Winter","LM",1,-2.611135785,61.68142188,2,"marsh"
"Carrot","Winter","LM",2,-2.611135785,37.30193979,2,"marsh"
"Carrot","Winter","LM",3,-2.611135785,-40.4992489,2,"marsh"
"Carrot","Winter","MM",1,-2.59962547,1.198990935,2,"marsh"
"Carrot","Winter","MM",2,-2.028959077,-63.8262834,2,"marsh"
"Carrot","Winter","MM",3,-2.611135785,-16.7858729,2,"marsh"
"Carrot","Winter","HM",1,-2.611135785,15.18721836,2,"marsh"
"Carrot","Winter","HM",2,-1.052447579,-50.49083992,2,"marsh"
"Carrot","Winter","HM",3,-2.611135785,-46.4942035,2,"marsh"
"Carrot","Winter","Ref",1,-2.611135785,-51.42338842,2,"Ref"
"Carrot","Winter","Ref",2,-2.611135785,-68.91533376,2,"Ref"
"Carrot","Winter","Ref",3,-2.611135785,-57.01867939,2,"Ref"
"Carrot","Winter","LoRef",1,-2.611135785,10.52447588,2,"LoRef"
"Carrot","Winter","HiRef",1,-1.437456902,174.9194534,2,"HiRef"
"Carrot","Spring","LO",1,-2.764340186,14.58772289,2,"oyster"
"Carrot","Spring","LO",2,-3.030782608,-14.7209441,2,"oyster"
"Carrot","Spring","LO",3,-3.030782608,38.96720496,2,"oyster"
"Carrot","Spring","HO",1,-1.973006167,0.066610605,2,"oyster"
"Carrot","Spring","HO",2,-3.030782608,44.02961107,2,"oyster"
"Carrot","Spring","HO",3,-3.030782608,54.02120209,2,"oyster"
"Carrot","Spring","LM",1,-3.030782608,1.798486384,2,"marsh"
"Carrot","Spring","LM",2,-3.030782608,-5.795122784,2,"marsh"
"Carrot","Spring","LM",3,-3.030782608,45.62826563,2,"marsh"
"Carrot","Spring","MM",1,-3.032940786,-6.194786436,2,"marsh"
"Carrot","Spring","MM",2,-3.030782608,43.23028378,2,"marsh"
"Carrot","Spring","MM",3,-2.159515866,-14.45450168,2,"marsh"
"Carrot","Spring","HM",1,-3.030782608,95.98588435,2,"marsh"
"Carrot","Spring","HM",2,-3.030782608,-12.85584711,2,"marsh"
"Carrot","Spring","HM",3,-3.030782608,28.57595031,2,"marsh"
"Carrot","Spring","Ref",1,-3.030782608,-29.10883515,2,"Ref"
"Carrot","Spring","Ref",2,1.911724414,-32.57258671,2,"Ref"
"Carrot","Spring","Ref",3,-2.083579785,61.88125368,2,"Ref"
"NOAA","Summer","LO",1,-30.90732153,100.781848,7,"oyster"
"NOAA","Summer","LO",2,-36.36939128,-50.02456568,7,"oyster"
"NOAA","Summer","LO",3,-39.96636405,-22.5809957,7,"oyster"
"NOAA","Summer","HO",1,-34.90395795,-52.15610511,7,"oyster"
"NOAA","Summer","HO",2,-37.43516099,-51.75644145,7,"oyster"
"NOAA","Summer","HO",3,-42.63078832,-70.74046438,7,"oyster"
"NOAA","Summer","LM",1,-30.90732153,66.14433251,7,"marsh"
"NOAA","Summer","LM",2,-67.14349161,-48.42591113,7,"marsh"
"NOAA","Summer","LM",3,-62.0810855,18.71758049,7,"marsh"
"NOAA","Summer","MM",1,-17.05231532,68.80875678,7,"marsh"
"NOAA","Summer","MM",2,-69.78127165,-72.20589774,7,"marsh"
"NOAA","Summer","MM",3,-32.77241852,-54.0212021,7,"marsh"
"NOAA","Summer","HM",1,-14.38789106,-27.51018059,7,"marsh"
"NOAA","Summer","HM",2,-14.25466983,-62.28091734,7,"marsh"
"NOAA","Summer","HM",3,-6.927503105,-7.26055615,7,"marsh"
"NOAA","Summer","Ref",1,-32.77241852,-21.91488962,7,"Ref"
"NOAA","Summer","Ref",2,-23.84659722,-56.28596272,7,"Ref"
"NOAA","Summer","Ref",3,-20.11640324,-25.91152604,7,"Ref"
"NOAA","Fall","LO",1,-2.964172002,-13.05567893,7,"oyster"
"NOAA","Fall","LO",2,-2.964172002,-20.11640323,7,"oyster"
"NOAA","Fall","LO",3,-2.964172002,-6.527839463,7,"oyster"
"NOAA","Fall","HO",1,-2.964172002,-12.9224577,7,"oyster"
"NOAA","Fall","HO",2,-2.964172002,-20.14304749,7,"oyster"
"NOAA","Fall","HO",3,-2.964172002,-19.91657141,7,"oyster"
"NOAA","Fall","LM",1,-2.964172002,65.81127949,7,"marsh"
"NOAA","Fall","LM",2,-2.964172002,38.10126707,7,"marsh"
"NOAA","Fall","LM",3,-2.964172002,3.996636419,7,"marsh"
"NOAA","Fall","MM",1,-2.964172002,-7.726830379,7,"marsh"
"NOAA","Fall","MM",2,-2.964172002,-15.45366076,7,"marsh"
"NOAA","Fall","MM",3,-2.964172002,-18.22466201,7,"marsh"
"NOAA","Fall","HM",1,-2.964172002,-19.23714323,7,"marsh"
"NOAA","Fall","HM",2,-2.964172002,-19.09059989,7,"marsh"
"NOAA","Fall","HM",3,-2.964172002,-16.43949774,7,"marsh"
"NOAA","Fall","Ref",1,-2.964172002,-8.526157663,7,"Ref"
"NOAA","Fall","Ref",2,-2.964172002,-19.2238211,7,"Ref"
"NOAA","Fall","Ref",3,-2.964172002,-19.33039807,7,"Ref"
"NOAA","Winter","LO",1,-0.607488723,14.58772285,7,"oyster"
"NOAA","Winter","LO",2,-0.731384449,-86.39395702,7,"oyster"
"NOAA","Winter","LO",3,-0.518230515,51.88966264,7,"oyster"
"NOAA","Winter","HO",1,-1.181672148,-1.798486421,7,"oyster"
"NOAA","Winter","HO",2,0.949867263,-28.57595035,7,"oyster"
"NOAA","Winter","HO",3,-0.556864657,-49.89134449,7,"oyster"
"NOAA","Winter","LM",1,0.563525739,103.8459359,7,"marsh"
"NOAA","Winter","LM",2,-1.139041365,-78.80034783,7,"marsh"
"NOAA","Winter","LM",3,1.789160908,83.86275388,7,"marsh"
"NOAA","Winter","MM",1,-1.119058194,47.89302622,7,"marsh"
"NOAA","Winter","MM",2,-0.991165826,91.85602672,7,"marsh"
"NOAA","Winter","MM",3,-1.341537612,-56.55240519,7,"marsh"
"NOAA","Winter","HM",1,-0.644790663,65.21178398,7,"marsh"
"NOAA","Winter","HM",2,-1.341537612,-80.93188726,7,"marsh"
"NOAA","Winter","HM",3,-0.219814997,-95.45299952,7,"marsh"
"NOAA","Winter","Ref",1,2.362012132,33.23869274,7,"Ref"
"NOAA","Winter","Ref",2,1.256276046,-70.27419017,7,"Ref"
"NOAA","Winter","Ref",3,-1.341537612,-13.92161685,7,"Ref"
"NOAA","Spring","LO",1,-2.649769945,91.18992065,7,"oyster"
"NOAA","Spring","LO",2,-3.425916722,-25.24541997,7,"oyster"
"NOAA","Spring","LO",3,-1.352195317,353.6357114,7,"oyster"
"NOAA","Spring","HO",1,-3.363835644,-15.12060774,7,"oyster"
"NOAA","Spring","HO",2,-3.199973557,-20.44945627,7,"oyster"
"NOAA","Spring","HO",3,-2.735031511,-9.658537983,7,"oyster"
"NOAA","Spring","LM",1,-2.377998661,75.20337503,7,"marsh"
"NOAA","Spring","LM",2,-3.288299216,-25.91152603,7,"marsh"
"NOAA","Spring","LM",3,-3.363835644,-46.2943717,7,"marsh"
