Site,Season,CoreName,CoreNo,flux_Nox,flux_NH3
IMS,Summer,LO,1,-8.459547058,-55.61985665
IMS,Summer,LO,2,-0.333053027,-68.54231437
IMS,Summer,LO,3,-5.928343995,-69.34164165
IMS,Summer,HO,1,-14.18805924,-70.27419015
IMS,Summer,HO,2,-7.660219774,-54.55408695
IMS,Summer,HO,3,3.397140952,-48.55913233
IMS,Summer,MM,1,-39.71324376,-83.31654695
IMS,Summer,MM,2,-3.796804584,-15.7867138
IMS,Summer,MM,3,-3.530362162,-18.7175805
IMS,Summer,Ref,1,-6.061565206,-6.860892509
IMS,Summer,Ref,2,-2.064928806,-52.02288389
IMS,Summer,Ref,3,-4.462910657,-13.7883956
IMS,Fall,LO,1,-7.660219783,-1.845113809
IMS,Fall,LO,2,-17.62516655,8.226409934
IMS,Fall,LO,3,-17.49194534,-3.616955949
IMS,Fall,HO,1,-4.99579551,-3.803465647
IMS,Fall,HO,2,-16.85248352,7.560303861
IMS,Fall,HO,3,-14.8541653,13.42203727
IMS,Fall,MM,1,-30.30782608,7.560303861
IMS,Fall,MM,2,-10.72430769,-2.231455333
IMS,Fall,MM,3,14.98738653,49.2585437
IMS,Fall,Ref,1,2.331371237,-1.791825321
IMS,Fall,Ref,2,1.265601531,-3.803465647
IMS,Fall,Ref,3,32.5725867,25.94483133
IMS,Fall,LoRef,1,-17.17221443,4.762658377
IMS,Fall,HiRef,1,-3.930025804,-2.697729581
IMS,Winter,LO,1,0.439630003,-54.55408693
IMS,Winter,LO,2,-0.586173341,225.4769038
IMS,Winter,LO,3,-1.398822733,66.94365974
IMS,Winter,HO,1,-0.039966352,4.329689446
IMS,Winter,HO,2,-1.731875769,90.92347826
IMS,Winter,HO,3,1.891741233,26.97729574
IMS,Winter,MM,1,-0.666106064,30.97393214
IMS,Winter,MM,2,-1.558688197,24.31287147
IMS,Winter,MM,3,-0.839293636,376.0168751
IMS,Winter,Ref,1,-0.985836973,-0.9991591
IMS,Winter,Ref,2,-0.719394552,40.29941709
IMS,Winter,Ref,3,-0.759360913,-56.68562636
IMS,Winter,LoRef,1,-2.872249354,-100.2489632
IMS,Winter,HiRef,1,-1.945029703,-43.62994743
IMS,Spring,LO,1,2.031623508,-9.751792823
IMS,Spring,LO,2,-1.37617514,-1.332212137
IMS,Spring,LO,3,0.459613193,-1.198990926
IMS,Spring,HO,1,-2.258099568,1.198990926
IMS,Spring,HO,2,-2.199215789,1.065769715
IMS,Spring,HO,3,1.218974097,5.195627326
IMS,Spring,MM,1,5.948327185,17.18553655
IMS,Spring,MM,2,7.5203375,280.164212
IMS,Spring,MM,3,6.148159011,304.1440306
IMS,Spring,Ref,1,2.391320779,-3.330530337
IMS,Spring,Ref,2,-1.397490531,-5.248915814
IMS,Spring,Ref,3,-2.258099568,4.662742483
Carrot,Summer,LO,1,-0.515566094,-37.50177161
Carrot,Summer,LO,2,-0.515566094,496.5820734
Carrot,Summer,LO,3,-0.297083298,-5.528680353
Carrot,Summer,HO,1,-0.515566094,-41.88474954
Carrot,Summer,HO,2,-0.515566094,-45.5483329
Carrot,Summer,HO,3,1.336208769,62.41413853
Carrot,Summer,LM,1,0.616814227,-5.528680353
Carrot,Summer,LM,2,0.131889009,60.81548398
Carrot,Summer,LM,3,-0.515566094,-30.30782608
Carrot,Summer,MM,1,-0.515566094,-30.84071094
Carrot,Summer,MM,2,-0.515566094,-37.3685504
Carrot,Summer,MM,3,-0.515566094,-38.83398374
Carrot,Summer,HM,1,-0.515566094,12.05651982
Carrot,Summer,HM,2,-0.515566094,-34.43768369
Carrot,Summer,HM,3,-0.515566094,-38.96720495
Carrot,Summer,Ref,1,-0.515566094,-17.11892594
Carrot,Summer,Ref,2,-0.515566094,-41.69823984
Carrot,Summer,Ref,3,-0.515566094,-35.50345341
Carrot,Fall,LO,1,0,2.864256089
Carrot,Fall,LO,2,0,-12.49614982
Carrot,Fall,LO,3,0,-8.193104636
Carrot,Fall,HO,1,0,-11.27051467
Carrot,Fall,HO,2,0,-9.525316763
Carrot,Fall,HO,3,0,-1.665265173
Carrot,Fall,LM,1,0,-5.928343995
Carrot,Fall,LM,2,0,-2.064928806
Carrot,Fall,LM,3,0,3.130698511
Carrot,Fall,MM,1,0,-3.930025795
Carrot,Fall,MM,2,0,-9.924980414
Carrot,Fall,MM,3,0,-2.597813668
