Season,Site,CoreName,CoreNo,N2Flux,N2FluxPlus21,LogPlus21,SquareRoot,Square,Age,Habitat
Summer,IMS,LO,1,0.717366512,21.71736651,1.336807161,4.660189536,0.514614713,0,oyster
Summer,IMS,LO,2,18.98514849,39.98514849,1.601898713,6.323381096,360.4358632,0,oyster
Summer,IMS,LO,3,10.46432651,31.46432651,1.49781844,5.609307133,109.5021293,0,oyster
Summer,IMS,HO,1,20.72775372,41.72775372,1.620425007,6.459702293,429.6397743,0,oyster
Summer,IMS,HO,2,17.30741275,38.30741275,1.583282821,6.189298244,299.5465361,0,oyster
Summer,IMS,HO,3,3.435482746,24.43548275,1.388020923,4.943225946,11.8025417,0,oyster
Summer,IMS,MM,1,79.21990195,100.219902,2.000953974,10.01098906,6275.792865,0,marsh
Summer,IMS,MM,2,26.17316384,47.17316384,1.673695005,6.86827226,685.0345054,0,marsh
Summer,IMS,MM,3,-3.025585782,17.97441422,1.254654746,4.239624302,9.154169324,0,marsh
Summer,IMS,Ref,1,36.49971233,57.49971233,1.759665672,7.582856476,1332.229,0,Ref
Summer,IMS,Ref,2,8.228671041,29.22867104,1.465809069,5.406354691,67.7110271,0,Ref
Summer,IMS,Ref,3,2.47752301,23.47752301,1.370652275,4.845360978,6.138120265,0,Ref
Summer,Carrot,LO,1,29.47983254,50.47983254,1.703117906,7.104916083,869.0605266,2,oyster
Summer,Carrot,LO,2,26.95608229,47.95608229,1.680843697,6.925033017,726.6303724,2,oyster
Summer,Carrot,LO,3,8.912137154,29.91213715,1.475847443,5.46919895,79.42618865,2,oyster
Summer,Carrot,HO,1,57.73549437,78.73549437,1.896170559,8.873302337,3333.38731,2,oyster
Summer,Carrot,HO,2,65.4085138,86.4085138,1.936556535,9.295617989,4278.273678,2,oyster
Summer,Carrot,HO,3,45.84880884,66.84880884,1.825093673,8.176112086,2102.113272,2,oyster
Summer,Carrot,LM,1,14.22863481,35.22863481,1.546895814,5.935371497,202.4540486,2,marsh
Summer,Carrot,LM,2,19.35589196,40.35589196,1.605906951,6.352628744,374.6505536,2,marsh
Summer,Carrot,LM,3,14.65575714,35.65575714,1.552129663,5.971244187,214.7912173,2,marsh
Summer,Carrot,MM,1,26.66037165,47.66037165,1.678157425,6.903649155,710.7754165,2,marsh
Summer,Carrot,MM,2,25.97016441,46.97016441,1.67182208,6.853478271,674.4494395,2,marsh
Summer,Carrot,MM,3,5.795160141,26.79516014,1.428056357,5.176404171,33.58388106,2,marsh
Summer,Carrot,HM,1,24.39068609,45.39068609,1.656966747,6.737261023,594.9055679,2,marsh
Summer,Carrot,HM,2,10.55329123,31.55329123,1.499044666,5.617231634,111.3719558,2,marsh
Summer,Carrot,HM,3,33.56049807,54.56049807,1.736878326,7.38650784,1126.307031,2,marsh
Summer,Carrot,Ref,1,29.67249402,50.67249402,1.70477228,7.118461492,880.4569014,2,Ref
Summer,Carrot,Ref,2,26.45677185,47.45677185,1.676298193,6.888887563,699.9607767,2,Ref
Summer,Carrot,Ref,3,33.66430347,54.66430347,1.737703819,7.393531191,1133.285328,2,Ref
Summer,NOAA,LO,1,29.81758259,50.81758259,1.706014002,7.128645214,889.0882315,7,oyster
Summer,NOAA,LO,2,78.67065908,99.67065908,1.99856733,9.983519373,6189.0726,7,oyster
Summer,NOAA,LO,3,109.165685,130.165685,2.114496508,11.40901771,11917.14678,7,oyster
Summer,NOAA,HO,1,89.80072977,110.8007298,2.044542621,10.52619256,8064.171067,7,oyster
Summer,NOAA,HO,2,54.90426312,75.90426312,1.880266168,8.71230527,3014.478109,7,oyster
Summer,NOAA,HO,3,44.15469317,65.15469317,1.813945704,8.07184571,1949.636929,7,oyster
Summer,NOAA,LM,1,66.14339751,87.14339751,1.940234488,9.335062802,4374.949034,7,marsh
Summer,NOAA,LM,2,104.6761396,125.6761396,2.099252832,11.21053699,10957.0942,7,marsh
Summer,NOAA,LM,3,158.4313931,179.4313931,2.253898429,13.39520038,25100.50632,7,marsh
Summer,NOAA,MM,1,43.94475375,64.94475375,1.812544074,8.058830793,1931.141382,7,marsh
Summer,NOAA,MM,2,80.93024572,101.9302457,2.008303071,10.096051,6549.704672,7,marsh
Summer,NOAA,MM,3,63.25639315,84.25639315,1.925602864,9.179128126,4001.371274,7,marsh
Summer,NOAA,HM,1,45.20627051,66.20627051,1.820899124,8.136723573,2043.606893,7,marsh
Summer,NOAA,HM,2,53.33593088,74.33593088,1.871198784,8.621828743,2844.721523,7,marsh
Summer,NOAA,HM,3,46.50633616,67.50633616,1.829344538,8.21622396,2162.839303,7,marsh
Summer,NOAA,Ref,1,57.93459311,78.93459311,1.897267375,8.88451423,3356.417079,7,Ref
Summer,NOAA,Ref,2,80.00081224,101.0008122,2.004324866,10.04991603,6400.129959,7,Ref
Summer,NOAA,Ref,3,39.60676494,60.60676494,1.782521103,7.785034678,1568.695829,7,Ref
Summer,Army,LO,1,86.75574848,107.7557485,2.032440448,10.38054664,7526.559894,20,oyster
Summer,Army,LO,2,92.28878158,113.2887816,2.054186906,10.64372029,8517.219206,20,oyster
Summer,Army,LO,3,115.6036883,136.6036883,2.135462426,11.68775805,13364.21275,20,oyster
Summer,Army,HO,1,53.10029296,74.10029296,1.869819925,8.608152703,2819.641112,20,oyster
Summer,Army,HO,2,38.81444997,59.81444997,1.776806113,7.733980215,1506.561526,20,oyster
Summer,Army,HO,3,32.4732702,53.4732702,1.728136745,7.312541979,1054.513277,20,oyster
Summer,Army,LM,1,76.57116263,97.57116263,1.98932148,9.877811632,5863.142947,20,marsh
Summer,Army,LM,2,84.91624936,105.9162494,2.024962593,10.29156205,7210.769405,20,marsh
Summer,Army,LM,3,92.28326128,113.2832613,2.054165743,10.64346096,8516.200312,20,marsh
Summer,Army,MM,1,45.54214806,66.54214806,1.823096816,8.157337069,2074.08725,20,marsh
Summer,Army,MM,2,74.37635738,95.37635738,1.979440732,9.766081987,5531.842537,20,marsh
Summer,Army,MM,3,32.66644807,53.66644807,1.729702852,7.325738739,1067.09683,20,marsh
Summer,Army,HM,1,79.1893846,100.1893846,2.000821709,10.00946475,6270.958633,20,marsh
Summer,Army,HM,2,88.77811307,109.7781131,2.040515762,10.4775051,7881.55336,20,marsh
Summer,Army,HM,3,48.24527136,69.24527136,1.840390122,8.321374367,2327.606209,20,marsh
Summer,Army,Ref,1,23.35495007,44.35495007,1.646942095,6.659951206,545.4536928,20,Ref
Summer,Army,Ref,2,20.90260477,41.90260477,1.622241021,6.473222132,436.9188862,20,Ref
